Person,gFx,gFy,gFz,TgF,Label
1,0.1387,-0.0137,0.9898,1,6
1,0.1358,-0.0098,0.9814,0.99,6
1,0.1334,-0.0078,0.9844,0.99,6
1,0.1402,-0.0082,0.9981,1.01,6
1,0.1513,-0.0107,1.0046,1.02,6
1,0.1568,-0.0128,0.9778,0.99,6
1,0.1289,-0.0082,0.9887,1,6
1,0.1289,-0.0082,0.9887,1,6
1,0.1265,-0.0058,0.9886,1,6
1,0.1358,-0.0024,0.9853,0.99,6
1,0.146,-0.0034,0.9913,1,6
1,0.1455,-0.0083,0.9899,1,6
1,0.1426,-0.0078,0.9893,1,6
1,0.1392,-0.0034,0.9888,1,6
1,0.1392,-0.0054,0.98,0.99,6
1,0.1363,-0.0054,0.9814,0.99,6
1,0.1406,-0.0088,0.9918,1,6
1,0.1406,-0.0088,0.9918,1,6
1,0.1499,-0.0078,0.9884,1,6
1,0.1431,-0.0088,0.9908,1,6
1,0.1406,-0.0127,0.9927,1,6
1,0.1362,-0.0112,0.9883,1,6
1,0.1392,-0.0043,0.9927,1,6
1,0.1392,-0.0058,0.9922,1,6
1,0.145,-0.0132,0.9918,1,6
1,0.1441,-0.0083,0.9903,1,6
1,0.1412,0.0014,0.9824,0.99,6
1,0.1431,0.0004,0.98,0.99,6
1,0.147,-0.0025,0.982,0.99,6
1,0.148,-0.0064,0.9801,0.99,6
1,0.1466,-0.0074,0.9825,0.99,6
1,0.1441,-0.0078,0.9898,1,6
1,0.1436,-0.0063,0.9893,1,6
1,0.1402,-0.0049,0.9907,1,6
1,0.1402,-0.0073,0.9903,1,6
1,0.1445,-0.0088,0.9874,1,6
1,0.1426,-0.0088,0.9908,1,6
1,0.1436,-0.0122,0.9908,1,6
1,0.1387,-0.0117,0.9854,1,6
1,0.1407,0.001,0.9834,0.99,6
1,0.1494,0.0034,0.9927,1,6
1,0.1572,-0.0133,0.9812,0.99,6
1,0.1572,-0.0133,0.9812,0.99,6
1,0.1392,-0.0137,0.981,0.99,6
1,0.1304,-0.0092,0.9916,1,6
1,0.1304,-0.0024,0.9936,1,6
1,0.1426,-0.0029,0.9952,1.01,6
1,0.1489,-0.0073,0.9894,1,6
1,0.1528,-0.0128,0.9875,1,6
1,0.1475,-0.0123,0.9864,1,6
1,0.148,-0.0079,0.9835,0.99,6
1,0.1436,-0.003,0.9786,0.99,6
1,0.1392,-0.002,0.981,0.99,6
1,0.1383,-0.0029,0.9844,0.99,6
1,0.146,-0.0034,0.9888,1,6
1,0.1533,-0.0034,0.9899,1,6
1,0.1445,-0.0078,0.9962,1.01,6
1,0.1406,-0.0078,0.9962,1.01,6
1,0.1382,-0.0083,0.9903,1,6
1,0.1422,-0.0044,0.9854,1,6
1,0.1485,-0.0069,0.984,1,6
1,0.147,-0.0079,0.9855,1,6
1,0.1455,-0.0063,0.9864,1,6
1,0.1421,-0.0034,0.9903,1,6
1,0.1406,-0.0038,0.9932,1,6
1,0.1431,-0.0024,0.9903,1,6
1,0.1445,-0.0054,0.9879,1,6
1,0.1431,-0.0054,0.9854,1,6
1,0.1461,-0.0054,0.9849,1,6
1,0.1461,-0.004,0.9854,1,6
1,0.145,-0.0044,0.9893,1,6
1,0.1465,-0.0073,0.9884,1,6
1,0.1461,-0.0054,0.9874,1,6
1,0.1431,-0.0024,0.9888,1,6
1,0.1392,-0.0093,0.9859,1,6
1,0.1383,-0.0029,0.9834,0.99,6
1,0.15,-0.0005,0.9874,1,6
1,0.1538,-0.0049,0.9938,1.01,6
1,0.1563,-0.0073,0.9953,1.01,6
1,0.1456,-0.0098,0.9816,0.99,6
1,0.1304,-0.0029,0.9907,1,6
1,0.1324,0.0005,0.9926,1,6
1,0.1334,-0.0009,0.9911,1,6
1,0.145,-0.0049,0.9874,1,6
1,0.1558,-0.0084,0.9846,1,6
1,0.1568,-0.0113,0.9856,1,6
1,0.148,-0.0089,0.984,1,6
1,0.147,-0.0064,0.984,0.99,6
1,0.1407,-0.0024,0.9834,0.99,6
1,0.1392,-0.002,0.9868,1,6
1,0.1441,-0.0029,0.9908,1,6
1,0.1534,-0.004,0.985,1,6
1,0.1544,-0.003,0.9825,0.99,6
1,0.1465,-0.0068,0.9928,1,6
1,0.1387,-0.0073,0.9922,1,6
1,0.1373,-0.0068,0.9849,0.99,6
1,0.1446,-0.0015,0.9859,1,6
1,0.1455,-0.0044,0.9893,1,6
1,0.1489,-0.0079,0.9864,1,6
1,0.146,-0.0044,0.9893,1,6
1,0.1392,-0.0009,0.9927,1,6
1,0.1421,-0.0059,0.9903,1,6
1,0.1445,-0.0078,0.986,1,6
1,0.1456,-0.0064,0.9839,0.99,6
1,0.1427,-0.0049,0.9849,1,6
1,0.1421,-0.0024,0.9937,1,6
1,0.1421,-0.0024,0.9937,1,6
1,0.145,-0.0059,0.9927,1,6
1,0.1499,-0.0078,0.9884,1,6
1,0.1475,-0.004,0.9854,1,6
1,0.1407,-0.0049,0.9869,1,6
1,0.1353,-0.0059,0.9829,0.99,6
1,0.1368,-0.0039,0.9819,0.99,6
1,0.1422,-0.0039,0.9854,1,6
1,0.1553,-0.0034,0.9977,1.01,6
1,0.1548,-0.0073,0.9933,1.01,6
1,0.1387,-0.0073,0.9829,0.99,6
1,0.1348,-0.0078,0.9829,0.99,6
1,0.1295,-0.0044,0.9863,0.99,6
1,0.1373,0.002,0.9848,0.99,6
1,0.1465,-0.0029,0.9883,1,6
1,0.1455,-0.0087,1.0026,1.01,6
1,0.145,-0.0087,1.0016,1.01,6
1,0.1387,-0.0063,0.9951,1,6
1,0.1397,-0.0088,0.9893,1,6
1,0.1358,-0.0112,0.9863,1,6
1,0.1397,-0.0097,0.9922,1,6
1,0.1436,-0.0102,0.9948,1.01,6
1,0.1528,-0.0103,0.9826,0.99,6
1,0.1514,-0.0069,0.985,1,6
1,0.1431,-0.0107,0.9952,1.01,6
1,0.1416,-0.0103,0.9927,1,6
1,0.1397,-0.0059,0.9853,1,6
1,0.1446,-0.002,0.9825,0.99,6
1,0.1505,-0.0049,0.984,1,6
1,0.146,-0.0059,0.9942,1,6
1,0.1441,-0.0068,0.9932,1,6
1,0.1441,-0.0068,0.9942,1,6
1,0.148,-0.0063,0.9904,1,6
1,0.1524,-0.0069,0.987,1,6
1,0.149,-0.0064,0.9845,1,6
1,0.149,-0.0064,0.9845,1,6
1,0.15,-0.0074,0.984,1,6
1,0.1519,-0.0064,0.985,1,6
1,0.1528,-0.0089,0.987,1,6
1,0.1504,-0.0117,0.9899,1,6
1,0.1485,-0.0107,0.9894,1,6
1,0.1489,-0.0054,0.9923,1,6
1,0.1528,-0.0079,0.9865,1,6
1,0.1481,-0.005,0.9723,0.98,6
1,0.1533,-0.0039,0.9918,1,6
1,0.1563,-0.0034,0.9958,1.01,6
1,0.1626,-0.0068,0.9963,1.01,6
1,0.1593,-0.0109,0.9753,0.99,6
1,0.1451,-0.0054,0.9854,1,6
1,0.1446,-0.0024,0.9854,1,6
1,0.1485,-0.003,0.9854,1,6
1,0.1587,-0.0045,0.9855,1,6
1,0.1597,-0.0089,0.9871,1,6
1,0.1563,-0.0089,0.9855,1,6
1,0.1539,-0.007,0.9777,0.99,6
1,0.1529,-0.0074,0.9738,0.99,6
1,0.1456,-0.0064,0.9786,0.99,6
1,0.1475,-0.0068,0.9908,1,6
1,0.1563,-0.0089,0.9904,1,6
1,0.1602,-0.0089,0.988,1,6
1,0.1563,-0.0108,0.989,1,6
1,0.1479,-0.0117,0.9967,1.01,6
1,0.1441,-0.0078,0.9918,1,6
