time,gFx,gFy,gFz,TgF
0.0018259999999998833,0.1387,-0.0137,0.9898,1.0
0.03277000000000019,0.1358,-0.0098,0.9814,0.99
0.0393469999999998,0.1334,-0.0078,0.9844,0.99
0.05980799999999986,0.1402,-0.0082,0.9981,1.01
0.07680499999999979,0.1513,-0.0107,1.0046,1.02
0.10257000000000005,0.1568,-0.0128,0.9778,0.99
0.13977700000000004,0.1289,-0.0082,0.9887,1.0
0.14013300000000006,0.1289,-0.0082,0.9887,1.0
0.1603819999999998,0.1265,-0.0058,0.9886,1.0
0.17712700000000003,0.1358,-0.0024,0.9853,0.99
0.20233899999999982,0.146,-0.0034,0.9913,1.0
0.23611799999999983,0.1455,-0.0083,0.9899,1.0
0.2440739999999999,0.1426,-0.0078,0.9893,1.0
0.26092700000000013,0.1392,-0.0034,0.9888,1.0
0.2853340000000002,0.1392,-0.0054,0.98,0.99
0.30358300000000016,0.1363,-0.0054,0.9814,0.99
0.34251999999999994,0.1406,-0.0088,0.9918,1.0
0.342959,0.1406,-0.0088,0.9918,1.0
0.3608389999999999,0.1499,-0.0078,0.9884,1.0
0.38631800000000016,0.1431,-0.0088,0.9908,1.0
0.40325599999999984,0.1406,-0.0127,0.9927,1.0
0.42333,0.1362,-0.0112,0.9883,1.0
0.45284900000000006,0.1392,-0.0043,0.9927,1.0
0.46134699999999995,0.1392,-0.0058,0.9922,1.0
0.48504000000000014,0.145,-0.0132,0.9918,1.0
0.5020560000000001,0.1441,-0.0083,0.9903,1.0
0.543701,0.1412,0.0014,0.9824,0.99
0.5475599999999998,0.1431,0.0004,0.98,0.99
0.568552,0.147,-0.0025,0.982,0.99
0.5858690000000002,0.148,-0.0064,0.9801,0.99
0.616377,0.1466,-0.0074,0.9825,0.99
0.6445949999999998,0.1441,-0.0078,0.9898,1.0
0.6490999999999998,0.1436,-0.0063,0.9893,1.0
0.668437,0.1402,-0.0049,0.9907,1.0
0.6860560000000002,0.1402,-0.0073,0.9903,1.0
0.71638,0.1445,-0.0088,0.9874,1.0
0.7417090000000002,0.1426,-0.0088,0.9908,1.0
0.7470409999999998,0.1436,-0.0122,0.9908,1.0
