time,gFx,gFy,gFz,TgF
0.013262999999999803,0.0719,-0.0012,0.9945,1.0
0.030351000000000017,0.0724,-0.0016,0.995,1.0
0.05178200000000022,0.07,-0.0012,0.9935,1.0
0.0767199999999999,0.0675,0.0009,1.0003,1.0
0.09643099999999993,0.07,0.0048,1.0008,1.0
0.11335600000000001,0.0773,0.0002,0.9907,0.99
0.1319119999999998,0.0739,-0.0017,0.9833,0.99
0.15375000000000005,0.0738,0.0032,0.9999,1.0
0.18502699999999983,0.0792,-0.0007,0.9955,1.0
0.19688600000000012,0.0836,0.0037,0.9926,1.0
0.21435499999999985,0.0817,0.0061,0.9946,1.0
0.23911799999999994,0.0665,0.0023,0.9984,1.0
0.2602280000000001,0.0607,-0.0012,0.9949,1.0
0.28710000000000013,0.0568,-0.0036,0.9861,0.99
0.2973150000000002,0.0548,-0.0041,0.9856,0.99
0.3226610000000001,0.0568,0.0013,0.9929,0.99
0.3393820000000001,0.0607,0.0062,0.9982,1.0
0.3632460000000002,0.068,0.0082,1.0002,1.0
0.3814679999999999,0.0714,0.0077,1.0003,1.0
0.39634599999999987,0.0734,0.0032,0.9994,1.0
0.42277999999999993,0.066,-0.0012,0.9944,1.0
0.4397310000000001,0.068,-0.0031,0.994,1.0
0.459044,0.0655,-0.0041,0.9954,1.0
0.4819040000000001,0.0616,-0.004,0.9988,1.0
0.4963860000000002,0.0606,-0.004,1.0002,1.0
0.521693,0.0538,-0.0015,1.0036,1.01
0.5407929999999999,0.0557,-0.0016,1.0012,1.0
0.5618159999999999,0.0596,-0.0016,0.9998,1.0
0.5929690000000001,0.0596,0.0023,1.0032,1.0
0.5975259999999998,0.0591,0.0009,1.0042,1.01
0.6221969999999999,0.065,0.0018,1.0008,1.0
0.6523840000000001,0.0679,0.0009,0.9998,1.0
0.6816019999999998,0.0646,0.0009,0.9978,1.0
0.6818770000000001,0.0646,0.0009,0.9978,1.0
0.7057349999999998,0.0646,0.0032,0.9963,1.0
0.7225519999999999,0.0641,0.0032,0.9939,1.0
0.751303,0.066,0.0023,0.993,1.0
0.7725010000000001,0.066,0.0023,0.9954,1.0
0.7885949999999999,0.0665,0.0018,0.9979,1.0
0.8051460000000001,0.0675,0.0013,0.9984,1.0
0.8224170000000002,0.0675,0.0013,0.9993,1.0
0.8481529999999999,0.0699,0.0003,0.9984,1.0
0.8828860000000001,0.0704,-0.0002,0.9955,1.0
0.887823,0.0719,0.0008,0.9969,1.0
0.9046639999999999,0.0709,0.0013,0.9954,1.0
0.922418,0.0709,-0.0002,0.9945,1.0
0.957106,0.0753,0.0008,0.995,1.0
0.9751409999999998,0.0758,-0.0002,0.995,1.0
0.9883009999999999,0.0758,-0.0012,0.996,1.0
1.0047510000000002,0.0723,0.0013,1.0009,1.0
1.0236239999999999,0.0718,0.0032,0.9998,1.0
1.0528149999999998,0.0734,-0.0027,0.9857,0.99
1.0718830000000001,0.0719,0.0003,0.9945,1.0
1.0878700000000001,0.0738,0.0004,1.0023,1.01
1.1060180000000002,0.0831,-0.0012,1.0,1.0
1.1305399999999999,0.0895,0.0046,0.9971,1.0
1.1478449999999998,0.0841,0.0076,0.9985,1.0
1.184513,0.0719,0.0007,0.9896,0.99
1.188265,0.0724,-0.0002,0.9862,0.99
1.2057630000000001,0.0709,-0.0022,0.9823,0.98
1.231264,0.0704,0.0002,0.9857,0.99
1.2511260000000002,0.0719,0.0062,0.9925,1.0
1.2762950000000002,0.0802,0.0066,0.995,1.0
1.2879429999999998,0.0851,0.0051,0.9931,1.0
1.3142770000000001,0.0841,0.0012,0.9907,0.99
1.3309630000000001,0.0792,-0.0017,0.9931,1.0
1.3486609999999999,0.0773,-0.0032,0.9868,0.99
1.384099,0.0807,-0.0032,0.9926,1.0
1.387988,0.0806,-0.0037,0.9951,1.0
1.4133049999999998,0.0777,-0.0026,1.0009,1.0
1.4301720000000002,0.0733,-0.0002,1.0004,1.0
1.459197,0.0723,0.0023,0.9989,1.0
1.476464,0.0719,0.0013,0.9945,1.0
1.4894470000000002,0.0714,0.0008,0.9955,1.0
1.5131509999999997,0.0729,0.0027,0.9969,1.0
1.5298600000000002,0.0748,0.0032,0.996,1.0
1.556946,0.0767,-0.0007,0.9975,1.0
1.5785020000000003,0.0783,-0.0007,0.996,1.0
1.5966199999999997,0.0778,0.0013,0.9951,1.0
1.613708,0.0763,0.0027,0.9945,1.0
1.630192,0.0758,0.0037,0.9935,1.0
1.65721,0.0739,0.0018,0.9926,1.0
1.674029,0.0724,0.0027,0.9935,1.0
1.69679,0.0724,0.0018,0.9916,0.99
1.7134739999999997,0.07,0.0013,0.9949,1.0
1.738944,0.069,0.0003,0.9964,1.0
1.755465,0.0684,0.0008,0.9979,1.0
1.785457,0.0719,0.0013,0.9945,1.0
1.7970050000000004,0.0709,-0.0012,0.995,1.0
1.8136539999999997,0.0723,-0.0016,0.9974,1.0
1.8383440000000002,0.0684,0.0004,0.9998,1.0
1.859877,0.0699,-0.0012,0.9984,1.0
1.8823030000000003,0.0675,-0.0051,0.9901,0.99
1.8963390000000002,0.0665,-0.0031,0.992,0.99
1.9137170000000001,0.0631,0.0004,1.0002,1.0
1.9382900000000003,0.0733,-0.0012,0.9984,1.0
1.9645149999999996,0.0763,0.0042,0.996,1.0
1.9841179999999996,0.0695,0.0047,0.9984,1.0
1.9963249999999997,0.0655,0.0033,1.0012,1.0
2.015516,0.0617,-0.0011,0.9973,1.0
2.0392400000000004,0.0582,-0.0031,0.9875,0.99
2.0609859999999998,0.0582,-0.0012,0.988,0.99
2.082746,0.0597,0.0013,0.9934,1.0
2.096564,0.0617,0.0023,0.9993,1.0
2.121809,0.0694,0.0038,1.0062,1.01
2.139054,0.0709,0.0033,1.0062,1.01
2.1684979999999996,0.0694,0.0004,1.0042,1.01
