time,gFx,gFy,gFz,TgF
0.005169000000000423,0.9974,0.0274,-0.0745,1.0
0.01810699999999965,0.9964,0.0279,-0.0725,1.0
0.036902000000000434,1.0008,0.0308,-0.0676,1.0
0.060740000000000016,0.9978,0.0343,-0.0642,1.0
0.0817420000000002,0.9988,0.0324,-0.0627,1.0
0.10934199999999983,0.9876,0.0363,-0.0633,0.99
0.11806099999999997,0.9881,0.0372,-0.0629,0.99
0.14411400000000008,0.9993,0.0299,-0.0632,1.0
0.160806,1.0022,0.0303,-0.0685,1.01
0.1817650000000004,1.0018,0.0332,-0.0745,1.01
0.20504099999999958,0.995,0.0318,-0.0764,1.0
0.226445,0.9916,0.0347,-0.0706,0.99
0.24328299999999992,0.9891,0.0362,-0.0716,0.99
0.26034999999999986,0.9906,0.0342,-0.074,0.99
0.29268099999999997,0.9989,0.0357,-0.0701,1.0
0.3031069999999998,0.9989,0.0367,-0.073,1.0
0.32627000000000006,1.0038,0.0376,-0.0788,1.01
0.3427030000000002,0.9985,0.0352,-0.0793,1.0
0.3751610000000003,0.9926,0.0303,-0.0828,1.0
0.39817000000000036,0.995,0.0313,-0.0803,1.0
0.40200499999999995,0.998,0.0317,-0.0808,1.0
0.42631200000000025,1.0009,0.0317,-0.0847,1.0
0.4434250000000004,1.0009,0.0322,-0.0832,1.0
0.4693100000000001,0.995,0.0332,-0.0828,1.0
0.5033640000000004,0.9936,0.0366,-0.0813,1.0
0.5104959999999998,0.9931,0.0356,-0.0813,1.0
0.5268430000000004,0.995,0.0361,-0.0804,1.0
0.5442030000000004,0.995,0.0376,-0.0789,1.0
0.5726620000000002,0.9945,0.0352,-0.0765,1.0
0.5972140000000001,0.995,0.0357,-0.0765,1.0
0.6101580000000002,0.998,0.0356,-0.0793,1.0
0.6272859999999998,0.9984,0.0328,-0.0749,1.0
0.652279,0.9945,0.0342,-0.075,1.0
0.6698469999999999,0.9955,0.0352,-0.0765,1.0
0.701784,0.9994,0.0337,-0.0798,1.0
0.7108400000000001,0.9989,0.0342,-0.0779,1.0
0.7265730000000001,0.9979,0.0333,-0.0745,1.0
0.7520569999999998,0.9945,0.0337,-0.0784,1.0
0.7687080000000002,0.9936,0.0337,-0.0804,1.0
0.797269,0.9931,0.0356,-0.0799,1.0
0.8097690000000002,0.9965,0.0396,-0.0809,1.0
0.8269650000000004,0.9975,0.04,-0.0804,1.0
0.8519259999999997,1.0062,0.0352,-0.0788,1.01
0.8686280000000002,1.0008,0.0342,-0.074,1.0
0.9004269999999996,0.993,0.0255,-0.0759,1.0
0.9099979999999999,0.9955,0.0259,-0.0759,1.0
