time,gFx,gFy,gFz,TgF
0.009149999999999991,0.9939,-0.0604,0.0945,1.0
0.03076599999999985,0.9963,-0.062,0.0882,1.0
0.055239999999999956,0.9992,-0.063,0.0848,1.0
0.06553500000000012,0.9992,-0.061,0.0824,1.0
0.09113000000000016,0.9997,-0.0606,0.0829,1.0
0.10742999999999991,0.9992,-0.0625,0.0814,1.0
0.13030300000000006,0.9988,-0.062,0.0794,1.0
0.14733200000000002,0.9988,-0.0615,0.0838,1.0
0.17288000000000014,0.9949,-0.06,0.0901,1.0
0.18999500000000014,0.9934,-0.0604,0.0945,1.0
0.21958600000000006,0.9987,-0.0615,0.096,1.01
0.24493799999999988,0.9963,-0.0624,0.096,1.0
0.24804799999999982,0.9953,-0.0629,0.096,1.0
0.27365400000000006,0.9982,-0.0648,0.0975,1.01
0.290127,0.9972,-0.0649,0.0936,1.0
0.32021200000000016,0.9885,-0.0604,0.0964,1.0
0.3452470000000001,0.9899,-0.0629,0.0998,1.0
0.3480159999999999,0.9899,-0.0623,0.1028,1.0
0.3733590000000002,0.9977,-0.0682,0.1029,1.01
0.39039,0.9981,-0.0702,0.1039,1.01
0.42208500000000004,0.9953,-0.0658,0.098,1.0
0.4459740000000001,0.9939,-0.0639,0.0935,1.0
0.4495819999999999,0.9934,-0.0649,0.0921,1.0
0.4740509999999998,0.9958,-0.0664,0.0946,1.0
0.4926059999999999,0.9977,-0.0654,0.0946,1.0
0.5158619999999998,0.9967,-0.0673,0.0916,1.0
0.5485790000000001,0.9943,-0.0658,0.0984,1.0
0.5561729999999998,0.9933,-0.0692,0.0965,1.0
0.574182,0.9948,-0.0673,0.099,1.0
0.5983429999999998,0.9958,-0.0687,0.099,1.0
0.6162290000000001,0.9953,-0.0682,0.1019,1.0
0.6535859999999998,0.9953,-0.0648,0.0999,1.0
0.6540900000000001,0.9953,-0.0648,0.0999,1.0
0.6730369999999999,0.9963,-0.0624,0.0984,1.0
0.698331,0.9958,-0.0638,0.0965,1.0
0.7194470000000002,0.9948,-0.0653,0.0974,1.0
0.743592,0.9943,-0.0673,0.0955,1.0
0.7564139999999999,0.9938,-0.0653,0.0955,1.0
0.7747250000000001,0.9943,-0.0653,0.0965,1.0
0.7986149999999999,0.9967,-0.0678,0.097,1.0
0.8213689999999998,0.9977,-0.0673,0.1009,1.01
0.8465349999999998,0.9958,-0.0638,0.0999,1.0
0.856376,0.9938,-0.0658,0.1013,1.0
0.874841,0.9938,-0.0624,0.1009,1.0
0.900798,0.9967,-0.0702,0.1029,1.0
0.9182260000000002,0.9928,-0.0726,0.1014,1.0
0.9423279999999998,0.9928,-0.0697,0.1028,1.0
0.9564629999999998,0.9948,-0.0678,0.1029,1.0
0.982472,0.9987,-0.0668,0.0931,1.01
0.9992390000000002,0.9938,-0.0609,0.0974,1.0
1.0302570000000002,0.9899,-0.0614,0.1003,1.0
1.048368,0.9958,-0.0678,0.1009,1.0
1.064594,0.9972,-0.0682,0.0985,1.0
1.082598,0.9953,-0.0682,0.097,1.0
1.0992959999999998,0.9948,-0.0648,0.0955,1.0
1.122306,0.9919,-0.0629,0.0935,1.0
1.139792,0.9944,-0.0639,0.0901,1.0
1.1647530000000001,0.9983,-0.0624,0.0931,1.0
1.1817730000000002,0.9992,-0.0576,0.0901,1.0
1.2002359999999999,0.9988,-0.0595,0.0882,1.0
1.2193969999999998,0.9978,-0.061,0.0882,1.0
1.2394910000000001,0.9973,-0.0629,0.0926,1.0
1.265345,0.9977,-0.0673,0.0941,1.0
1.2819639999999999,0.9992,-0.0678,0.0941,1.01
1.3071830000000002,0.9982,-0.0668,0.0916,1.0
1.330927,0.9958,-0.0659,0.0912,1.0
1.3484409999999998,0.9973,-0.061,0.0906,1.0
1.364773,0.9958,-0.0629,0.0911,1.0
1.3815,0.9983,-0.0605,0.0911,1.0
1.4070809999999998,0.9968,-0.0629,0.0935,1.0
1.4282689999999998,0.9967,-0.0644,0.0936,1.0
1.446523,0.9958,-0.0644,0.0935,1.0
1.465659,0.9933,-0.0663,0.097,1.0
1.482542,0.9933,-0.0658,0.0989,1.0
1.5075710000000004,0.9963,-0.0673,0.0975,1.0
1.5285209999999996,0.9992,-0.0663,0.097,1.01
1.551342,0.9963,-0.0682,0.0955,1.0
1.564832,0.9933,-0.0682,0.096,1.0
1.589614,0.9933,-0.0663,0.0955,1.0
1.606427,0.9958,-0.0653,0.0951,1.0
1.6289129999999998,0.9967,-0.0659,0.0936,1.0
1.6478510000000002,0.9967,-0.0649,0.0951,1.0
1.6650999999999998,0.9992,-0.0648,0.098,1.01
1.6900240000000002,0.9967,-0.0683,0.0936,1.0
1.706512,0.9923,-0.0673,0.0935,1.0
1.72783,0.9953,-0.0683,0.0946,1.0
1.7507460000000004,0.9948,-0.0678,0.0941,1.0
1.7655159999999999,0.9953,-0.0653,0.0955,1.0
1.7905490000000004,0.9894,-0.0609,0.1023,1.0
1.8069040000000003,0.9919,-0.0638,0.1013,1.0
1.8281840000000003,0.9972,-0.0688,0.0955,1.0
1.854349,0.9997,-0.0664,0.0897,1.01
1.8739860000000004,0.9953,-0.0634,0.0891,1.0
1.8904889999999996,0.9929,-0.0634,0.0891,1.0
1.908817,0.9909,-0.0624,0.0891,1.0
1.9369059999999996,0.9934,-0.0629,0.0916,1.0
1.9533759999999996,0.9944,-0.0629,0.0891,1.0
1.973299,0.9968,-0.0629,0.0887,1.0
1.9902870000000004,0.9968,-0.0644,0.0897,1.0
2.016242,0.9982,-0.0683,0.0912,1.0
2.0387199999999996,0.9992,-0.0692,0.097,1.01
2.052816,0.9992,-0.0682,0.098,1.01
2.072812,0.9953,-0.0668,0.097,1.0
2.0899929999999998,0.9933,-0.0634,0.0955,1.0
2.114788,0.9953,-0.0624,0.093,1.0
2.1366620000000003,0.9949,-0.0649,0.0911,1.0
2.1554960000000003,0.9944,-0.0639,0.0887,1.0
2.1728630000000004,0.9963,-0.0644,0.0868,1.0
2.190428,0.9988,-0.0629,0.0882,1.0
2.2150600000000003,1.0002,-0.0645,0.0868,1.01
2.2488200000000003,0.9953,-0.0664,0.0912,1.0
2.2572349999999997,0.9939,-0.0668,0.0911,1.0
2.2734449999999997,0.9934,-0.0654,0.0921,1.0
2.292072,0.9944,-0.0629,0.0896,1.0
2.3150060000000003,0.9983,-0.062,0.0941,1.0
2.350695,0.9963,-0.0639,0.0935,1.0
2.357646,0.9953,-0.0663,0.0955,1.0
2.373842,0.9977,-0.0668,0.0951,1.0
2.399058,0.9987,-0.0683,0.0902,1.01
2.4160579999999996,0.9963,-0.0673,0.0916,1.0
2.4541310000000003,0.9978,-0.0668,0.0882,1.0
2.4544810000000004,0.9978,-0.0668,0.0882,1.0
2.482406,0.9924,-0.0595,0.0905,1.0
2.4980260000000003,0.99,-0.057,0.0945,1.0
2.5162899999999997,0.9919,-0.059,0.0959,1.0
2.53843,0.9992,-0.0629,0.0965,1.01
2.5575710000000003,0.9987,-0.0673,0.0975,1.01
2.581549,0.9958,-0.062,0.094,1.0
2.598082,0.9963,-0.06,0.0916,1.0
2.627517,0.9963,-0.062,0.0896,1.0
2.653626,0.9978,-0.0624,0.0916,1.0
2.656332,0.9988,-0.061,0.0921,1.0
2.6817979999999997,0.9968,-0.059,0.0882,1.0
2.6986679999999996,0.9973,-0.062,0.0901,1.0
2.728219,0.9963,-0.0659,0.0951,1.0
2.7532769999999998,0.9953,-0.0697,0.0985,1.0
2.7574379999999996,0.9938,-0.0697,0.1004,1.0
2.7816479999999997,0.9958,-0.0692,0.099,1.0
2.800058,0.9948,-0.0673,0.0995,1.0
2.8231539999999997,0.9953,-0.0624,0.1033,1.0
2.8561940000000003,0.9919,-0.0575,0.1003,1.0
2.8652629999999997,0.9929,-0.057,0.0988,1.0
2.882274,0.9933,-0.056,0.1013,1.0
2.899585,0.9934,-0.0521,0.0984,1.0
2.924647,0.9963,-0.0521,0.0964,1.0
2.956582,0.9958,-0.0565,0.0965,1.0
2.965273,0.9953,-0.059,0.0955,1.0
2.981554,0.9958,-0.058,0.097,1.0
3.0082319999999996,0.9953,-0.0599,0.097,1.0
3.02311,0.9949,-0.059,0.094,1.0
3.062075,0.9953,-0.0565,0.0945,1.0
3.0625850000000003,0.9953,-0.0565,0.0945,1.0
3.081556,0.9949,-0.0575,0.096,1.0
3.106776,0.9958,-0.0541,0.0959,1.0
3.1287079999999996,0.9963,-0.0546,0.0959,1.0
3.150371,0.9949,-0.0541,0.0959,1.0
3.164841,0.9963,-0.0541,0.0959,1.0
3.182169,0.9978,-0.0555,0.0979,1.0
3.2070230000000004,0.9944,-0.0575,0.0959,1.0
3.228237,0.9997,-0.0565,0.1013,1.01
3.2471769999999998,0.9987,-0.0595,0.0979,1.01
3.2646509999999997,0.9988,-0.0576,0.095,1.0
3.2842320000000003,0.9914,-0.0551,0.0964,1.0
3.307995,0.9875,-0.0516,0.0993,0.99
3.326047,0.9914,-0.0551,0.0979,1.0
3.3482089999999998,1.0012,-0.059,0.0955,1.01
3.365404,1.0027,-0.0576,0.0907,1.01
3.390277,0.9992,-0.0546,0.0891,1.0
3.407051,0.9983,-0.0571,0.0887,1.0
3.432246,0.9949,-0.0571,0.0882,1.0
3.459097,0.9958,-0.0551,0.0905,1.0
3.4647309999999996,0.9934,-0.0551,0.0915,1.0
3.48935,0.9953,-0.0566,0.0905,1.0
3.5064830000000002,0.9934,-0.0585,0.0945,1.0
3.534045,0.9949,-0.059,0.097,1.0
3.5485939999999996,0.9987,-0.059,0.0989,1.01
3.572756,0.9997,-0.0604,0.0975,1.01
3.589848,0.9967,-0.0609,0.0965,1.0
3.6065009999999997,0.9968,-0.061,0.0945,1.0
3.638091,0.9934,-0.059,0.0935,1.0
3.648917,0.9944,-0.0565,0.0954,1.0
3.676057,0.9949,-0.0576,0.094,1.0
3.6893010000000004,0.9949,-0.06,0.0935,1.0
3.7089670000000003,0.9934,-0.0599,0.0945,1.0
3.735919,0.9949,-0.059,0.0945,1.0
3.7481470000000003,0.9958,-0.0605,0.093,1.0
3.7734509999999997,0.9958,-0.0605,0.0916,1.0
3.790769,0.9939,-0.0595,0.093,1.0
3.815646,0.9944,-0.0576,0.093,1.0
3.8364779999999996,0.9953,-0.0576,0.0926,1.0
3.8568,0.9953,-0.058,0.0994,1.0
3.873284,0.9968,-0.0585,0.0955,1.0
3.890942,0.9967,-0.0609,0.0999,1.0
3.9160760000000003,0.9944,-0.059,0.095,1.0
3.9319249999999997,0.9973,-0.0595,0.0955,1.0
3.9659750000000003,0.9953,-0.061,0.0926,1.0
3.9734930000000004,0.9949,-0.0581,0.0896,1.0
3.998285,0.9885,-0.0531,0.0978,0.99
4.015172,0.9909,-0.0546,0.0969,1.0
4.039095,1.0011,-0.0624,0.0941,1.01
4.053617,1.0036,-0.061,0.0926,1.01
4.072823,1.0017,-0.0585,0.0916,1.01
4.09811,1.0007,-0.0576,0.0906,1.01
4.114898,0.9988,-0.0605,0.0921,1.0
4.138006,0.9972,-0.0614,0.097,1.0
4.156133,0.9919,-0.059,0.0984,1.0
4.175064,0.99,-0.056,0.093,1.0
4.198633,0.9905,-0.0537,0.0885,1.0
4.215557,0.9919,-0.0546,0.0891,1.0
4.238122,0.9978,-0.0575,0.0965,1.0
4.257056,1.0002,-0.0575,0.0979,1.01
4.281446,1.0017,-0.0576,0.0951,1.01
4.299093,0.9973,-0.0605,0.094,1.0
4.315603,0.9929,-0.058,0.093,1.0
4.344793,0.9929,-0.057,0.0954,1.0
4.361214,0.9958,-0.0571,0.0945,1.0
4.381848,0.9958,-0.0561,0.0916,1.0
4.398804,0.9983,-0.0551,0.0891,1.0
4.415618,1.0002,-0.0576,0.0911,1.01
4.444786,0.9997,-0.062,0.0941,1.01
4.464386,0.9963,-0.0614,0.0974,1.0
4.481064,0.9953,-0.0634,0.0989,1.0
4.498143,0.9928,-0.0619,0.0974,1.0
4.523309,0.9949,-0.058,0.0979,1.0
4.54501,0.9929,-0.0555,0.0988,1.0
4.564618,0.9958,-0.056,0.0979,1.0
4.581046,0.9914,-0.058,0.0984,1.0
4.598583,0.9885,-0.059,0.0935,0.99
4.623326,0.9938,-0.0619,0.096,1.0
4.644218,0.9958,-0.0644,0.0921,1.0
4.665033,1.0007,-0.061,0.0926,1.01
4.681167,0.9972,-0.0575,0.0999,1.0
4.69866,0.9948,-0.0604,0.1023,1.0
4.723369,0.9967,-0.0614,0.0994,1.0
4.74263,0.9992,-0.059,0.0984,1.01
4.765462,0.9958,-0.0571,0.0935,1.0
4.782682,0.9944,-0.0566,0.091,1.0
4.801248,0.9944,-0.0561,0.0901,1.0
4.824111,0.9953,-0.0585,0.0896,1.0
4.849804,0.9973,-0.0585,0.0901,1.0
4.864823,0.9924,-0.059,0.0886,1.0
4.88223,0.9919,-0.061,0.0891,1.0
4.906522,0.9958,-0.0605,0.0862,1.0
4.924658,0.9988,-0.0605,0.0921,1.0
4.947276,0.9997,-0.0634,0.0946,1.01
4.964786,0.9982,-0.0643,0.0975,1.01
4.981998,0.9958,-0.0615,0.0935,1.0
5.006078,0.9924,-0.0605,0.0915,1.0
5.023001,0.9934,-0.059,0.0915,1.0
