time,gFx,gFy,gFz,TgF
0.019703999999999944,0.9931,-0.0087,-0.1368,1.0
0.030796000000000046,0.9931,-0.0116,-0.1363,1.0
0.05578700000000003,0.9877,-0.0111,-0.1334,1.0
0.07310300000000014,0.9902,-0.0116,-0.1349,1.0
0.10205200000000003,0.9936,-0.0117,-0.1392,1.0
0.12089699999999981,0.9975,-0.0063,-0.1387,1.01
0.13014800000000015,0.9989,-0.0038,-0.1378,1.01
0.15571499999999983,0.9941,-0.0019,-0.1398,1.0
0.1724009999999998,0.9917,-0.0073,-0.1427,1.0
0.1965119999999998,0.9902,-0.0146,-0.149,1.0
0.2128230000000002,0.9873,-0.017,-0.149,1.0
0.2307380000000001,0.9883,-0.0181,-0.15,1.0
0.25544600000000006,0.9945,-0.019,-0.1499,1.01
0.27217199999999986,0.9941,-0.0136,-0.1456,1.0
0.29314300000000015,0.9907,-0.0068,-0.1442,1.0
0.3133499999999998,0.9873,-0.0019,-0.1491,1.0
0.33257199999999987,0.9902,-0.0038,-0.1476,1.0
0.3560469999999998,0.9893,-0.0034,-0.1525,1.0
0.3811619999999998,0.9878,-0.0044,-0.155,1.0
0.404185,0.9853,-0.0049,-0.1515,1.0
0.41774699999999987,0.9848,-0.0073,-0.1462,1.0
0.4388350000000001,0.9946,-0.0146,-0.1504,1.01
0.4562010000000001,0.9985,-0.0147,-0.1548,1.01
0.4808279999999998,0.9922,-0.0113,-0.1603,1.01
0.5037719999999997,0.9883,-0.0142,-0.1656,1.0
0.5195239999999997,0.9878,-0.0132,-0.1613,1.0
0.5383889999999996,0.9883,-0.0128,-0.1588,1.0
0.5555079999999997,0.9887,-0.0093,-0.1544,1.0
0.5816540000000003,0.9864,-0.0049,-0.1603,1.0
0.603764,0.9903,-0.0069,-0.1647,1.0
0.6173570000000002,0.9878,-0.0132,-0.1666,1.0
0.6385690000000004,0.9834,-0.0176,-0.1652,1.0
0.6557550000000001,0.9824,-0.0186,-0.1608,1.0
0.6808160000000001,0.9873,-0.0122,-0.1559,1.0
0.7034310000000001,0.9854,-0.0107,-0.1564,1.0
0.721781,0.9864,-0.0113,-0.1603,1.0
0.7386090000000003,0.9878,-0.0093,-0.1583,1.0
0.7575320000000003,0.9888,-0.0049,-0.1613,1.0
0.7815240000000001,0.9903,-0.0063,-0.1554,1.0
0.8021010000000004,0.9883,-0.0078,-0.1559,1.0
0.8202990000000003,0.9849,-0.0078,-0.1598,1.0
0.8387390000000003,0.9869,-0.0079,-0.1608,1.0
0.8643770000000002,0.9913,-0.0103,-0.1588,1.0
0.8814489999999999,0.9927,-0.0132,-0.1636,1.01
0.901923,0.9888,-0.0074,-0.1637,1.0
0.9221589999999997,0.9883,-0.0074,-0.1594,1.0
0.9392370000000003,0.9859,-0.0074,-0.1628,1.0
0.9648029999999999,0.9869,-0.0098,-0.1627,1.0
0.9817239999999998,0.9898,-0.0118,-0.1652,1.0
1.002231,0.9883,-0.0113,-0.1661,1.0
1.0232789999999996,0.9873,-0.0093,-0.1618,1.0
1.0472000000000001,0.9873,-0.0054,-0.1594,1.0
1.0648819999999999,0.9883,-0.0074,-0.1598,1.0
1.094354,0.9878,-0.0089,-0.1622,1.0
1.114694,0.9888,-0.0064,-0.1608,1.0
1.1232699999999998,0.9864,-0.0069,-0.1638,1.0
1.1475530000000003,0.9873,-0.0084,-0.1642,1.0
1.1639429999999997,0.9864,-0.0064,-0.1633,1.0
1.1926259999999997,0.9903,-0.0079,-0.1613,1.0
1.213,0.9942,-0.0049,-0.1632,1.01
1.223904,0.9913,-0.003,-0.1633,1.0
1.2478639999999999,0.9815,-0.0054,-0.156,0.99
1.264259,0.9839,-0.0078,-0.1545,1.0
1.293603,0.9912,-0.0128,-0.1569,1.0
1.3083840000000002,0.9913,-0.0098,-0.1622,1.0
1.331931,0.9888,-0.0069,-0.1603,1.0
1.3479770000000002,0.9903,-0.0084,-0.1603,1.0
1.364764,0.9878,-0.0103,-0.1617,1.0
1.3907790000000002,0.9893,-0.0103,-0.1583,1.0
1.4158920000000004,0.9892,-0.0123,-0.1583,1.0
1.430447,0.9868,-0.0117,-0.1569,1.0
1.4478809999999998,0.9854,-0.0118,-0.1608,1.0
1.4731490000000003,0.9859,-0.0103,-0.1594,1.0
1.4902759999999997,0.9883,-0.0113,-0.1593,1.0
1.5093949999999996,0.9917,-0.0123,-0.1602,1.0
1.5300279999999997,0.9932,-0.0089,-0.1617,1.01
1.5468130000000002,0.9908,-0.0054,-0.1588,1.0
1.572171,0.9859,-0.0049,-0.1594,1.0
1.5888169999999997,0.9839,-0.0059,-0.1598,1.0
1.6184380000000003,0.9869,-0.0084,-0.1618,1.0
1.6303260000000002,0.9888,-0.0098,-0.1593,1.0
1.6486679999999998,0.9912,-0.0093,-0.1559,1.0
1.672403,0.9898,-0.0103,-0.1617,1.0
1.6892740000000002,0.9898,-0.0108,-0.1622,1.0
1.715731,0.9864,-0.0108,-0.1647,1.0
1.7303620000000004,0.9844,-0.0123,-0.1618,1.0
1.7492020000000004,0.9844,-0.0123,-0.1613,1.0
1.7728010000000003,0.9887,-0.0132,-0.1603,1.0
1.7893619999999997,0.9927,-0.0089,-0.1583,1.01
1.8163739999999997,0.9883,-0.0079,-0.1681,1.0
1.830559,0.9888,-0.0064,-0.1638,1.0
1.8557160000000001,0.9854,-0.0068,-0.1579,1.0
1.8726719999999997,0.9898,-0.0103,-0.1583,1.0
1.897875,0.9903,-0.0128,-0.1608,1.0
1.9132540000000002,0.9864,-0.0117,-0.1593,1.0
1.9387860000000003,0.9878,-0.0074,-0.1638,1.0
1.9558660000000003,0.9869,-0.0049,-0.1594,1.0
1.9728459999999997,0.9864,-0.0054,-0.1618,1.0
2.003185,0.9883,-0.0123,-0.1598,1.0
2.0157860000000003,0.9883,-0.0142,-0.1613,1.0
2.0383459999999998,0.9873,-0.0108,-0.1632,1.0
2.055619,0.9878,-0.0074,-0.1652,1.0
2.0728429999999998,0.9889,-0.0049,-0.1667,1.0
2.1025270000000003,0.9854,-0.0059,-0.1584,1.0
2.120349,0.9898,-0.0103,-0.1569,1.0
2.138661,0.9883,-0.0123,-0.1613,1.0
2.155578,0.9878,-0.0103,-0.1603,1.0
2.180776,0.9883,-0.0108,-0.1613,1.0
2.2021750000000004,0.9888,-0.0113,-0.1666,1.0
2.219689,0.9903,-0.0084,-0.1632,1.0
2.2388320000000004,0.9908,-0.0069,-0.1656,1.0
2.255928,0.9873,-0.0064,-0.1638,1.0
2.2813499999999998,0.9859,-0.0059,-0.1623,1.0
