time,gFx,gFy,gFz,TgF
0.010422000000000153,0.9318,-0.3604,-0.0978,1.0
0.027277999999999913,0.8652,-0.3326,-0.1362,0.94
0.04532999999999987,0.817,-0.1881,-0.1728,0.86
0.08944099999999988,0.8451,0.0552,-0.1498,0.86
0.08987500000000015,0.8451,0.0552,-0.1498,0.86
0.11081299999999983,0.9042,0.0702,-0.1498,0.92
0.127297,0.9288,0.1395,-0.149,0.95
0.1530450000000001,0.9081,0.231,-0.1343,0.95
0.17365899999999979,0.8705,0.2072,-0.132,0.9
0.1980599999999999,0.8614,0.1379,-0.1302,0.88
0.21022600000000002,0.8808,0.1179,-0.1172,0.9
0.22811100000000017,0.9275,0.1097,-0.0776,0.94
0.2523780000000002,0.9648,0.1242,-0.0109,0.97
0.2749860000000002,0.9704,0.0852,0.0172,0.97
0.3002449999999999,1.0275,-0.0572,0.0036,1.03
0.31023999999999985,1.0406,-0.0994,-0.0141,1.05
0.33540400000000004,0.9994,-0.1001,-0.0774,1.01
0.3533970000000002,0.9398,0.1106,-0.2313,0.97
0.39264199999999994,1.1318,0.2829,-0.1486,1.18
0.39320699999999986,1.1318,0.2829,-0.1486,1.18
0.4104589999999999,1.4203,0.0488,-0.2365,1.44
0.43536699999999984,1.4445,-0.1569,-0.4624,1.52
0.4519120000000001,1.0659,-0.1096,-0.4498,1.16
0.491822,0.7407,-0.3529,-0.484,0.95
0.49312699999999987,0.7495,-0.3637,-0.4931,0.97
0.5125280000000001,0.9624,-0.265,-0.4434,1.09
0.5376729999999998,1.1298,0.2102,-0.2888,1.18
0.5534249999999998,1.1278,0.3901,-0.2602,1.22
0.5893799999999998,0.9312,0.1265,-0.2617,0.98
0.5936340000000002,0.911,0.0681,-0.2528,0.95
0.6190600000000002,0.7938,-0.1455,-0.1738,0.83
0.6360519999999998,0.7442,-0.1923,-0.1252,0.78
0.653429,0.7397,-0.1756,-0.1004,0.77
0.6969289999999999,0.8817,-0.0669,-0.1354,0.89
0.6977699999999998,0.8891,-0.0645,-0.1388,0.9
