time,gFx,gFy,gFz,TgF
0.006447999999999787,0.6497,0.0109,-0.1573,0.67
0.030927999999999845,1.1357,0.1141,-0.19,1.16
0.042914999999999814,1.3778,0.1309,-0.1814,1.4
0.06843600000000016,1.4667,0.1776,-0.3913,1.53
0.0863839999999998,1.2521,0.2007,-0.4013,1.33
0.10651400000000022,1.0331,0.1361,-0.2351,1.07
0.13159799999999988,0.7761,-0.002,-0.0418,0.78
0.1430039999999999,0.6853,-0.0692,0.0155,0.69
0.16821799999999998,0.5823,-0.2308,0.1186,0.64
0.1852999999999998,0.6146,-0.3217,0.1322,0.71
0.2194069999999999,0.8097,-0.2978,0.0763,0.87
0.2262979999999999,0.8426,-0.2727,0.0559,0.89
0.24294400000000005,0.9119,-0.182,-0.0031,0.93
0.2680739999999999,1.0064,-0.0249,-0.0648,1.01
0.28521799999999997,1.0433,0.0599,-0.0806,1.05
0.32268300000000005,1.0456,0.0411,-0.0419,1.05
0.32597699999999996,1.0411,0.025,-0.0355,1.04
0.3433839999999999,1.0243,-0.0198,-0.0222,1.02
0.37105200000000016,1.0146,-0.0707,0.0216,1.02
0.384779,1.0195,-0.0751,0.0373,1.02
0.4295559999999998,1.1344,-0.1257,0.0474,1.14
0.4302489999999999,1.1441,-0.133,0.053,1.15
0.445014,1.2356,-0.162,0.0809,1.25
0.46945000000000014,1.3222,-0.1626,0.0363,1.33
0.48572099999999985,1.3452,-0.1138,0.0401,1.35
0.5190899999999998,1.3299,-0.0188,-0.1667,1.34
0.5264199999999999,1.3211,-0.0112,-0.2694,1.35
0.5516220000000001,1.2131,0.0977,-0.4997,1.32
0.5691130000000002,1.0469,0.2014,-0.5484,1.2
0.59354,0.7795,0.202,-0.4494,0.92
0.628174,0.6788,-0.0016,-0.1233,0.69
0.6344569999999998,0.6755,-0.0379,-0.0596,0.68
0.6512720000000001,0.6741,-0.0881,0.1053,0.69
0.6682079999999999,0.7857,-0.192,0.1852,0.83
0.6990409999999998,1.1099,-0.3305,0.0208,1.16
