time,gFx,gFy,gFz,TgF
0.005777999999999839,0.674,0.0718,-0.3197,0.75
0.02271599999999996,0.7518,0.1901,-0.2631,0.82
0.06276100000000007,0.8023,0.1373,-0.2495,0.85
0.06379899999999994,0.8023,0.1373,-0.2495,0.85
0.08855499999999994,0.7218,0.0578,-0.1956,0.75
0.10608899999999988,0.6766,0.0579,-0.1232,0.69
0.1301739999999998,0.6406,0.0831,-0.0251,0.65
0.14785499999999985,0.6438,0.0805,0.0272,0.65
0.18854900000000008,0.9201,-0.0616,-0.123,0.93
0.18880000000000008,0.9201,-0.0616,-0.123,0.93
0.206013,1.0869,-0.0912,-0.2306,1.11
0.2303989999999998,1.3402,-0.0511,-0.3114,1.38
0.24743100000000018,1.5569,0.0349,-0.2665,1.58
0.2804479999999998,1.4967,0.1093,-0.0508,1.5
0.28849100000000005,1.3684,0.0782,-0.3262,1.41
0.30535999999999985,1.2108,-0.0532,-0.6296,1.37
0.33060100000000014,1.3096,-0.1402,-0.6632,1.47
0.35257000000000005,0.9792,0.108,-0.6734,1.19
0.376271,0.8776,0.3102,-0.5986,1.11
0.38858000000000015,0.9678,0.2842,-0.4833,1.12
0.41417800000000016,1.2985,-0.1127,-0.4286,1.37
0.4299750000000002,1.2955,-0.4087,-0.4295,1.42
0.4512670000000001,1.0624,-0.405,-0.3498,1.19
0.47231200000000007,0.8767,-0.1741,-0.3165,0.95
0.4894029999999998,0.7422,0.0012,-0.3336,0.81
0.5142259999999998,0.5624,0.1842,-0.3752,0.7
0.5328789999999999,0.4458,0.2234,-0.3331,0.6
0.5600109999999998,0.3924,0.1141,-0.2645,0.49
0.584384,0.5358,-0.0781,-0.1627,0.57
0.5970810000000002,0.6682,-0.1876,-0.1719,0.71
0.6142690000000002,0.8167,-0.2775,-0.1802,0.88
0.630614,0.8034,-0.2876,-0.1568,0.87
0.650471,0.7156,-0.2818,-0.0634,0.77
0.6761979999999999,0.6458,-0.2706,-0.0285,0.7
0.696529,0.7102,-0.2093,-0.1099,0.75
0.713635,0.8903,-0.1126,-0.1655,0.91
0.7311030000000001,1.1219,0.0058,-0.2455,1.15
0.775862,1.5849,0.0416,-0.2023,1.6
0.7760400000000001,1.5849,0.0416,-0.2023,1.6
0.7965610000000001,1.7914,-0.0665,0.0392,1.79
0.8132489999999999,1.7165,-0.182,0.1052,1.73
0.8387920000000002,1.2545,-0.2865,0.0145,1.29
0.8593449999999998,0.8918,-0.1926,-0.4491,1.02
0.879159,0.87,-0.0404,-0.3458,0.94
0.8966180000000001,0.7885,-0.0625,-0.7122,1.06
0.9141759999999999,0.837,-0.0239,-0.8409,1.19
0.9389069999999999,1.1094,0.0052,-0.7212,1.32
0.959435,1.2418,-0.0112,-0.5524,1.36
0.9863819999999999,1.1764,-0.0478,-0.3496,1.23
0.9970159999999999,1.0332,-0.0901,-0.236,1.06
1.0139369999999999,0.8474,-0.1309,-0.1594,0.87
1.0397180000000001,0.6333,-0.0602,-0.1395,0.65
1.058627,0.5496,0.0583,-0.2094,0.59
1.0803029999999998,0.565,0.1327,-0.3245,0.66
1.0961090000000002,0.6093,0.1571,-0.3902,0.74
1.122503,0.7219,0.05,-0.3493,0.8
1.1389909999999999,0.7973,-0.0499,-0.2605,0.84
1.1599119999999998,0.8432,-0.1244,-0.2054,0.88
1.185969,0.8203,-0.0684,-0.1766,0.84
1.19639,0.7594,0.0039,-0.123,0.77
1.2220149999999999,0.6293,0.1628,0.0538,0.65
1.2386970000000002,0.6021,0.1954,0.1749,0.66
1.26201,0.7162,0.0568,0.1858,0.74
1.2849979999999999,0.9654,-0.0924,-0.0193,0.97
1.2969080000000002,1.1611,-0.1395,-0.1783,1.18
1.3216290000000002,1.5621,-0.1312,-0.3576,1.61
1.3388870000000002,1.7896,-0.0144,-0.2942,1.81
1.3619400000000002,1.6959,0.0911,-0.1957,1.71
1.387232,1.2331,0.0262,-0.6548,1.4
1.3987980000000002,1.1425,-0.0573,-0.7693,1.38
1.4226619999999999,1.0635,-0.0512,-0.7789,1.32
1.441217,0.8927,0.1322,-0.6138,1.09
1.459841,0.8506,0.2896,-0.4625,1.01
1.491108,1.2162,-0.013,-0.3876,1.28
1.5053859999999997,1.3482,-0.2853,-0.425,1.44
1.5223509999999996,1.2275,-0.3705,-0.364,1.33
1.5477319999999999,0.975,-0.1443,-0.3421,1.04
1.5880340000000004,0.5846,0.1477,-0.3322,0.69
1.588648,0.5632,0.1556,-0.3344,0.67
1.6049410000000002,0.4921,0.2169,-0.337,0.63
1.6217680000000003,0.4791,0.2105,-0.2707,0.59
1.6488019999999999,0.5213,0.0485,-0.2199,0.57
1.6760400000000004,0.6869,-0.1389,-0.1901,0.73
1.6881250000000003,0.7545,-0.1874,-0.1741,0.8
1.704803,0.7275,-0.2027,-0.1444,0.77
