time,gFx,gFy,gFz,TgF
0.0069189999999998975,0.7681,-0.1992,0.1087,0.8
0.023779999999999912,0.8114,-0.2066,0.1272,0.85
0.061024999999999885,1.0467,0.1659,0.0625,1.06
0.06487700000000007,1.063,0.2005,0.0502,1.08
0.08280900000000013,1.0709,0.2518,0.0611,1.1
0.1072829999999998,0.9076,0.0591,0.0985,0.91
0.12416999999999989,0.8681,-0.0519,0.1184,0.88
0.16100899999999996,0.9416,0.0043,0.0929,0.95
0.16572699999999996,0.9467,0.0325,0.0707,0.95
0.1902149999999998,0.9641,0.1195,-0.0644,0.97
0.20690000000000008,0.9803,0.0884,-0.0978,0.99
0.23703200000000013,1.0208,-0.0477,0.0241,1.02
0.2603049999999998,1.1302,-0.1164,0.0393,1.14
0.265733,1.1649,-0.1268,0.025,1.17
0.29052100000000003,1.1446,-0.1036,-0.0114,1.15
0.3080099999999999,0.9535,-0.1144,-0.0473,0.96
0.3367610000000001,0.6961,-0.2169,-0.1771,0.75
0.3562620000000001,0.7865,-0.2194,-0.2094,0.84
0.3735409999999999,1.0841,-0.1359,-0.1392,1.1
0.3902779999999999,1.3696,-0.0284,-0.0527,1.37
0.4069880000000001,1.4475,0.0969,-0.0465,1.45
0.43602700000000016,1.0966,0.1866,0.0409,1.11
0.45700699999999994,0.9816,0.0233,0.1126,0.99
0.47338000000000013,0.9517,-0.0886,0.1634,0.97
0.490135,0.8883,-0.1138,0.1507,0.91
0.5082460000000002,0.8333,-0.109,0.115,0.85
0.5400839999999998,0.7921,-0.1074,0.0487,0.8
0.56088,0.7893,-0.0976,0.0379,0.8
0.57328,0.7868,-0.0863,0.048,0.79
0.5904440000000002,0.7721,-0.0779,0.061,0.78
0.6093739999999999,0.7614,-0.0804,0.0448,0.77
0.6371630000000001,0.7508,-0.0889,0.0164,0.76
0.6651479999999999,0.6938,-0.1356,0.0758,0.71
0.6739069999999998,0.6542,-0.1463,0.0804,0.68
0.6909930000000002,0.5752,-0.1387,0.0771,0.6
0.7158549999999999,0.5711,-0.0875,0.0514,0.58
0.7327949999999999,0.7277,-0.0571,0.0839,0.73
0.7682349999999998,1.0449,-0.2546,0.1459,1.09
0.7730060000000001,1.0551,-0.2747,0.1402,1.1
0.7984140000000002,0.9862,-0.1804,0.0237,1.0
0.8160379999999998,0.8737,0.0054,-0.0074,0.87
0.8379650000000001,0.7896,0.0827,-0.0205,0.79
0.8582040000000002,0.9557,0.0012,-0.2351,0.98
0.8737550000000001,1.2044,-0.0773,-0.3743,1.26
0.89845,1.7714,0.0202,-0.641,1.88
0.9152689999999999,1.803,0.2213,-0.5664,1.9
0.9361389999999998,1.4574,0.2086,-0.217,1.49
0.956385,1.0537,0.1558,0.0128,1.07
0.9733290000000001,1.0148,-0.014,0.1825,1.03
0.9988389999999998,1.7378,-0.2738,0.117,1.76
1.0159340000000001,1.8719,0.0157,-0.0746,1.87
1.0365380000000002,1.471,-0.0033,-0.1242,1.48
1.0590060000000001,0.9712,-0.209,0.0628,1.0
1.081566,0.7158,-0.2497,0.1969,0.78
1.098589,0.6784,-0.1761,0.2336,0.74
1.116308,0.6891,-0.0778,0.1896,0.72
1.136787,0.7426,0.0548,0.1004,0.75
1.1676540000000002,0.7604,0.124,-0.001,0.77
1.18228,0.746,0.0659,-0.0057,0.75
1.198829,0.7243,-0.0018,0.0161,0.72
1.2240449999999998,0.6367,-0.0487,0.0444,0.64
1.2416360000000002,0.5238,-0.0942,0.0446,0.53
1.2850389999999998,0.7358,-0.0298,-0.0788,0.74
1.285371,0.7358,-0.0298,-0.0788,0.74
1.2983699999999998,0.8,0.1475,-0.1121,0.82
1.323973,0.7426,0.3902,-0.3052,0.89
1.3436370000000002,0.8278,0.4114,-0.2299,0.95
1.360121,1.0729,0.202,-0.0005,1.09
1.381633,1.2592,-0.2169,0.2742,1.31
1.398682,1.2384,-0.4663,0.3704,1.37
1.4235389999999999,1.0294,-0.3816,0.3614,1.16
1.445326,0.8744,-0.1105,0.198,0.9
1.468597,0.8886,-0.0579,-0.3345,0.95
1.4814919999999998,0.9136,-0.0518,-0.5843,1.09
1.4997980000000002,1.0652,-0.0786,-0.799,1.33
1.523829,1.4938,-0.2308,-0.6185,1.63
1.543088,1.346,0.0085,-0.3184,1.38
1.5693029999999997,1.3435,-0.0855,-0.2806,1.38
1.5820540000000003,1.5213,-0.0758,-0.1999,1.54
1.6083530000000001,1.5608,-0.3388,-0.0727,1.6
1.6250999999999998,1.5293,-0.6682,-0.0356,1.67
1.6412500000000003,1.4829,-0.6531,0.0957,1.62
1.6680380000000001,1.1564,-0.0865,0.2166,1.18
1.6821359999999999,0.9721,0.1815,0.174,1.0
1.7072710000000004,0.8683,0.2508,0.0983,0.91
1.7242110000000004,0.8451,0.1102,0.037,0.85
1.752301,0.8018,-0.1481,0.0271,0.82
1.7734629999999996,0.7877,-0.1979,0.0903,0.82
1.7820809999999998,0.7691,-0.1948,0.1053,0.8
1.8066339999999999,0.6738,-0.1535,0.1753,0.71
1.8237079999999999,0.5762,-0.1223,0.2001,0.62
1.848078,0.4775,-0.214,0.167,0.55
1.8657589999999997,0.5066,-0.2866,0.1273,0.6
1.890085,0.7631,-0.2304,0.1108,0.8
1.907324,0.9612,-0.1304,0.195,0.99
1.924538,1.0478,-0.0452,0.2051,1.07
1.967587,0.9262,-0.0893,-0.0414,0.93
1.9683970000000004,0.9248,-0.0957,-0.0395,0.93
1.9899740000000001,1.0075,-0.1597,0.0692,1.02
2.0071139999999996,1.0875,-0.1639,0.0744,1.1
2.025347,1.0358,-0.0742,0.0166,1.04
2.0692000000000004,0.4978,0.1385,-0.3117,0.6
2.069713,0.4978,0.1385,-0.3117,0.6
2.090332,0.723,0.0035,-0.3746,0.81
2.107514,1.1716,-0.1171,-0.4994,1.28
2.1325979999999998,1.9648,-0.1908,-0.6084,2.07
2.1535539999999997,1.7464,0.0033,-0.3902,1.79
2.173592,1.1529,0.1591,-0.2568,1.19
2.1898540000000004,0.9949,0.1638,-0.1387,1.02
2.2081359999999997,1.3582,-0.0211,0.3212,1.4
2.23189,2.0785,-0.2419,0.0151,2.09
2.2526219999999997,1.6565,-0.0856,0.0095,1.66
2.2827400000000004,0.8899,-0.1839,0.0526,0.91
2.289789,0.778,-0.2201,0.0635,0.81
2.3079590000000003,0.5489,-0.2238,0.1175,0.6
2.33171,0.5441,-0.0634,0.2267,0.59
2.3539890000000003,0.7239,0.1087,0.1911,0.76
2.3763129999999997,0.8214,0.088,-0.0192,0.83
2.389926,0.8356,-0.0192,-0.1189,0.84
2.4153260000000003,0.7724,-0.1814,-0.074,0.8
2.4323370000000004,0.7095,-0.1874,0.0099,0.73
2.473084,0.5756,0.0888,0.0463,0.58
2.473368,0.5756,0.0888,0.0463,0.58
2.4908089999999996,0.6019,0.2462,0.0874,0.66
2.515541,0.595,0.2431,-0.0278,0.64
2.5322129999999996,0.5589,0.1438,-0.2116,0.61
2.5540659999999997,0.5927,0.0767,-0.3016,0.67
2.5747159999999996,0.8462,0.1672,-0.0708,0.87
2.5988170000000004,1.093,0.1415,0.1607,1.11
2.615894,0.9483,-0.0397,0.3202,1.0
2.6321079999999997,0.8455,-0.2903,0.425,0.99
2.669664,1.1885,-0.242,-0.0887,1.22
2.673018,1.2063,-0.2119,-0.1248,1.23
2.6980969999999997,1.4139,0.1413,-0.6848,1.58
2.7151249999999996,1.5622,-0.0444,-1.0664,1.89
2.74636,1.4021,-0.4266,-0.4291,1.53
2.7684430000000004,1.2931,-0.5284,-0.3728,1.45
2.7739209999999996,1.3724,-0.4745,-0.3837,1.5
2.7982889999999996,1.5203,0.3732,0.0422,1.57
2.8149309999999996,1.106,0.4767,0.1239,1.21
2.84467,1.3532,-0.2075,-0.2582,1.39
2.8700970000000003,1.4635,-0.2866,0.0261,1.49
2.8744430000000003,1.4254,-0.2635,0.0359,1.45
2.8982479999999997,1.0186,-0.0032,-0.1114,1.02
2.915484,0.9271,0.1279,-0.0693,0.94
2.9449379999999996,0.9671,0.0283,-0.0311,0.97
2.9674829999999996,1.0271,-0.2684,-0.0348,1.06
2.981998,1.0,-0.3474,-0.0321,1.06
2.9989929999999996,0.9456,-0.1935,0.0293,0.97
3.016291,0.9128,-0.0157,0.0888,0.92
3.0407669999999998,0.8158,0.093,0.1516,0.83
3.0703899999999997,0.5735,-0.0416,0.2132,0.61
3.081695,0.5077,-0.134,0.2288,0.57
3.097874,0.4756,-0.2393,0.2419,0.58
3.123462,0.5165,-0.3536,0.2762,0.68
3.1450259999999997,0.6072,-0.3535,0.1795,0.73
3.1666939999999997,0.7594,-0.2975,0.0145,0.82
3.181292,0.9147,-0.1969,-0.0584,0.94
3.1982340000000002,1.0642,-0.0505,-0.0912,1.07
3.223205,1.0714,-0.0549,-0.0745,1.08
3.2442260000000003,0.9161,-0.1115,-0.0804,0.93
3.263928,0.7876,-0.0078,-0.1854,0.81
3.2812020000000004,0.723,0.1042,-0.2854,0.78
3.299664,0.8803,-0.0421,-0.323,0.94
3.3235029999999997,1.5501,-0.2349,-0.5447,1.66
3.344391,1.6966,-0.0856,-0.8075,1.88
3.3652499999999996,1.3874,0.308,-0.5324,1.52
3.381855,1.053,0.5721,-0.1829,1.21
3.4066460000000003,1.2515,0.0146,0.1997,1.27
3.423959,1.6003,-0.4305,0.2027,1.67
3.4533009999999997,1.6065,-0.3142,-0.0094,1.64
3.478016,1.2916,-0.1154,-0.0353,1.3
3.4900539999999998,1.072,-0.069,0.0077,1.07
3.506902,0.8269,-0.08,0.1363,0.84
3.5242389999999997,0.7583,-0.1165,0.1988,0.79
3.5495279999999996,0.832,0.0046,0.1548,0.85
3.583761,0.8145,0.1121,0.0084,0.82
3.5897769999999998,0.8067,0.097,0.004,0.81
3.606428,0.7692,0.0062,-0.0007,0.77
3.624073,0.7386,-0.0765,0.0324,0.74
3.648262,0.7886,-0.1004,0.0677,0.8
3.6844099999999997,0.7946,0.0405,0.0263,0.8
3.6904719999999998,0.7678,0.0505,0.042,0.77
3.7062290000000004,0.6528,0.0198,0.0744,0.66
3.731719,0.5691,-0.1046,0.0548,0.58
3.751755,0.6418,-0.0994,0.0628,0.65
3.7725540000000004,0.7199,0.0814,-0.027,0.72
3.789764,0.6574,0.2829,-0.0973,0.72
3.8069439999999997,0.6762,0.4423,-0.1436,0.82
3.8319409999999996,0.9261,0.3427,-0.2368,1.02
3.853486,1.002,0.0118,0.0109,1.0
