time,gFx,gFy,gFz,TgF
0.001590999999999898,1.0641,0.0205,-0.043,1.07
0.02670899999999987,0.8672,0.1912,0.0399,0.89
0.043791000000000135,0.7395,0.2495,0.0667,0.78
0.06508400000000014,0.6189,0.2426,0.0666,0.67
0.11305399999999999,0.5649,0.0648,0.119,0.58
0.11355000000000004,0.5649,0.0648,0.119,0.58
0.12673699999999988,0.5876,0.0126,0.14,0.6
0.14392199999999988,0.6157,-0.0147,0.1585,0.64
0.17329499999999998,0.6212,0.0278,0.1681,0.64
0.21461599999999992,0.592,0.0659,0.1588,0.62
0.21488299999999994,0.592,0.0659,0.1588,0.62
0.22643000000000013,0.6126,0.0491,0.1327,0.63
0.2442359999999999,0.6703,0.0295,0.0836,0.68
0.2653500000000002,0.7895,0.0466,0.0724,0.79
0.3116279999999998,1.0466,0.1342,0.152,1.07
0.3121010000000002,1.0466,0.1342,0.152,1.07
0.32638100000000003,1.0286,0.174,0.171,1.06
0.3517950000000001,0.8368,0.1867,0.069,0.86
0.375127,1.0221,0.1062,-0.4204,1.11
0.4125040000000002,1.31,0.0058,-0.3794,1.36
0.41278000000000015,1.31,0.0058,-0.3794,1.36
0.42653799999999986,1.5981,-0.019,-0.6767,1.74
0.45226999999999995,2.2176,-0.1347,-0.4785,2.27
0.4728659999999998,2.0481,0.0194,-0.3132,2.07
0.5171190000000001,1.3157,-0.1255,0.3248,1.36
0.517414,1.3157,-0.1255,0.3248,1.36
0.5274399999999999,1.1406,-0.1126,0.343,1.2
0.5527690000000001,0.9042,-0.0747,0.1872,0.93
0.5715020000000002,0.8816,0.0247,-0.0203,0.88
0.613486,1.196,0.0792,-0.2618,1.23
0.6142479999999999,1.2068,0.0763,-0.2612,1.24
0.6352250000000002,1.2294,0.0899,-0.1785,1.25
0.6513800000000001,1.1485,0.1443,-0.0464,1.16
0.6743730000000001,0.9143,0.2023,0.1092,0.94
0.711071,0.5663,0.056,0.1264,0.58
0.7179129999999998,0.5287,0.0165,0.1053,0.54
0.7347779999999999,0.47,-0.0921,0.0512,0.48
0.7518009999999999,0.4572,-0.2003,-0.0043,0.5
0.7727900000000001,0.4886,-0.2957,0.0011,0.57
0.8214589999999999,0.6885,-0.1975,0.1107,0.72
0.8217189999999999,0.6885,-0.1975,0.1107,0.72
0.8352110000000001,0.7578,-0.1414,0.1359,0.78
0.8523390000000002,0.8532,-0.0615,0.1592,0.87
0.8795470000000001,0.9419,0.0775,0.1606,0.96
0.9210600000000002,0.8863,0.1276,0.106,0.9
0.921322,0.8863,0.1276,0.106,0.9
0.9346369999999999,0.8603,0.0939,0.0967,0.87
0.9539209999999998,0.8376,0.0394,0.1046,0.85
1.014431,0.9471,-0.0352,0.1111,0.95
1.014856,0.9471,-0.0352,0.1111,0.95
1.018319,0.954,-0.0269,0.1287,0.96
1.035435,0.9512,0.0178,0.2226,0.98
1.0611860000000002,0.8738,0.0386,0.3126,0.93
1.083901,0.6633,0.0681,0.157,0.69
1.1265170000000002,0.6957,0.1229,-0.6453,0.96
1.1272280000000001,0.6957,0.1229,-0.6453,0.96
1.1349339999999999,0.8722,0.116,-0.7124,1.13
1.1616780000000002,2.0575,0.256,-0.7269,2.2
1.1824219999999999,3.1425,0.3162,-0.7374,3.24
1.2214680000000002,1.7339,0.1886,0.021,1.74
1.221777,1.7339,0.1886,0.021,1.74
1.2363490000000001,1.4414,0.0523,0.0752,1.44
1.2599740000000001,0.8158,0.0811,0.1252,0.83
1.281943,0.4622,0.1347,0.2269,0.53
1.323916,0.5529,0.0037,0.0319,0.55
1.3241079999999998,0.5529,0.0037,0.0319,0.55
1.3432,0.8263,-0.1921,-0.0447,0.85
1.3601390000000002,0.9859,-0.2902,-0.0171,1.03
1.4151129999999998,1.1976,-0.067,-0.0538,1.2
1.4158330000000001,1.1859,-0.041,-0.0419,1.19
1.41865,1.1718,-0.0159,-0.0348,1.17
1.4442240000000002,0.9192,0.208,0.0081,0.94
1.4630139999999998,0.7039,0.2682,0.0706,0.76
1.4807739999999998,0.5455,0.2353,0.1006,0.6
1.5256999999999996,0.4407,0.0813,0.1928,0.49
1.5259929999999997,0.4407,0.0813,0.1928,0.49
1.5439299999999996,0.4894,0.0577,0.1842,0.53
1.5606030000000004,0.5715,0.049,0.165,0.6
1.6144049999999996,0.948,0.011,0.1616,0.96
1.6149820000000004,0.948,0.011,0.1616,0.96
1.6263709999999998,1.0243,0.0218,0.1286,1.03
1.6428130000000003,1.102,0.0486,0.0207,1.1
1.6723920000000003,0.9486,0.1193,-0.0066,0.96
1.7162240000000004,1.0109,-0.1142,-0.3594,1.08
1.7166949999999996,1.0254,-0.121,-0.3421,1.09
1.726057,1.1019,-0.122,-0.3165,1.15
1.7428850000000002,1.2817,0.0017,-0.4967,1.37
1.775588,1.895,0.0908,-0.5242,1.97
1.8157009999999998,2.0493,-0.0728,0.1059,2.05
1.815957,2.0493,-0.0728,0.1059,2.05
1.828316,1.7449,-0.0996,0.1734,1.76
1.8430340000000003,1.3841,-0.0628,0.1521,1.39
1.8731710000000001,0.8856,0.0066,0.0512,0.89
1.9110230000000001,0.5577,0.1439,0.0378,0.58
1.9116,0.5514,0.1488,0.0396,0.57
1.9264729999999997,0.5268,0.1624,0.0838,0.56
1.9438510000000004,0.5572,0.1151,0.1171,0.58
1.969099,0.6807,0.0247,0.175,0.7
2.0238829999999997,0.9131,-0.2696,0.0235,0.95
2.0244359999999997,0.9092,-0.2726,0.0152,0.95
2.026943,0.9058,-0.2776,0.0079,0.95
2.052429,0.7826,-0.2398,-0.0312,0.82
2.068449,0.7246,-0.1866,0.0026,0.75
2.126468,0.6991,0.1472,0.171,0.73
2.1273210000000002,0.702,0.1507,0.1744,0.74
2.1285930000000004,0.702,0.1507,0.1744,0.74
2.151574,0.7708,0.1445,0.1722,0.8
2.1682629999999996,0.8615,0.0958,0.1573,0.88
2.216271,1.0614,-0.0132,0.1057,1.07
2.217015,1.057,-0.0117,0.1096,1.06
2.234552,0.9984,-0.0006,0.1265,1.01
2.2514890000000003,0.8789,0.0136,0.137,0.89
2.269031,0.7287,0.0331,0.1344,0.74
2.3197349999999997,0.4209,0.2195,-0.2058,0.52
2.320075,0.4209,0.2195,-0.2058,0.52
2.3347179999999996,0.6306,0.2411,-0.3845,0.78
2.35184,1.0721,0.1999,-0.3981,1.16
2.3774509999999998,2.6347,0.2545,-0.5031,2.69
2.431145,1.6271,0.217,-0.1863,1.65
2.431451,1.5633,0.2039,-0.1233,1.58
2.4356989999999996,1.4433,0.1732,-0.0296,1.45
2.4519200000000003,0.9898,0.1141,0.1886,1.01
2.477575,0.5629,0.189,0.2128,0.63
2.5310129999999997,0.7873,0.1962,0.0211,0.81
2.5313559999999997,0.7873,0.1962,0.0211,0.81
2.535368,0.8673,0.1704,-0.0043,0.88
2.5527290000000002,1.1565,0.0617,-0.0448,1.16
2.580496,1.557,-0.1717,-0.2,1.58
2.6239480000000004,1.316,0.0871,-0.1171,1.32
2.6242789999999996,1.316,0.0871,-0.1171,1.32
2.634549,1.1608,0.177,-0.0401,1.17
2.65318,0.8724,0.2727,0.0331,0.91
2.683116,0.5457,0.2718,0.0896,0.62
2.723847,0.4628,0.0897,0.0622,0.48
2.724112,0.4628,0.0897,0.0622,0.48
2.7345420000000003,0.4704,0.0527,0.0796,0.48
2.7599210000000003,0.5588,-0.0571,0.0753,0.57
2.7812200000000002,0.6293,-0.1148,0.0954,0.65
2.8243609999999997,0.734,-0.0092,0.1031,0.74
2.824604,0.734,-0.0092,0.1031,0.74
2.83484,0.786,0.0419,0.0949,0.79
2.860487,0.9475,0.1575,0.0781,0.96
2.881588,1.0824,0.2318,0.0818,1.11
2.9241970000000004,1.0262,0.2129,0.0711,1.05
2.924371,1.0262,0.2129,0.0711,1.05
2.935872,0.9518,0.1875,0.1067,0.98
2.9603339999999996,0.7782,0.1367,0.1733,0.81
2.9773500000000004,0.6658,0.0927,0.172,0.69
3.031226,1.2891,-0.0403,-0.1981,1.3
3.031714,1.2891,-0.0403,-0.1981,1.3
3.043544,1.5308,-0.0758,-0.2702,1.56
3.0597960000000004,1.9125,-0.0704,-0.5244,1.98
3.0820860000000003,1.7846,0.0263,-0.4325,1.84
3.125241,1.509,-0.1843,0.1634,1.53
3.1258999999999997,1.509,-0.1843,0.1634,1.53
3.143059,1.2936,-0.2563,0.1677,1.33
3.159975,1.0706,-0.2137,0.0749,1.09
3.1810029999999996,0.9925,-0.0648,-0.1275,1.0
3.224507,0.8759,0.2362,-0.0257,0.91
3.2250699999999997,0.8759,0.2362,-0.0257,0.91
3.2430329999999996,0.8269,0.2145,0.1424,0.87
3.2606279999999996,0.7956,0.1732,0.2377,0.85
3.2826120000000003,0.7796,0.0632,0.2221,0.81
3.319535,0.949,-0.287,-0.0624,0.99
3.326822,0.9851,-0.3322,-0.1058,1.05
3.3444960000000004,1.0614,-0.4216,-0.2104,1.16
3.360748,1.0449,-0.3863,-0.1971,1.13
3.3902539999999997,0.9797,-0.1246,-0.0335,0.99
3.4336080000000004,0.8656,0.1402,0.1526,0.89
3.43414,0.8656,0.1402,0.1526,0.89
3.4428599999999996,0.8441,0.1418,0.1641,0.87
3.468959,0.8233,0.0411,0.147,0.84
3.4889289999999997,0.8578,-0.074,0.1012,0.87
3.5354720000000004,1.0096,-0.0993,0.0511,1.02
3.535801,1.0096,-0.0993,0.0511,1.02
3.543076,1.018,-0.0803,0.0579,1.02
3.5682660000000004,0.9853,-0.0021,0.1156,0.99
3.5914289999999998,0.8973,0.0244,0.1673,0.91
3.6247619999999996,0.8099,-0.0095,0.1618,0.83
3.6255290000000002,0.8065,-0.0129,0.157,0.82
3.643041,0.7797,-0.0262,0.1266,0.79
3.6681920000000003,0.773,-0.0317,0.1128,0.78
3.6903430000000004,0.7938,-0.0238,0.136,0.81
3.739801,0.8439,0.0601,0.1388,0.86
3.7404349999999997,0.8449,0.0601,0.1402,0.86
3.743423,0.8483,0.0615,0.1432,0.86
3.7688249999999996,0.8783,0.028,0.1842,0.9
3.7914969999999997,0.8709,-0.0778,0.2147,0.9
3.83082,0.6855,-0.1729,0.1432,0.72
3.8313179999999996,0.6855,-0.1729,0.1432,0.72
3.852162,0.5558,-0.0754,-0.0442,0.56
3.8694230000000003,0.5516,0.0128,-0.225,0.6
3.8862240000000003,0.797,0.069,-0.3993,0.89
3.944198,2.6496,0.5752,-0.5324,2.76
3.9444559999999997,2.6496,0.5752,-0.5324,2.76
3.9458339999999996,2.6521,0.5643,-0.5416,2.77
3.9681290000000002,2.2939,0.3912,-0.2324,2.34
3.9919729999999998,1.5012,0.0516,0.0148,1.5
4.030857,0.7809,-0.1397,0.1131,0.8
4.031494,0.7809,-0.1397,0.1131,0.8
4.051041,0.6374,-0.0704,0.1679,0.66
4.067872,0.5651,0.0092,0.1374,0.58
4.088951,0.6846,0.0383,0.1613,0.7
4.132241,1.0364,-0.0029,0.0258,1.04
4.132568,1.0364,-0.0029,0.0258,1.04
4.151188,1.1117,0.0031,0.0119,1.11
4.170152,1.09,0.0483,-0.0321,1.09
4.228393,0.8519,0.045,0.0857,0.86
4.228755,0.8519,0.045,0.0857,0.86
4.236578,0.8186,0.0281,0.0968,0.82
4.251808,0.76,0.0231,0.1099,0.77
4.2768,0.6995,0.0572,0.1423,0.72
4.29708,0.6878,0.1136,0.1789,0.72
4.327272,0.7603,0.2307,0.191,0.82
4.334829,0.7862,0.2409,0.1951,0.85
4.351833,0.8457,0.2304,0.2021,0.9
4.377443,0.9328,0.1435,0.1689,0.96
4.398141,0.9703,0.035,0.1099,0.98
4.439302,0.877,-0.1137,0.0309,0.88
4.43949,0.877,-0.1137,0.0309,0.88
4.452473,0.814,-0.0903,0.0477,0.82
4.476237,0.7028,-0.0115,0.1052,0.71
4.500243,0.6046,0.0563,0.1785,0.63
4.545421,0.556,0.1917,0.2518,0.64
4.546033,0.5579,0.1966,0.2538,0.64
4.559513,0.5892,0.2024,0.2599,0.68
4.576254,0.5655,0.1483,0.259,0.64
4.597356,0.7919,0.1096,-0.0867,0.8
4.634467,1.6582,-0.0952,-0.1854,1.67
4.63594,1.696,-0.0996,-0.2313,1.71
4.659818,2.0666,-0.0214,-0.7938,2.21
4.677164,2.6886,-0.1677,-0.6432,2.77
4.699327,2.3285,-0.1682,-0.0876,2.34
4.735126,1.2474,-0.0875,0.0362,1.25
4.743415,1.032,-0.0576,0.1033,1.04
4.75996,0.7567,-0.0341,0.2592,0.8
4.777593,0.5707,0.0255,0.3088,0.65
4.79808,0.4504,0.135,0.2561,0.54
4.835895,0.6892,0.2259,0.1659,0.74
4.843043,0.7498,0.2103,0.1261,0.79
4.860205,0.9189,0.1002,-0.0282,0.92
4.876702,1.0395,-0.0333,-0.1512,1.05
4.906885,1.1985,-0.3251,-0.2449,1.27
4.950164,0.9329,-0.1187,-0.0477,0.94
4.95043,0.9329,-0.1187,-0.0477,0.94
4.959485,0.887,-0.067,0.0014,0.89
4.984788,0.7979,-0.0024,0.1134,0.81
5.046468,0.7919,-0.1507,0.1568,0.82
5.04711,0.7919,-0.1507,0.1568,0.82
5.047296,0.7919,-0.1507,0.1568,0.82
5.059405,0.8159,-0.1519,0.1297,0.84
5.084819,0.888,-0.0658,0.1073,0.9
5.11482,0.9475,0.0497,0.1023,0.95
5.120691,0.9485,0.0576,0.1051,0.96
5.142813,0.9192,0.067,0.1101,0.93
5.16816,0.878,0.004,0.1034,0.88
5.184962,0.8603,-0.0413,0.102,0.87
5.206013,0.8388,-0.0687,0.0966,0.85
5.233252,0.8058,-0.0409,0.0692,0.81
5.24382,0.7922,-0.0262,0.0671,0.8
5.268361,0.7658,-0.0063,0.1057,0.77
5.285387,0.7572,-0.0108,0.1614,0.77
5.308882,0.7808,-0.0472,0.2126,0.81
5.337834,0.7799,-0.0913,0.2725,0.83
5.342912,0.7744,-0.0985,0.2778,0.83
5.367806,0.6701,-0.136,0.2449,0.73
5.384857,0.5887,-0.1229,0.1087,0.61
5.436992,0.8792,0.0524,-0.3506,0.95
5.437306,0.8792,0.0524,-0.3506,0.95
5.450955,1.3226,0.1238,-0.4865,1.41
5.467774,2.264,0.4228,-0.5,2.36
5.484816,3.2217,0.6026,-0.4475,3.31
5.536593,1.5421,0.1948,0.0406,1.55
