time,gFx,gFy,gFz,TgF
0.01061600000000018,0.8853,-0.421,-0.439,1.07
0.026815000000000033,0.9344,-0.4136,-0.4884,1.13
0.052113999999999994,0.9732,-0.1532,-0.4448,1.08
0.07487900000000014,0.9107,0.0085,-0.322,0.97
0.09558199999999983,0.8407,0.018,-0.2578,0.88
0.10991200000000001,0.7952,0.0005,-0.2615,0.84
0.1263700000000001,0.7385,-0.0212,-0.2493,0.78
0.15250399999999997,0.6245,-0.0375,-0.1912,0.65
0.1739989999999998,0.543,-0.0306,-0.1627,0.57
0.2008040000000002,0.5544,-0.0574,-0.1297,0.57
0.20943099999999992,0.5782,-0.0661,-0.1133,0.59
0.22773200000000005,0.6398,-0.0336,-0.1153,0.65
0.2515839999999998,0.721,0.0845,-0.1622,0.74
0.2867679999999999,0.9308,0.1291,-0.2494,0.97
0.29274999999999984,0.9509,0.1172,-0.2736,1.0
0.309596,0.994,0.0888,-0.3379,1.05
0.32783799999999985,1.0599,0.0749,-0.3381,1.12
0.3522090000000002,1.0955,0.0837,-0.227,1.12
0.3793980000000001,0.9836,0.1052,-0.072,0.99
0.39270799999999983,0.9806,0.1506,-0.0035,0.99
0.4098820000000001,1.0413,0.1782,0.0785,1.06
0.43552899999999983,1.2487,0.0436,0.0711,1.25
0.452159,1.3034,-0.0497,-0.2119,1.32
0.4867870000000001,1.4997,0.2782,-0.4622,1.59
0.492934,1.5573,0.3163,-0.4409,1.65
0.5102880000000001,1.4955,0.2262,-0.4302,1.57
0.5366740000000001,0.9787,0.1458,-0.5923,1.15
0.5521660000000002,0.7171,0.083,-0.633,0.96
0.573305,0.6454,-0.1071,-0.6685,0.94
0.5963509999999999,0.895,-0.0256,-0.5519,1.05
0.6177419999999998,0.9236,0.1816,-0.4471,1.04
0.6358579999999998,0.9123,0.165,-0.4554,1.03
0.6530040000000001,0.9768,0.0676,-0.4492,1.08
0.6735220000000002,1.075,0.0139,-0.3986,1.15
0.6939320000000002,1.0442,0.0489,-0.3557,1.1
0.7180430000000002,0.9148,0.0819,-0.3098,0.97
