time,gFx,gFy,gFz,TgF
0.011714000000000002,1.1697,-0.3292,-0.0553,1.22
0.02993900000000016,1.3056,-0.2387,-0.0424,1.33
0.045274000000000036,1.411,-0.1356,-0.0567,1.42
0.07623500000000005,1.4373,0.1468,-0.4085,1.5
0.08594899999999983,1.3973,0.1836,-0.4814,1.49
0.10735599999999978,1.3359,0.0852,-0.4643,1.42
0.12790999999999997,1.3748,0.0785,-0.6582,1.53
0.15283999999999986,1.2593,0.3097,-0.7585,1.5
0.17529299999999992,1.005,0.2031,-0.4677,1.13
0.19464499999999996,0.7855,0.035,-0.2778,0.83
0.21161200000000013,0.6315,-0.019,-0.2526,0.68
0.22779099999999985,0.5486,-0.0394,-0.2805,0.62
0.2537259999999999,0.6166,-0.0482,-0.3209,0.7
0.28882200000000013,1.011,0.2004,-0.2694,1.07
0.294276,1.073,0.2373,-0.2691,1.13
0.31128599999999995,1.2862,0.3474,-0.28,1.36
0.3286889999999998,1.3518,0.3593,-0.3024,1.43
0.35737700000000006,1.1619,0.206,-0.3037,1.22
0.3867790000000002,0.9805,-0.0355,-0.2935,1.02
0.3944540000000001,0.9243,-0.0652,-0.2973,0.97
0.4110290000000001,0.7675,-0.0948,-0.2756,0.82
0.4365619999999999,0.5643,-0.0462,-0.1949,0.6
0.4531399999999999,0.4932,0.0222,-0.1599,0.52
0.48674099999999987,0.4836,0.199,-0.0899,0.53
0.4941629999999999,0.5062,0.2445,-0.0661,0.57
0.5112399999999999,0.5847,0.3125,-0.0086,0.66
0.5365220000000002,0.7538,0.299,0.038,0.81
0.5590320000000002,0.9076,0.165,0.0174,0.92
0.5786639999999998,0.983,0.0212,-0.0434,0.98
0.5945119999999999,0.9941,-0.0729,-0.0866,1.0
0.6113900000000001,0.9619,-0.0914,-0.1034,0.97
0.6373389999999999,0.8741,0.003,-0.1327,0.88
0.654655,0.8095,0.1107,-0.1262,0.83
0.682553,0.7393,0.2743,-0.0162,0.79
0.6948720000000002,0.75,0.3274,0.047,0.82
0.7204199999999998,0.8672,0.352,0.1408,0.95
0.7370869999999998,0.9997,0.3166,0.1584,1.06
0.7586140000000001,1.1825,0.2499,0.1489,1.22
0.791334,1.4193,0.0766,-0.0122,1.42
0.7942499999999999,1.4267,0.069,-0.0424,1.43
0.8193709999999998,1.447,0.0582,-0.3458,1.49
0.836509,1.4048,0.1852,-0.2993,1.45
0.8663789999999998,1.4231,0.3181,-0.3644,1.5
0.8907759999999998,1.2563,0.3384,-0.4814,1.39
0.894517,1.2299,0.3415,-0.4763,1.36
0.919203,0.9061,0.3524,-0.3886,1.05
0.9387470000000002,0.7559,0.2755,-0.349,0.88
0.9619719999999998,0.7017,0.1099,-0.3787,0.8
0.9856739999999999,0.7471,0.0086,-0.4635,0.88
1.0030100000000002,0.8214,-0.0144,-0.5027,0.96
1.0197949999999998,0.9394,-0.0548,-0.5013,1.07
1.0370970000000002,1.0553,-0.0648,-0.4767,1.16
1.0576210000000001,1.1277,0.0187,-0.4331,1.21
1.082014,1.1286,0.1968,-0.3908,1.21
