time,gFx,gFy,gFz,TgF
0.0017170000000001906,1.2912,0.0461,-0.0585,1.29
0.015594000000000108,1.3082,0.1573,-0.0737,1.32
0.032639000000000085,1.3964,0.2347,0.0155,1.42
0.06344299999999992,1.6036,0.231,-0.3775,1.66
0.0941559999999999,1.2843,0.3983,-0.431,1.41
0.09434999999999993,1.2843,0.3983,-0.431,1.41
0.11586700000000016,0.7947,0.3456,-0.764,1.16
0.13282399999999983,0.7757,0.2296,-0.651,1.04
0.15883199999999986,0.9348,-0.0732,-0.5616,1.09
0.19762799999999991,1.0379,-0.1533,-0.4311,1.13
0.19794400000000012,1.0379,-0.1533,-0.4311,1.13
0.21670100000000003,0.9476,0.0084,-0.4033,1.03
0.233946,0.8918,0.1127,-0.3923,0.98
0.2588469999999998,0.8034,0.1377,-0.3479,0.89
0.2956810000000001,0.6273,-0.0667,-0.1778,0.66
0.2959369999999999,0.6273,-0.0667,-0.1778,0.66
0.316754,0.5638,-0.1881,-0.161,0.62
0.3404449999999999,0.6049,-0.2166,-0.3215,0.72
0.3615879999999998,0.691,-0.0687,-0.3779,0.79
0.3853629999999999,0.7935,0.0101,-0.2984,0.85
0.3986170000000002,0.7996,0.0,-0.2621,0.84
0.4154070000000001,0.7862,-0.0589,-0.2388,0.82
0.44287199999999993,0.7318,-0.1452,-0.25,0.79
0.4578700000000002,0.7427,-0.1851,-0.2228,0.8
0.4883630000000001,0.7789,-0.2608,-0.1882,0.84
0.5040779999999998,0.7938,-0.2866,-0.1699,0.86
0.526125,0.8621,-0.2564,-0.1445,0.91
0.5407169999999999,0.8861,-0.2266,-0.1337,0.92
0.5575760000000001,0.8925,-0.2164,-0.1415,0.93
0.5786899999999999,0.8876,-0.2379,-0.1453,0.93
0.598398,0.9761,-0.2198,-0.1763,1.02
0.6235050000000002,1.0531,-0.0636,-0.1523,1.07
0.6405219999999998,1.1757,-0.0636,-0.3903,1.24
0.6583600000000001,1.6082,-0.0848,-0.3324,1.64
0.6787459999999998,1.8077,-0.14,-0.4682,1.87
0.7133479999999999,1.5201,-0.4322,-1.0008,1.87
0.723722,1.4108,-0.3758,-0.9494,1.74
0.74078,1.2316,-0.267,-0.6174,1.4
0.7705190000000002,0.8466,-0.1884,-0.4474,0.98
0.7971469999999998,0.8066,-0.1907,-0.4477,0.94
0.8011720000000002,0.8179,-0.183,-0.4594,0.96
0.8239260000000002,0.8563,-0.1144,-0.4824,0.99
0.8410519999999999,0.8625,-0.0651,-0.4153,0.96
0.8696060000000001,0.8329,-0.0828,-0.3584,0.91
0.8840189999999999,0.8274,-0.1022,-0.3451,0.9
0.8999450000000002,0.8181,-0.1031,-0.3378,0.89
0.9238599999999999,0.8114,-0.0295,-0.2905,0.86
0.9414639999999999,0.7855,0.027,-0.2463,0.82
0.971914,0.6949,0.0404,-0.2692,0.75
0.9985659999999998,0.6515,-0.0125,-0.3181,0.73
1.00739,0.6456,-0.0109,-0.3049,0.71
1.0242879999999999,0.7074,0.0087,-0.2518,0.75
1.0413999999999999,0.7937,0.0673,-0.2015,0.82
1.0664630000000002,0.7884,0.2158,-0.2138,0.84
1.1057100000000002,0.7599,0.1597,-0.2089,0.8
1.106147,0.7599,0.1597,-0.2089,0.8
1.1242779999999999,0.7421,0.1121,-0.1828,0.77
1.1496659999999999,0.7033,0.114,-0.1359,0.73
1.1663199999999998,0.7243,0.1111,-0.121,0.74
1.206836,0.8902,0.1331,-0.1063,0.91
1.207074,0.8902,0.1331,-0.1063,0.91
1.2318410000000002,0.9882,0.153,-0.0762,1.0
1.2488839999999999,1.0422,0.125,-0.077,1.05
1.2709320000000002,1.1392,0.1182,-0.1609,1.16
1.3011309999999998,1.3522,0.1868,-0.173,1.38
1.3077869999999998,1.3749,0.205,-0.2155,1.41
1.3323459999999998,1.486,0.1857,-0.4188,1.56
1.3493659999999998,1.7272,0.2854,-0.3679,1.79
1.367455,1.6705,0.3357,-0.3102,1.73
1.4101270000000001,0.9761,0.3886,-0.3631,1.11
1.4107349999999999,0.9302,0.3779,-0.3757,1.07
1.432055,0.6967,0.1156,-0.5104,0.87
1.4490750000000001,0.7587,-0.11,-0.603,0.98
1.4706519999999998,0.9776,-0.1289,-0.5505,1.13
1.503825,1.0153,0.0681,-0.4323,1.11
1.5166320000000004,0.9534,0.1231,-0.4089,1.04
1.5328879999999998,0.8674,0.1761,-0.3422,0.95
1.5497899999999998,0.7987,0.1597,-0.2636,0.86
1.5811859999999998,0.7343,0.0509,-0.1356,0.75
1.619236,0.7357,-0.08,-0.2123,0.77
1.6199659999999998,0.742,-0.0874,-0.2176,0.78
1.6320810000000003,0.765,-0.1263,-0.2484,0.81
1.6494169999999997,0.8021,-0.1637,-0.28,0.87
1.6817700000000002,0.8103,-0.1577,-0.2531,0.86
1.71436,0.7496,-0.1485,-0.2239,0.8
1.7145479999999997,0.7496,-0.1485,-0.2239,0.8
1.7319719999999998,0.7503,-0.1105,-0.2296,0.79
1.7571199999999996,0.7249,-0.0682,-0.1989,0.75
1.7791769999999998,0.6481,-0.1259,-0.1791,0.68
1.8145540000000002,0.6912,-0.2257,-0.1825,0.75
1.815048,0.7048,-0.2273,-0.1896,0.76
1.8324660000000002,0.846,-0.1971,-0.2026,0.89
1.8594790000000003,0.9911,-0.1227,-0.1749,1.01
1.8810630000000002,0.9336,-0.1372,-0.1099,0.95
1.914422,0.9679,-0.1823,-0.0409,0.99
1.9148329999999998,0.9722,-0.1823,-0.0404,0.99
1.9326869999999996,1.0294,-0.1684,-0.0492,1.04
1.9579459999999997,1.2369,-0.0667,0.0014,1.24
1.9789789999999998,1.3283,0.0211,-0.1932,1.34
2.0152520000000003,1.8381,-0.218,-0.1202,1.85
2.0163149999999996,1.8732,-0.227,-0.135,1.89
2.0409930000000003,1.6393,-0.2926,-0.357,1.7
2.0580730000000003,1.3516,-0.5005,-0.561,1.55
2.078977,1.0201,-0.5151,-0.6378,1.31
2.115438,0.827,-0.0288,-0.6297,1.04
2.1164829999999997,0.83,-0.0082,-0.623,1.04
2.1405079999999996,0.9173,0.1224,-0.5303,1.07
2.1589099999999997,0.9988,0.1659,-0.4927,1.13
2.180357,0.9907,0.1237,-0.4554,1.1
2.2145989999999998,0.9146,-0.1906,-0.3749,1.01
2.215604,0.9146,-0.1906,-0.3749,1.01
2.240525,0.8823,-0.2691,-0.3,0.97
2.2575770000000004,0.8643,-0.2353,-0.2833,0.94
2.2795769999999997,0.8155,-0.111,-0.2802,0.87
2.3110679999999997,0.6947,0.1034,-0.274,0.75
2.3171039999999996,0.6572,0.1406,-0.2742,0.73
2.3413190000000004,0.5745,0.2347,-0.2741,0.68
2.3578729999999997,0.553,0.2447,-0.2461,0.65
2.378755,0.6409,0.1832,-0.1887,0.69
2.4103849999999998,0.7355,0.0609,-0.183,0.76
2.42478,0.7667,0.0285,-0.1844,0.79
2.4412640000000003,0.7224,0.0462,-0.1889,0.75
2.4605259999999998,0.6736,0.0822,-0.1691,0.7
2.509329,0.8501,0.194,-0.1511,0.88
2.5097509999999996,0.8501,0.194,-0.1511,0.88
2.5239779999999996,0.9603,0.1878,-0.1456,0.99
2.541558,1.07,0.164,-0.1429,1.09
2.5662269999999996,1.163,0.132,-0.1359,1.18
2.615277,1.2489,0.2289,-0.0586,1.27
2.6157719999999998,1.2592,0.225,-0.0551,1.28
2.6233779999999998,1.2902,0.2083,-0.0405,1.31
2.6415300000000004,1.3743,0.1166,-0.1377,1.39
2.665821,1.3513,-0.0261,-0.4637,1.43
2.71436,1.2312,0.4259,-0.4293,1.37
2.714728,1.2312,0.4259,-0.4293,1.37
2.723489,1.0773,0.4057,-0.5229,1.26
2.7488919999999997,0.8101,0.283,-0.5427,1.02
2.765893,0.7385,0.1121,-0.4817,0.89
2.811215,0.8756,-0.0327,-0.3798,0.96
2.811541,0.8756,-0.0327,-0.3798,0.96
2.8243419999999997,0.9216,-0.008,-0.38,1.0
2.849151,0.935,0.0266,-0.3913,1.01
2.866296,0.9248,0.0629,-0.3741,1.0
2.887003,0.9165,0.1193,-0.3389,0.98
2.92368,0.8377,0.0411,-0.2283,0.87
2.925089,0.8377,0.0411,-0.2283,0.87
2.949587,0.781,-0.079,-0.1895,0.81
2.966559,0.7799,-0.1318,-0.1974,0.82
2.9887689999999996,0.758,-0.1717,-0.2564,0.82
3.023027,0.7987,-0.1549,-0.2815,0.86
3.031658,0.8123,-0.127,-0.2567,0.86
3.048717,0.8173,-0.0716,-0.2282,0.85
3.0666320000000002,0.8198,-0.0438,-0.226,0.85
3.1263319999999997,0.7153,-0.1854,-0.2035,0.77
3.1269340000000003,0.7153,-0.1854,-0.2035,0.77
3.13197,0.7055,-0.197,-0.1884,0.76
3.1573320000000002,0.6773,-0.2204,-0.1172,0.72
3.177798,0.7244,-0.2287,-0.0976,0.77
3.2151820000000004,0.9468,-0.2199,-0.0511,0.97
3.2155570000000004,0.9468,-0.2199,-0.0511,0.97
3.2320469999999997,1.0617,-0.1563,-0.0509,1.07
3.2572150000000004,1.1055,-0.0815,-0.0877,1.11
3.279946,1.1625,-0.0967,-0.069,1.17
3.3149179999999996,1.3698,0.0078,-0.1922,1.38
3.315202,1.3698,0.0078,-0.1922,1.38
3.3323869999999998,1.5012,-0.0919,-0.2025,1.52
3.357705,1.7161,-0.3775,-0.1394,1.76
3.37568,1.5346,-0.5154,-0.3477,1.66
3.4216610000000003,1.0555,-0.3385,-0.5825,1.25
3.4218349999999997,1.0555,-0.3385,-0.5825,1.25
3.433809,0.9674,-0.2246,-0.5387,1.13
3.4575709999999997,0.8374,-0.0154,-0.4461,0.95
3.474456,0.8488,0.0363,-0.4483,0.96
3.520964,0.913,0.113,-0.3306,0.98
3.5214600000000003,0.913,0.113,-0.3306,0.98
3.5402889999999996,0.9283,0.0025,-0.3375,0.99
3.557309,0.9186,-0.1298,-0.3298,0.98
3.5880099999999997,0.8646,-0.234,-0.2413,0.93
3.6242159999999997,0.8584,-0.0532,-0.2343,0.89
3.6246349999999996,0.8565,-0.0376,-0.2373,0.89
3.6402,0.8325,0.0614,-0.267,0.88
3.6570549999999997,0.8125,0.1527,-0.2991,0.88
3.677523,0.7732,0.2168,-0.2853,0.85
3.7027970000000003,0.7352,0.1773,-0.2341,0.79
3.7240960000000003,0.7343,0.1135,-0.1975,0.77
3.740475,0.7424,0.0643,-0.1742,0.77
3.7576219999999996,0.7213,0.0635,-0.1597,0.74
3.7785089999999997,0.6979,0.0713,-0.1718,0.72
3.8060790000000004,0.6712,0.1027,-0.158,0.7
3.824078,0.679,0.1298,-0.1244,0.7
3.840676,0.7229,0.138,-0.1241,0.75
3.859236,0.7689,0.1729,-0.1312,0.8
3.8874370000000003,0.8715,0.2332,-0.1277,0.91
3.9198389999999996,1.0358,0.2055,-0.0869,1.06
3.923717,1.0469,0.1986,-0.0906,1.07
3.941083,1.0655,0.1887,-0.105,1.09
3.965949,1.1143,0.2292,-0.0765,1.14
3.982952,1.1912,0.2145,-0.0478,1.21
4.02075,1.19,0.0787,-0.4356,1.27
4.025207,1.169,0.053,-0.5548,1.3
4.048321,1.5585,0.1681,-0.3829,1.61
4.065638,1.7823,0.3988,-0.3925,1.87
4.086603,1.4678,0.4862,-0.4879,1.62
4.119759,0.9785,0.2661,-0.561,1.16
4.124567,0.9283,0.182,-0.5423,1.09
4.148483,0.8091,-0.1464,-0.5437,0.99
4.165105,0.8271,-0.2463,-0.4979,1.0
4.186546,0.882,-0.1511,-0.476,1.01
4.213656,0.8804,-0.0087,-0.4419,0.99
4.223354,0.8844,0.0289,-0.4392,0.99
4.248822,0.7934,0.1628,-0.396,0.9
4.265982,0.7423,0.2325,-0.3716,0.86
4.286616,0.7447,0.2022,-0.3777,0.86
4.315027,0.7815,0.0167,-0.3414,0.85
4.323976,0.7875,-0.0442,-0.3136,0.85
4.349642,0.7678,-0.1934,-0.2796,0.84
4.366007,0.776,-0.2428,-0.289,0.86
