time,gFx,gFy,gFz,TgF
0.002366,1.0119,0.0027,-0.0300,1.01
0.025197,0.9820,-0.0063,-0.0151,0.98
0.040245,0.9693,-0.0117,-0.0225,0.97
0.056864,0.9917,-0.0391,-0.0114,0.99
0.082075,1.0200,-0.0480,-0.0218,1.02
0.098691,1.0323,-0.0305,-0.0291,1.03
0.117196,1.0265,-0.0120,-0.0464,1.03
0.139824,1.0314,-0.0179,-0.0527,1.03
0.157431,1.0309,-0.0297,-0.0496,1.03
0.181446,1.0115,-0.0043,-0.0651,1.01
0.198373,0.9837,0.0178,-0.0563,0.99
0.224234,0.9514,0.0098,-0.0238,0.95
0.240236,0.9283,-0.0026,-0.0059,0.93
0.258608,0.9414,-0.0335,-0.0031,0.94
0.282343,0.9876,-0.0786,-0.0121,0.99
0.299146,1.0110,-0.0967,-0.0044,1.02
0.326700,1.0042,-0.0747,-0.0018,1.01
0.341371,0.9881,-0.0585,-0.0015,0.99
0.366372,0.9726,-0.0468,-0.0003,0.97
0.383221,0.9809,-0.0502,-0.0046,0.98
0.408866,1.0129,-0.0943,-0.0054,1.02
0.424668,1.0312,-0.1583,-0.0053,1.04
0.448143,1.0543,-0.2403,0.0160,1.08
0.465244,1.0945,-0.2557,0.0805,1.13
0.481839,1.0328,-0.2154,-0.0664,1.06
0.507090,0.9943,-0.0133,-0.0325,0.99
0.529081,0.9739,0.0381,-0.0267,0.98
0.547046,0.9793,0.0190,-0.0314,0.98
0.565203,0.9928,0.0013,-0.0302,0.99
0.582138,1.0088,-0.0270,-0.0254,1.01
0.607334,1.0207,-0.0850,0.0014,1.02
0.628040,1.0210,-0.1318,0.0139,1.03
0.650009,1.0025,-0.1293,0.0098,1.01
0.665056,1.0059,-0.1205,0.0191,1.01
0.682531,1.0274,-0.0985,0.0231,1.03
0.707980,1.0106,-0.0758,-0.0109,1.01
0.729699,0.9931,-0.0808,-0.0448,1.00
0.755118,1.0512,-0.0211,0.0018,1.05
0.765322,1.0654,0.0107,0.0261,1.07
0.784617,1.0228,0.0346,0.0636,1.03
0.808103,0.9331,-0.0430,0.1087,0.94
0.824412,0.9136,-0.1453,0.1336,0.93
0.854028,0.8865,-0.2328,0.1173,0.92
0.865729,0.8516,-0.2320,0.0765,0.89
0.890964,0.7644,-0.2173,-0.0504,0.80
0.907895,0.7097,-0.2056,-0.1667,0.76
0.938814,0.8314,-0.1363,-0.2583,0.88
0.961712,1.1352,0.0604,-0.1894,1.15
0.966001,1.1728,0.0785,-0.1735,1.19
0.990424,1.2555,0.0872,0.0103,1.26
1.006996,1.2322,-0.0551,0.1957,1.25
1.028715,1.2659,-0.3045,0.3359,1.34
1.048286,1.2796,-0.3949,0.2604,1.36
1.073405,1.1663,-0.2373,0.0844,1.19
1.090464,1.0436,-0.0569,0.0513,1.05
1.107709,0.9230,0.1122,0.0729,0.93
1.148942,0.7857,0.1847,0.1766,0.83
1.149179,0.7857,0.1847,0.1766,0.83
1.173353,0.7825,-0.0396,0.1761,0.80
1.190326,0.8007,-0.1423,0.1623,0.83
1.208930,0.8509,-0.1870,0.1513,0.88
1.237744,0.9095,-0.0599,0.1203,0.92
1.258573,0.8534,0.0240,0.0704,0.86
1.273284,0.8057,0.0431,0.0527,0.81
1.290699,0.7749,0.0007,0.0615,0.78
1.316317,0.7917,-0.0408,0.0741,0.80
1.339192,0.8078,0.0170,0.0241,0.81
1.362237,0.7928,0.0143,-0.0244,0.79
1.373277,0.8202,0.0043,-0.0514,0.82
1.390482,0.8807,-0.0106,-0.0483,0.88
1.415349,0.9554,-0.0171,0.0404,0.96
1.435543,0.9072,-0.0586,0.0949,0.91
1.452230,0.8253,-0.1549,0.1104,0.85
1.473609,0.7714,-0.2358,0.1104,0.81
1.498396,0.8294,-0.1314,0.2079,0.87
1.514865,0.8320,-0.0393,0.2420,0.87
1.536106,0.8394,-0.0427,0.1034,0.85
1.562094,1.0694,-0.1778,-0.0463,1.09
1.573241,1.2307,-0.2509,-0.1624,1.27
1.598895,1.5982,-0.2169,-0.3803,1.66
1.615838,1.5686,-0.1314,-0.4637,1.64
1.637788,1.2636,-0.1659,-0.1446,1.28
1.657200,1.1947,-0.3335,0.1952,1.26
1.673893,1.1739,-0.3455,0.3616,1.28
1.699065,1.1666,-0.0435,0.1515,1.18
1.716103,1.4405,0.1269,0.1324,1.45
1.736918,1.6109,-0.0172,-0.0017,1.61
1.758896,1.1550,-0.1897,-0.1074,1.18
1.782022,0.7526,-0.1673,0.1176,0.78
1.799027,0.7519,-0.1247,0.2936,0.82
1.816113,0.8604,-0.1055,0.3736,0.94
1.837052,0.9549,-0.0293,0.2685,0.99
1.858492,0.9801,0.1085,0.0676,0.99
1.881798,0.9081,0.1284,-0.0724,0.92
1.898769,0.8255,0.0591,-0.0951,0.83
1.928405,0.6978,-0.0505,0.0186,0.70
1.952578,0.6068,-0.1155,0.1314,0.63
1.956847,0.6047,-0.1251,0.1471,0.63
1.981678,0.6611,-0.1610,0.1523,0.70
1.998839,0.6678,-0.1491,0.1035,0.69
2.019233,0.6424,-0.1138,0.0185,0.65
2.056673,0.7243,-0.0897,-0.0517,0.73
2.057994,0.7384,-0.0961,-0.0481,0.75
2.081622,0.9270,-0.1032,0.0055,0.93
2.098488,1.0667,-0.0485,0.0055,1.07
2.128501,1.1730,0.0515,0.1089,1.18
2.153457,1.0787,-0.1108,0.1174,1.09
2.165101,1.0266,-0.2357,0.1075,1.06
2.181728,0.9673,-0.3186,0.1060,1.02
2.207093,0.8537,-0.2447,-0.0738,0.89
2.224510,1.0025,-0.1013,-0.1915,1.03
2.245562,1.1866,0.0571,-0.2308,1.21
2.265881,1.3244,0.0831,-0.5798,1.45
2.282721,1.7477,0.2862,-0.8266,1.95
2.307576,2.1549,0.9557,0.1039,2.36
2.323616,1.8488,-0.0083,-0.1664,1.86
2.357146,0.9126,-0.9430,0.2884,1.34
2.364793,0.7786,-0.9784,0.3274,1.29
2.381594,0.5816,-0.8963,0.3738,1.13
2.407178,0.8033,-0.1536,0.4637,0.94
2.423597,1.0404,0.3141,0.3915,1.16
2.464865,1.1834,0.1105,-0.1160,1.19
2.465473,1.1834,0.1105,-0.1160,1.19
2.481796,0.9703,-0.0714,-0.0421,0.97
2.506919,0.7681,-0.1992,0.1087,0.80
2.523780,0.8114,-0.2066,0.1272,0.85
2.561025,1.0467,0.1659,0.0625,1.06
2.564877,1.0630,0.2005,0.0502,1.08
2.582809,1.0709,0.2518,0.0611,1.10
2.607283,0.9076,0.0591,0.0985,0.91
2.624170,0.8681,-0.0519,0.1184,0.88
2.661009,0.9416,0.0043,0.0929,0.95
2.665727,0.9467,0.0325,0.0707,0.95
2.690215,0.9641,0.1195,-0.0644,0.97
2.706900,0.9803,0.0884,-0.0978,0.99
2.737032,1.0208,-0.0477,0.0241,1.02
2.760305,1.1302,-0.1164,0.0393,1.14
2.765733,1.1649,-0.1268,0.0250,1.17
2.790521,1.1446,-0.1036,-0.0114,1.15
2.808010,0.9535,-0.1144,-0.0473,0.96
2.836761,0.6961,-0.2169,-0.1771,0.75
2.856262,0.7865,-0.2194,-0.2094,0.84
2.873541,1.0841,-0.1359,-0.1392,1.10
2.890278,1.3696,-0.0284,-0.0527,1.37
2.906988,1.4475,0.0969,-0.0465,1.45
2.936027,1.0966,0.1866,0.0409,1.11
2.957007,0.9816,0.0233,0.1126,0.99
2.973380,0.9517,-0.0886,0.1634,0.97
2.990135,0.8883,-0.1138,0.1507,0.91
3.008246,0.8333,-0.1090,0.1150,0.85
3.040084,0.7921,-0.1074,0.0487,0.80
3.060880,0.7893,-0.0976,0.0379,0.80
3.073280,0.7868,-0.0863,0.0480,0.79
3.090444,0.7721,-0.0779,0.0610,0.78
3.109374,0.7614,-0.0804,0.0448,0.77
3.137163,0.7508,-0.0889,0.0164,0.76
3.165148,0.6938,-0.1356,0.0758,0.71
3.173907,0.6542,-0.1463,0.0804,0.68
3.190993,0.5752,-0.1387,0.0771,0.60
3.215855,0.5711,-0.0875,0.0514,0.58
3.232795,0.7277,-0.0571,0.0839,0.73
3.268235,1.0449,-0.2546,0.1459,1.09
3.273006,1.0551,-0.2747,0.1402,1.10
3.298414,0.9862,-0.1804,0.0237,1.00
3.316038,0.8737,0.0054,-0.0074,0.87
3.337965,0.7896,0.0827,-0.0205,0.79
3.358204,0.9557,0.0012,-0.2351,0.98
3.373755,1.2044,-0.0773,-0.3743,1.26
3.398450,1.7714,0.0202,-0.6410,1.88
3.415269,1.8030,0.2213,-0.5664,1.90
3.436139,1.4574,0.2086,-0.2170,1.49
3.456385,1.0537,0.1558,0.0128,1.07
3.473329,1.0148,-0.0140,0.1825,1.03
3.498839,1.7378,-0.2738,0.1170,1.76
3.515934,1.8719,0.0157,-0.0746,1.87
3.536538,1.4710,-0.0033,-0.1242,1.48
3.559006,0.9712,-0.2090,0.0628,1.00
3.581566,0.7158,-0.2497,0.1969,0.78
3.598589,0.6784,-0.1761,0.2336,0.74
3.616308,0.6891,-0.0778,0.1896,0.72
3.636787,0.7426,0.0548,0.1004,0.75
3.667654,0.7604,0.1240,-0.0010,0.77
3.682280,0.7460,0.0659,-0.0057,0.75
3.698829,0.7243,-0.0018,0.0161,0.72
3.724045,0.6367,-0.0487,0.0444,0.64
3.741636,0.5238,-0.0942,0.0446,0.53
3.785039,0.7358,-0.0298,-0.0788,0.74
3.785371,0.7358,-0.0298,-0.0788,0.74
3.798370,0.8000,0.1475,-0.1121,0.82
3.823973,0.7426,0.3902,-0.3052,0.89
3.843637,0.8278,0.4114,-0.2299,0.95
3.860121,1.0729,0.2020,-0.0005,1.09
3.881633,1.2592,-0.2169,0.2742,1.31
3.898682,1.2384,-0.4663,0.3704,1.37
3.923539,1.0294,-0.3816,0.3614,1.16
3.945326,0.8744,-0.1105,0.1980,0.90
3.968597,0.8886,-0.0579,-0.3345,0.95
3.981492,0.9136,-0.0518,-0.5843,1.09
3.999798,1.0652,-0.0786,-0.7990,1.33
4.023829,1.4938,-0.2308,-0.6185,1.63
4.043088,1.3460,0.0085,-0.3184,1.38
4.069303,1.3435,-0.0855,-0.2806,1.38
4.082054,1.5213,-0.0758,-0.1999,1.54
4.108353,1.5608,-0.3388,-0.0727,1.60
4.125100,1.5293,-0.6682,-0.0356,1.67
4.141250,1.4829,-0.6531,0.0957,1.62
4.168038,1.1564,-0.0865,0.2166,1.18
4.182136,0.9721,0.1815,0.1740,1.00
4.207271,0.8683,0.2508,0.0983,0.91
4.224211,0.8451,0.1102,0.0370,0.85
4.252301,0.8018,-0.1481,0.0271,0.82
4.273463,0.7877,-0.1979,0.0903,0.82
4.282081,0.7691,-0.1948,0.1053,0.80
4.306634,0.6738,-0.1535,0.1753,0.71
4.323708,0.5762,-0.1223,0.2001,0.62
4.348078,0.4775,-0.2140,0.1670,0.55
4.365759,0.5066,-0.2866,0.1273,0.60
