time,gFx,gFy,gFz,TgF
0.008368,0.1557,-0.0269,0.9852,1.00
0.036015,0.1231,-0.0157,0.9731,0.98
0.043176,0.1241,-0.0123,0.9745,0.98
0.061348,0.1431,-0.0098,0.9903,1.00
0.085703,0.1630,-0.0195,0.9965,1.01
0.104925,0.1582,-0.0274,0.9926,1.01
0.126675,0.1411,-0.0278,0.9855,1.00
0.143982,0.1406,-0.0156,0.9860,1.00
0.168677,0.1368,-0.0054,0.9819,0.99
0.185561,0.1411,-0.0103,0.9864,1.00
0.210900,0.1499,-0.0196,0.9885,1.00
0.240204,0.1528,-0.0259,0.9905,1.00
0.245998,0.1538,-0.0259,0.9905,1.00
0.268769,0.1543,-0.0289,0.9881,1.00
0.285642,0.1499,-0.0298,0.9920,1.00
0.303527,0.1416,-0.0293,0.9929,1.00
0.330875,0.1314,-0.0127,0.9863,1.00
0.344084,0.1387,-0.0146,0.9849,0.99
0.369402,0.1426,-0.0132,0.9845,0.99
0.385941,0.1455,-0.0162,0.9840,0.99
0.410962,0.1499,-0.0210,0.9954,1.01
0.433902,0.1411,-0.0209,0.9948,1.00
0.452391,0.1430,-0.0244,0.9914,1.00
0.469198,0.1455,-0.0240,0.9855,1.00
0.486761,0.1912,-0.0377,1.0032,1.02
0.507599,0.1316,-0.0086,0.9370,0.95
0.532072,0.1300,-0.0035,0.9716,0.98
0.552574,0.1348,0.0083,0.9862,1.00
0.569711,0.1504,-0.0084,0.9860,1.00
0.586571,0.1708,-0.0308,0.9951,1.01
0.608869,0.1654,-0.0362,0.9917,1.01
0.631295,0.1230,-0.0262,0.9941,1.00
0.651995,0.1050,-0.0061,1.0046,1.01
0.668944,0.1124,0.0143,0.9864,0.99
0.695124,0.1438,0.0096,0.9697,0.98
0.731837,0.1538,-0.0029,0.9952,1.01
0.732378,0.1538,-0.0039,0.9928,1.00
0.751928,0.1577,-0.0133,0.9827,1.00
0.769514,0.1489,-0.0215,0.9861,1.00
0.799741,0.1489,-0.0294,0.9764,0.99
0.823071,0.1669,-0.0329,0.9761,0.99
0.835208,0.1762,-0.0274,0.9990,1.01
0.852589,0.1806,-0.0255,1.0020,1.02
0.871019,0.1664,-0.0151,1.0048,1.02
0.900229,0.1143,-0.0049,0.9783,0.98
0.926200,0.1134,-0.0078,0.9749,0.98
0.931643,0.1153,-0.0073,0.9759,0.98
0.952200,0.1226,-0.0112,0.9847,0.99
0.978000,0.1460,-0.0186,0.9836,0.99
0.995004,0.1470,-0.0270,0.9661,0.98
1.032558,0.1340,-0.0397,1.0295,1.04
1.038126,0.1370,-0.0354,1.0280,1.04
1.053072,0.1543,-0.0151,0.9958,1.01
1.077302,0.1510,-0.0035,0.9781,0.99
1.093972,0.1513,-0.0127,0.9963,1.01
1.133100,0.1464,-0.0377,0.9783,0.99
1.138162,0.1357,-0.0356,0.9885,1.00
1.160394,0.1206,-0.0244,0.9911,1.00
1.176986,0.1333,-0.0137,0.9878,1.00
1.208511,0.1485,0.0068,0.9824,0.99
1.235400,0.1231,-0.0166,0.9785,0.99
1.241841,0.1152,-0.0244,0.9858,0.99
1.260642,0.1044,-0.0325,1.0057,1.01
1.277368,0.1185,-0.0247,1.0117,1.02
1.308157,0.1821,-0.0261,0.9800,1.00
1.330895,0.1763,-0.0301,0.9649,0.98
1.344324,0.1489,-0.0220,0.9792,0.99
1.361261,0.1221,-0.0087,0.9886,1.00
1.377798,0.1065,0.0031,0.9864,0.99
1.407153,0.1235,-0.0082,0.9896,1.00
1.432121,0.1538,-0.0313,0.9915,1.00
1.444316,0.1645,-0.0363,0.9858,1.00
1.460909,0.1557,-0.0269,0.9930,1.01
1.486204,0.1421,-0.0167,0.9821,0.99
1.506919,0.1353,-0.0082,0.9927,1.00
1.533875,0.1396,-0.0097,0.9981,1.01
1.543302,0.1402,-0.0073,0.9966,1.01
1.568429,0.1495,-0.0094,0.9781,0.99
1.585540,0.1452,-0.0045,0.9708,0.98
1.606539,0.1412,-0.0054,0.9800,0.99
1.633159,0.1348,-0.0049,0.9858,1.00
1.652060,0.1270,-0.0004,0.9940,1.00
1.668824,0.1304,0.0006,0.9989,1.01
1.686557,0.1328,-0.0023,0.9985,1.01
1.709321,0.1342,-0.0101,1.0020,1.01
1.729293,0.1279,-0.0116,1.0004,1.01
1.751948,0.1338,-0.0220,0.9849,0.99
1.769153,0.1363,-0.0142,0.9776,0.99
1.787030,0.1378,-0.0010,0.9824,0.99
1.816167,0.1314,-0.0053,0.9931,1.00
1.845393,0.1303,-0.0200,0.9937,1.00
1.852049,0.1289,-0.0180,0.9946,1.00
1.869726,0.1289,-0.0107,0.9902,1.00
1.894644,0.1300,-0.0048,0.9872,1.00
1.915942,0.1382,-0.0107,0.9962,1.01
1.941172,0.1494,-0.0108,0.9870,1.00
1.951728,0.1455,-0.0118,0.9830,0.99
1.978120,0.1255,-0.0087,0.9887,1.00
1.993815,0.1192,-0.0082,0.9910,1.00
2.016481,0.1212,-0.0038,0.9876,1.00
2.038648,0.1382,-0.0024,0.9902,1.00
2.051651,0.1406,-0.0068,0.9937,1.00
2.077040,0.1381,-0.0126,0.9991,1.01
2.095208,0.1342,-0.0057,1.0063,1.02
2.116873,0.1308,-0.0062,1.0043,1.01
