time,gFx,gFy,gFz,TgF
0.012328,1.0114,-0.0146,-0.0755,1.01
0.038089,0.9949,0.0035,-0.0665,1.00
0.061441,0.9997,0.0065,-0.0533,1.00
0.068415,1.0007,0.0026,-0.0522,1.00
0.093301,1.0011,0.0001,-0.0556,1.00
0.110341,1.0056,0.0000,-0.0737,1.01
0.139183,1.0061,-0.0038,-0.0693,1.01
0.164904,0.9967,-0.0135,-0.0497,1.00
0.176415,0.9932,-0.0173,-0.0453,0.99
0.193075,0.9952,-0.0149,-0.0419,1.00
0.218755,0.9898,-0.0076,-0.0518,0.99
0.245777,0.9948,0.0026,-0.0538,1.00
0.252296,1.0007,0.0036,-0.0473,1.00
0.284409,1.0123,0.0227,-0.0318,1.01
0.294280,1.0109,0.0271,-0.0333,1.01
0.318742,1.0105,0.0455,-0.0564,1.01
0.340078,0.9833,0.0627,-0.0641,0.99
0.360301,0.9939,0.0246,-0.0554,1.00
0.376460,0.9889,-0.0008,-0.0528,0.99
0.401783,0.9967,-0.0116,-0.0561,1.00
0.418435,0.9933,-0.0023,-0.0596,1.00
0.435964,1.0012,0.0069,-0.0689,1.00
0.469018,0.9939,0.0034,-0.0787,1.00
0.477291,1.0003,0.0044,-0.0772,1.00
0.501609,0.9992,0.0084,-0.0684,1.00
0.518452,0.9968,0.0094,-0.0611,1.00
0.540033,1.0011,0.0045,-0.0577,1.00
0.569266,1.0031,0.0060,-0.0552,1.00
0.576958,1.0011,0.0055,-0.0542,1.00
0.601327,1.0041,-0.0013,-0.0595,1.01
0.618478,1.0050,-0.0014,-0.0634,1.01
0.640000,0.9958,0.0021,-0.0582,1.00
0.686160,0.9987,-0.0009,-0.0615,1.00
0.686671,0.9987,-0.0009,-0.0615,1.00
0.701492,1.0032,0.0079,-0.0684,1.01
0.719015,1.0027,0.0118,-0.0704,1.01
0.743871,0.9944,0.0178,-0.0549,1.00
0.775177,0.9841,0.0502,-0.0298,0.99
0.785005,0.9797,0.0595,-0.0265,0.98
0.802121,0.9803,0.0585,-0.0343,0.98
0.819787,0.9920,0.0485,-0.0527,0.99
0.844990,1.0082,0.0386,-0.0724,1.01
0.877182,1.0037,0.0230,-0.0734,1.01
0.885220,1.0076,0.0063,-0.0776,1.01
0.902743,1.0241,-0.0206,-0.0836,1.03
0.927160,1.0197,-0.0348,-0.0850,1.02
0.949052,1.0036,-0.0234,-0.0789,1.01
0.963372,0.9972,-0.0194,-0.0585,1.00
0.984918,0.9878,-0.0123,-0.0191,0.99
1.001649,0.9974,0.0015,0.0087,1.00
1.026890,1.0049,0.0284,0.0091,1.01
1.049089,0.9947,0.0400,-0.0096,1.00
1.064673,0.9981,0.0389,-0.0198,1.00
1.084951,1.0065,0.0360,-0.0260,1.01
1.102003,1.0021,0.0385,-0.0193,1.00
1.126751,0.9947,0.0474,-0.0072,1.00
1.146090,0.9884,0.0513,-0.0044,0.99
1.168892,0.9919,0.0468,-0.0238,0.99
1.185078,0.9928,0.0433,-0.0267,0.99
1.210650,0.9991,0.0307,-0.0129,1.00
1.227442,1.0030,0.0239,-0.0104,1.00
1.244484,1.0068,0.0224,-0.0040,1.01
1.273085,1.0038,0.0220,0.0087,1.00
1.285057,0.9994,0.0211,0.0150,1.00
1.310764,0.9906,0.0192,0.0242,0.99
1.327430,0.9920,0.0173,0.0266,0.99
1.358136,1.0033,0.0167,0.0224,1.00
1.377113,1.0058,0.0255,0.0136,1.01
1.385617,1.0063,0.0274,0.0082,1.01
1.410111,0.9996,0.0371,-0.0052,1.00
1.426796,0.9956,0.0361,-0.0057,1.00
1.449695,0.9903,0.0317,-0.0032,0.99
1.474360,0.9908,0.0234,-0.0061,0.99
1.486024,0.9937,0.0185,-0.0109,0.99
1.509840,1.0025,0.0155,-0.0226,1.00
1.526953,1.0055,0.0169,-0.0240,1.01
1.548218,1.0011,0.0258,-0.0226,1.00
1.570585,0.9962,0.0287,-0.0198,1.00
1.592887,0.9972,0.0322,-0.0124,1.00
1.610092,0.9996,0.0327,-0.0056,1.00
1.636234,1.0005,0.0294,0.0028,1.00
1.657999,1.0019,0.0318,0.0037,1.00
1.686826,1.0020,0.0283,-0.0026,1.00
1.693356,1.0005,0.0264,-0.0060,1.00
1.710709,0.9991,0.0249,-0.0070,1.00
1.735802,0.9932,0.0239,-0.0115,0.99
1.756544,0.9908,0.0244,-0.0163,0.99
1.775901,0.9938,0.0233,-0.0207,0.99
1.793624,0.9981,0.0223,-0.0260,1.00
1.818560,1.0046,0.0203,-0.0362,1.01
1.835662,1.0041,0.0217,-0.0431,1.01
1.858413,1.0012,0.0231,-0.0470,1.00
1.875625,1.0022,0.0256,-0.0475,1.00
1.893264,1.0032,0.0241,-0.0470,1.00
1.918383,1.0065,0.0192,-0.0499,1.01
1.934930,1.0085,0.0201,-0.0528,1.01
1.957251,0.9929,0.0207,-0.0520,0.99
1.982610,0.9939,0.0168,-0.0514,1.00
1.993256,0.9934,0.0178,-0.0505,0.99
2.018785,0.9997,0.0242,-0.0446,1.00
2.035266,1.0026,0.0251,-0.0441,1.00
2.055296,1.0051,0.0261,-0.0450,1.01
2.082001,1.0007,0.0231,-0.0475,1.00
2.102595,0.9968,0.0197,-0.0514,1.00
2.118499,0.9967,0.0198,-0.0451,1.00
2.135687,0.9977,0.0208,-0.0446,1.00
2.156634,1.0036,0.0217,-0.0470,1.00
2.182095,1.0036,0.0256,-0.0470,1.01
2.202567,0.9972,0.0232,-0.0407,1.00
2.219174,0.9982,0.0223,-0.0348,1.00
2.244755,0.9972,0.0208,-0.0300,1.00
2.264622,0.9991,0.0247,-0.0300,1.00
2.288346,1.0021,0.0296,-0.0319,1.00
2.301897,1.0011,0.0295,-0.0358,1.00
2.319349,0.9997,0.0291,-0.0373,1.00
2.345926,0.9967,0.0271,-0.0403,1.00
2.365500,0.9982,0.0271,-0.0412,1.00
2.382184,0.9972,0.0261,-0.0408,1.00
2.401466,0.9973,0.0261,-0.0437,1.00
2.418606,0.9973,0.0256,-0.0461,1.00
2.443733,1.0002,0.0290,-0.0470,1.00
2.480835,0.9988,0.0271,-0.0431,1.00
2.481277,0.9988,0.0276,-0.0426,1.00
2.501543,0.9978,0.0266,-0.0422,1.00
2.526809,0.9963,0.0266,-0.0393,1.00
2.544028,0.9972,0.0266,-0.0408,1.00
2.582225,1.0051,0.0266,-0.0460,1.01
2.582555,1.0051,0.0266,-0.0460,1.01
2.601303,1.0090,0.0290,-0.0494,1.01
2.627181,0.9919,0.0291,-0.0433,0.99
2.644073,0.9889,0.0252,-0.0389,0.99
2.681047,0.9972,0.0227,-0.0436,1.00
2.685016,1.0002,0.0251,-0.0431,1.00
2.701998,1.0036,0.0305,-0.0490,1.01
2.727628,1.0002,0.0334,-0.0486,1.00
2.744377,0.9978,0.0309,-0.0481,1.00
2.765464,0.9939,0.0247,-0.0452,1.00
2.789558,0.9948,0.0222,-0.0412,1.00
2.810237,0.9997,0.0261,-0.0451,1.00
2.827391,1.0046,0.0250,-0.0533,1.01
2.843712,1.0071,0.0270,-0.0543,1.01
2.882124,0.9953,0.0242,-0.0461,1.00
2.884595,0.9963,0.0242,-0.0446,1.00
2.909812,0.9958,0.0251,-0.0452,1.00
2.926838,0.9992,0.0256,-0.0480,1.00
2.944507,1.0012,0.0261,-0.0509,1.00
2.981792,1.0002,0.0241,-0.0509,1.00
2.984712,1.0002,0.0236,-0.0519,1.00
3.010378,0.9988,0.0280,-0.0568,1.00
3.029437,0.9978,0.0285,-0.0544,1.00
3.057266,0.9964,0.0305,-0.0549,1.00
3.087263,0.9988,0.0270,-0.0549,1.00
3.087833,0.9988,0.0270,-0.0549,1.00
3.109967,1.0022,0.0250,-0.0553,1.00
3.126918,0.9992,0.0290,-0.0544,1.00
3.156517,0.9953,0.0300,-0.0471,1.00
3.187776,0.9978,0.0236,-0.0544,1.00
3.193824,0.9983,0.0251,-0.0514,1.00
3.210243,1.0017,0.0251,-0.0509,1.00
3.227183,1.0017,0.0270,-0.0495,1.00
3.252020,1.0012,0.0280,-0.0514,1.00
3.281750,1.0027,0.0284,-0.0549,1.00
3.293126,0.9974,0.0284,-0.0564,1.00
3.309594,0.9914,0.0251,-0.0515,0.99
3.335036,0.9967,0.0183,-0.0451,1.00
3.352364,0.9982,0.0217,-0.0422,1.00
3.389960,1.0017,0.0324,-0.0466,1.00
3.392827,1.0012,0.0305,-0.0456,1.00
3.409898,1.0002,0.0300,-0.0456,1.00
3.435195,0.9968,0.0247,-0.0456,1.00
3.457163,0.9963,0.0247,-0.0427,1.00
3.479741,0.9982,0.0242,-0.0397,1.00
3.492982,1.0016,0.0237,-0.0397,1.00
3.511933,1.0071,0.0236,-0.0509,1.01
3.536047,1.0032,0.0295,-0.0509,1.00
3.551881,0.9988,0.0261,-0.0456,1.00
3.581673,0.9967,0.0237,-0.0436,1.00
3.593027,0.9967,0.0247,-0.0393,1.00
3.618844,0.9992,0.0237,-0.0407,1.00
3.637455,0.9982,0.0247,-0.0407,1.00
3.661086,0.9987,0.0266,-0.0417,1.00
3.674689,0.9992,0.0271,-0.0431,1.00
3.697227,0.9992,0.0281,-0.0446,1.00
3.718296,0.9997,0.0247,-0.0402,1.00
3.735553,0.9992,0.0247,-0.0383,1.00
3.760708,0.9982,0.0237,-0.0383,1.00
3.811242,0.9987,0.0261,-0.0402,1.00
3.811817,0.9987,0.0261,-0.0402,1.00
3.818100,0.9972,0.0256,-0.0408,1.00
3.835006,0.9972,0.0261,-0.0408,1.00
3.864505,1.0007,0.0261,-0.0407,1.00
3.890504,0.9982,0.0266,-0.0437,1.00
3.901366,0.9997,0.0291,-0.0422,1.00
3.918150,0.9963,0.0291,-0.0398,1.00
3.936330,0.9967,0.0295,-0.0398,1.00
3.965676,0.9977,0.0261,-0.0373,1.00
3.991270,1.0011,0.0247,-0.0383,1.00
4.001793,1.0050,0.0251,-0.0387,1.01
4.018574,1.0110,0.0256,-0.0484,1.01
4.043611,1.0022,0.0353,-0.0486,1.00
4.064912,0.9890,0.0340,-0.0375,0.99
4.084054,0.9894,0.0223,-0.0334,0.99
4.102148,0.9952,0.0164,-0.0300,1.00
4.118171,1.0011,0.0169,-0.0343,1.00
4.148313,1.0041,0.0280,-0.0470,1.01
4.160889,1.0007,0.0314,-0.0510,1.00
4.185354,0.9978,0.0319,-0.0491,1.00
4.201279,0.9958,0.0320,-0.0461,1.00
4.226490,0.9939,0.0276,-0.0417,1.00
4.243325,0.9982,0.0232,-0.0417,1.00
4.274036,1.0051,0.0251,-0.0475,1.01
4.288872,1.0041,0.0285,-0.0475,1.01
4.302099,0.9997,0.0305,-0.0466,1.00
4.326952,0.9948,0.0242,-0.0417,1.00
4.343621,0.9953,0.0237,-0.0393,1.00
4.372904,1.0007,0.0266,-0.0368,1.00
4.391341,1.0002,0.0300,-0.0412,1.00
4.409725,0.9988,0.0286,-0.0437,1.00
4.427086,0.9983,0.0281,-0.0442,1.00
4.445603,0.9982,0.0266,-0.0417,1.00
4.472033,0.9983,0.0251,-0.0441,1.00
4.493108,0.9982,0.0242,-0.0417,1.00
4.509536,0.9977,0.0222,-0.0402,1.00
4.526657,0.9982,0.0247,-0.0426,1.00
4.545863,1.0002,0.0261,-0.0466,1.00
4.572344,1.0012,0.0339,-0.0491,1.00
4.596233,0.9993,0.0319,-0.0554,1.00
4.610786,0.9974,0.0309,-0.0583,1.00
4.626645,0.9988,0.0294,-0.0554,1.00
4.652725,0.9988,0.0285,-0.0530,1.00
4.669241,0.9988,0.0305,-0.0535,1.00
4.698978,0.9968,0.0319,-0.0515,1.00
4.709894,0.9958,0.0319,-0.0515,1.00
4.734734,0.9954,0.0309,-0.0539,1.00
4.751707,0.9969,0.0329,-0.0525,1.00
4.768353,0.9998,0.0353,-0.0505,1.00
4.801643,1.0027,0.0334,-0.0500,1.00
4.809794,1.0057,0.0338,-0.0539,1.01
4.835057,0.9939,0.0344,-0.0530,1.00
4.851846,0.9900,0.0270,-0.0530,0.99
4.881108,0.9949,0.0241,-0.0510,1.00
4.906855,0.9930,0.0353,-0.0579,1.00
4.909596,0.9930,0.0363,-0.0579,1.00
4.934824,0.9915,0.0432,-0.0555,0.99
4.952467,0.9949,0.0363,-0.0574,1.00
4.982735,1.0008,0.0254,-0.0768,1.00
4.998854,1.0018,0.0288,-0.0793,1.01
5.012242,1.0008,0.0303,-0.0754,1.00
5.035834,1.0013,0.0308,-0.0734,1.00
5.052648,1.0013,0.0327,-0.0735,1.00
5.094049,0.9969,0.0245,-0.0710,1.00
5.094582,0.9969,0.0245,-0.0710,1.00
5.119192,0.9959,0.0220,-0.0724,1.00
5.135345,0.9998,0.0230,-0.0690,1.00
5.161014,0.9999,0.0303,-0.0701,1.00
5.181625,0.9989,0.0308,-0.0715,1.00
5.202946,0.9999,0.0288,-0.0749,1.00
5.218271,0.9994,0.0273,-0.0778,1.00
5.234662,0.9979,0.0308,-0.0769,1.00
5.261376,0.9964,0.0333,-0.0720,1.00
5.281745,0.9940,0.0352,-0.0706,1.00
5.303835,0.9940,0.0338,-0.0687,1.00
5.318089,0.9955,0.0338,-0.0682,1.00
5.335073,0.9969,0.0333,-0.0686,1.00
5.360248,0.9979,0.0323,-0.0701,1.00
5.380743,0.9955,0.0323,-0.0676,1.00
5.401088,0.9964,0.0294,-0.0696,1.00
5.418017,1.0023,0.0283,-0.0724,1.01
5.436237,1.0013,0.0288,-0.0739,1.00
5.461283,0.9944,0.0270,-0.0652,1.00
5.481008,0.9955,0.0278,-0.0769,1.00
5.505169,0.9974,0.0274,-0.0745,1.00
5.518107,0.9964,0.0279,-0.0725,1.00
5.536902,1.0008,0.0308,-0.0676,1.00
5.560740,0.9978,0.0343,-0.0642,1.00
5.581742,0.9988,0.0324,-0.0627,1.00
5.609342,0.9876,0.0363,-0.0633,0.99
5.618061,0.9881,0.0372,-0.0629,0.99
5.644114,0.9993,0.0299,-0.0632,1.00
5.660806,1.0022,0.0303,-0.0685,1.01
5.681765,1.0018,0.0332,-0.0745,1.01
5.705041,0.9950,0.0318,-0.0764,1.00
5.726445,0.9916,0.0347,-0.0706,0.99
5.743283,0.9891,0.0362,-0.0716,0.99
5.760350,0.9906,0.0342,-0.0740,0.99
5.792681,0.9989,0.0357,-0.0701,1.00
5.803107,0.9989,0.0367,-0.0730,1.00
5.826270,1.0038,0.0376,-0.0788,1.01
5.842703,0.9985,0.0352,-0.0793,1.00
5.875161,0.9926,0.0303,-0.0828,1.00
5.898170,0.9950,0.0313,-0.0803,1.00
5.902005,0.9980,0.0317,-0.0808,1.00
5.926312,1.0009,0.0317,-0.0847,1.00
5.943425,1.0009,0.0322,-0.0832,1.00
5.969310,0.9950,0.0332,-0.0828,1.00
6.003364,0.9936,0.0366,-0.0813,1.00
6.010496,0.9931,0.0356,-0.0813,1.00
6.026843,0.9950,0.0361,-0.0804,1.00
6.044203,0.9950,0.0376,-0.0789,1.00
6.072662,0.9945,0.0352,-0.0765,1.00
6.097214,0.9950,0.0357,-0.0765,1.00
6.110158,0.9980,0.0356,-0.0793,1.00
6.127286,0.9984,0.0328,-0.0749,1.00
6.152279,0.9945,0.0342,-0.0750,1.00
6.169847,0.9955,0.0352,-0.0765,1.00
6.201784,0.9994,0.0337,-0.0798,1.00
6.210840,0.9989,0.0342,-0.0779,1.00
6.226573,0.9979,0.0333,-0.0745,1.00
6.252057,0.9945,0.0337,-0.0784,1.00
6.268708,0.9936,0.0337,-0.0804,1.00
6.297269,0.9931,0.0356,-0.0799,1.00
6.309769,0.9965,0.0396,-0.0809,1.00
6.326965,0.9975,0.0400,-0.0804,1.00
6.351926,1.0062,0.0352,-0.0788,1.01
6.368628,1.0008,0.0342,-0.0740,1.00
6.400427,0.9930,0.0255,-0.0759,1.00
6.409998,0.9955,0.0259,-0.0759,1.00
6.428409,0.9969,0.0317,-0.0808,1.00
6.451922,0.9970,0.0391,-0.0804,1.00
6.468258,0.9965,0.0396,-0.0789,1.00
6.497178,0.9936,0.0366,-0.0784,1.00
6.509902,0.9906,0.0372,-0.0755,0.99
6.535659,0.9935,0.0377,-0.0735,1.00
6.552921,0.9940,0.0391,-0.0691,1.00
6.570012,0.9935,0.0372,-0.0701,1.00
6.591956,0.9999,0.0352,-0.0813,1.00
6.618472,1.0014,0.0391,-0.0793,1.01
6.634423,0.9985,0.0366,-0.0804,1.00
6.652207,0.9940,0.0347,-0.0765,1.00
6.681351,0.9936,0.0381,-0.0799,1.00
6.702528,0.9950,0.0396,-0.0809,1.00
6.718193,0.9970,0.0400,-0.0843,1.00
6.735177,0.9965,0.0396,-0.0857,1.00
6.751905,0.9965,0.0396,-0.0853,1.00
6.783280,0.9970,0.0385,-0.0862,1.00
6.802683,0.9950,0.0366,-0.0828,1.00
6.817767,0.9955,0.0356,-0.0794,1.00
6.834826,0.9955,0.0342,-0.0823,1.00
6.854091,0.9970,0.0347,-0.0789,1.00
6.883887,0.9960,0.0381,-0.0774,1.00
6.902228,0.9985,0.0381,-0.0794,1.00
6.918803,0.9974,0.0367,-0.0750,1.00
6.934957,0.9950,0.0367,-0.0760,1.00
6.954316,0.9950,0.0381,-0.0774,1.00
6.981008,0.9965,0.0386,-0.0779,1.00
7.003946,0.9960,0.0391,-0.0726,1.00
7.018383,0.9940,0.0386,-0.0716,1.00
7.035825,0.9940,0.0367,-0.0706,1.00
7.060966,0.9950,0.0377,-0.0750,1.00
7.077341,0.9979,0.0362,-0.0740,1.00
7.116825,1.0019,0.0322,-0.0822,1.01
7.117720,1.0019,0.0322,-0.0822,1.01
7.143174,1.0014,0.0400,-0.0852,1.01
7.159938,0.9906,0.0435,-0.0790,0.99
7.177011,0.9901,0.0386,-0.0702,0.99
7.207675,0.9934,0.0284,-0.0632,1.00
7.217879,0.9954,0.0294,-0.0618,1.00
7.243196,0.9994,0.0367,-0.0701,1.00
7.260389,0.9999,0.0382,-0.0715,1.00
7.282407,0.9979,0.0381,-0.0755,1.00
7.300722,0.9960,0.0377,-0.0740,1.00
7.317999,0.9930,0.0362,-0.0730,1.00
7.343259,0.9945,0.0313,-0.0711,1.00
7.360469,0.9974,0.0289,-0.0730,1.00
7.381387,1.0023,0.0313,-0.0739,1.01
7.404527,0.9994,0.0377,-0.0725,1.00
7.418828,0.9969,0.0401,-0.0691,1.00
7.445807,0.9925,0.0382,-0.0653,1.00
7.469431,0.9969,0.0372,-0.0652,1.00
7.491607,0.9979,0.0357,-0.0671,1.00
7.505598,0.9964,0.0342,-0.0667,1.00
7.526944,0.9960,0.0347,-0.0672,1.00
7.544343,0.9984,0.0328,-0.0696,1.00
7.568104,0.9994,0.0303,-0.0705,1.00
7.589734,1.0033,0.0308,-0.0759,1.01
7.609717,1.0008,0.0303,-0.0705,1.00
7.626335,0.9954,0.0289,-0.0686,1.00
7.651933,0.9944,0.0304,-0.0647,1.00
7.669609,0.9949,0.0338,-0.0638,1.00
7.689803,0.9964,0.0342,-0.0672,1.00
7.709380,0.9994,0.0333,-0.0671,1.00
7.726297,0.9998,0.0338,-0.0647,1.00
7.751862,0.9998,0.0314,-0.0554,1.00
7.768382,0.9983,0.0333,-0.0574,1.00
7.791550,0.9939,0.0377,-0.0613,1.00
7.809265,0.9940,0.0363,-0.0657,1.00
7.827040,0.9974,0.0372,-0.0711,1.00
7.852478,0.9974,0.0338,-0.0735,1.00
7.868726,0.9964,0.0303,-0.0701,1.00
7.893881,0.9988,0.0313,-0.0657,1.00
7.911986,1.0023,0.0323,-0.0715,1.01
7.934924,1.0092,0.0361,-0.0807,1.01
7.952090,1.0004,0.0410,-0.0818,1.00
7.969202,0.9867,0.0406,-0.0732,0.99
8.013384,0.9939,0.0266,-0.0554,1.00
8.014036,0.9949,0.0251,-0.0564,1.00
8.034488,1.0008,0.0294,-0.0602,1.00
8.052778,1.0043,0.0347,-0.0671,1.01
8.076883,1.0023,0.0391,-0.0691,1.01
8.113811,0.9911,0.0348,-0.0657,0.99
8.114231,0.9916,0.0353,-0.0687,0.99
8.134997,0.9915,0.0333,-0.0638,0.99
8.151994,0.9949,0.0338,-0.0633,1.00
8.178214,1.0028,0.0342,-0.0695,1.01
8.197695,1.0018,0.0362,-0.0681,1.00
8.215747,1.0003,0.0352,-0.0647,1.00
8.234580,0.9954,0.0314,-0.0622,1.00
8.252848,0.9959,0.0309,-0.0622,1.00
8.278307,0.9949,0.0338,-0.0604,1.00
8.297460,0.9974,0.0343,-0.0588,1.00
8.317867,0.9974,0.0328,-0.0598,1.00
8.335901,0.9955,0.0333,-0.0662,1.00
8.353864,0.9974,0.0372,-0.0662,1.00
8.377124,1.0008,0.0358,-0.0622,1.00
8.398566,0.9978,0.0392,-0.0584,1.00
8.418140,0.9945,0.0392,-0.0613,1.00
8.435103,0.9944,0.0343,-0.0623,1.00
8.461496,0.9930,0.0304,-0.0623,1.00
8.478025,0.9944,0.0304,-0.0613,1.00
8.499303,0.9974,0.0299,-0.0598,1.00
8.517111,1.0037,0.0353,-0.0593,1.01
8.536183,0.9998,0.0353,-0.0637,1.00
8.561338,0.9950,0.0333,-0.0682,1.00
8.576486,0.9960,0.0333,-0.0721,1.00
8.605412,0.9974,0.0338,-0.0730,1.00
8.617808,0.9969,0.0318,-0.0715,1.00
8.642971,0.9989,0.0328,-0.0666,1.00
8.659892,0.9945,0.0304,-0.0671,1.00
8.677097,0.9940,0.0313,-0.0701,1.00
8.709867,1.0033,0.0338,-0.0690,1.01
8.717824,1.0018,0.0362,-0.0705,1.00
8.743083,1.0072,0.0346,-0.0817,1.01
8.761637,1.0107,0.0345,-0.0924,1.02
8.789351,0.9930,0.0323,-0.0750,1.00
8.810457,0.9886,0.0290,-0.0545,0.99
8.819138,0.9891,0.0305,-0.0535,0.99
8.843601,0.9930,0.0344,-0.0535,0.99
8.860567,0.9944,0.0417,-0.0575,1.00
