time,gFx,gFy,gFz,TgF
0.002483,1.0058,-0.0003,-0.1230,1.01
0.018684,0.9941,0.0002,-0.1202,1.00
0.038457,0.9771,0.0066,-0.1321,0.99
0.056205,0.9872,-0.0027,-0.1183,0.99
0.076846,0.9916,-0.0178,-0.1103,1.00
0.101640,0.9960,-0.0134,-0.1166,1.00
0.118908,0.9902,-0.0061,-0.1211,1.00
0.139662,0.9767,-0.0059,-0.1667,0.99
0.165112,0.9981,0.0162,-0.1393,1.01
0.177168,1.0059,0.0026,-0.1337,1.01
0.202553,0.9878,-0.0052,-0.1421,1.00
0.218924,0.9416,0.0311,-0.1341,0.95
0.239914,0.9635,0.0149,-0.1391,0.97
0.261486,0.9976,0.0089,-0.1329,1.01
0.284660,0.9942,0.0178,-0.1301,1.00
0.301621,0.9869,0.0256,-0.1292,1.00
0.318953,0.9957,0.0427,-0.1209,1.00
0.347477,1.0020,0.0442,-0.1136,1.01
0.377651,0.9833,-0.0271,-0.1255,0.99
0.384415,0.9789,-0.0354,-0.1220,0.99
0.401713,0.9735,-0.0427,-0.1215,0.98
0.420067,0.9750,-0.0217,-0.1256,0.98
0.451590,0.9820,0.0041,-0.1325,0.99
0.461335,0.9869,0.0016,-0.1310,1.00
0.484661,1.0024,-0.0092,-0.1308,1.01
0.501607,1.0024,-0.0067,-0.1308,1.01
0.526935,0.9707,0.0037,-0.1292,0.98
0.561987,0.9737,0.0145,-0.1249,0.98
0.562211,0.9737,0.0145,-0.1249,0.98
0.584977,0.9864,0.0280,-0.1302,1.00
0.602460,0.9948,0.0309,-0.1374,1.00
0.627180,1.0094,0.0259,-0.1524,1.02
0.648270,1.0133,0.0146,-0.1523,1.02
0.675508,0.9825,-0.0048,-0.1427,0.99
0.684353,0.9727,-0.0106,-0.1418,0.98
0.710804,0.9790,-0.0233,-0.1485,0.99
0.726577,1.0039,-0.0386,-0.1618,1.02
0.765824,1.0152,-0.0197,-0.1603,1.03
0.766243,1.0176,-0.0177,-0.1579,1.03
0.784828,1.0113,-0.0168,-0.1755,1.03
0.809935,1.0001,-0.0403,-0.1848,1.02
0.826727,0.9889,-0.0319,-0.1805,1.01
0.874518,0.9844,-0.0515,-0.1839,1.00
0.875375,0.9854,-0.0548,-0.1794,1.00
0.885100,0.9931,-0.0651,-0.1754,1.01
0.909572,0.9961,-0.0455,-0.1691,1.01
0.926379,0.9880,-0.0123,-0.1758,1.00
0.960498,0.9720,0.0214,-0.1865,0.99
0.968144,0.9754,0.0179,-0.1849,0.99
0.986856,0.9861,0.0062,-0.1755,1.00
1.009833,0.9880,0.0107,-0.1711,1.00
1.027500,0.9842,0.0268,-0.1697,1.00
1.074766,0.9935,0.0576,-0.1596,1.01
1.075261,0.9935,0.0576,-0.1596,1.01
1.093440,0.9909,0.0435,-0.1542,1.00
1.110567,0.9826,0.0348,-0.1435,0.99
1.128224,0.9797,0.0261,-0.1400,0.99
1.177056,0.9574,0.0822,-0.1567,0.97
1.177555,0.9574,0.0822,-0.1567,0.97
1.192735,0.9729,0.0377,-0.1577,0.99
1.210756,1.0008,-0.0669,-0.1479,1.01
1.238665,0.9940,-0.0689,-0.1548,1.01
1.274832,0.9870,-0.0099,-0.1802,1.00
1.275030,0.9870,-0.0099,-0.1802,1.00
1.293273,0.9822,-0.0070,-0.1857,1.00
1.309834,0.9894,-0.0167,-0.1777,1.01
1.337623,0.9878,-0.0294,-0.1674,1.00
1.367473,0.9884,-0.0191,-0.1680,1.00
1.376523,0.9884,-0.0225,-0.1703,1.00
1.393055,0.9811,-0.0284,-0.1714,1.00
1.410380,0.9762,-0.0220,-0.1651,0.99
1.437873,0.9781,-0.0039,-0.1603,0.99
1.468903,0.9938,0.0009,-0.1617,1.01
1.477302,0.9967,0.0019,-0.1666,1.01
1.493589,0.9939,0.0082,-0.1749,1.01
1.519095,0.9861,0.0117,-0.1681,1.00
1.542020,0.9840,-0.0063,-0.1632,1.00
1.563878,0.9917,-0.0126,-0.1514,1.00
1.576831,0.9927,-0.0102,-0.1465,1.00
1.593653,0.9883,-0.0058,-0.1465,1.00
1.619473,0.9772,-0.0029,-0.1647,0.99
1.636212,0.9753,-0.0045,-0.1799,0.99
1.669445,0.9782,-0.0163,-0.1939,1.00
1.676731,0.9831,-0.0188,-0.1973,1.00
1.701337,0.9958,-0.0134,-0.1938,1.01
1.717925,0.9963,0.0008,-0.1876,1.01
1.741107,0.9930,0.0115,-0.1832,1.01
1.769032,0.9847,0.0190,-0.1750,1.00
1.776514,0.9851,0.0200,-0.1736,1.00
1.801361,0.9836,-0.0030,-0.1686,1.00
1.818297,0.9811,-0.0206,-0.1705,1.00
1.840694,0.9757,-0.0284,-0.1778,0.99
1.867579,0.9806,-0.0176,-0.1754,1.00
1.876607,0.9889,-0.0069,-0.1719,1.00
1.901860,1.0148,0.0117,-0.1591,1.03
1.918532,1.0196,0.0092,-0.1537,1.03
1.940020,0.9996,0.0108,-0.1480,1.01
1.968449,0.9693,0.0153,-0.1391,0.98
1.977205,0.9703,0.0119,-0.1425,0.98
2.002023,0.9855,0.0133,-0.1448,1.00
2.019721,0.9938,0.0128,-0.1505,1.01
2.049202,0.9899,-0.0010,-0.1612,1.00
2.068592,0.9811,-0.0093,-0.1647,0.99
2.084896,0.9815,-0.0078,-0.1637,1.00
2.102313,0.9880,-0.0040,-0.1646,1.00
2.119188,0.9919,0.0019,-0.1696,1.01
2.147058,0.9939,0.0082,-0.1783,1.01
2.172002,0.9933,0.0004,-0.1646,1.01
2.185377,0.9942,-0.0117,-0.1596,1.01
2.202443,0.9942,-0.0161,-0.1508,1.01
2.226609,0.9898,-0.0063,-0.1475,1.00
2.248366,0.9820,-0.0009,-0.1457,0.99
2.277527,0.9830,-0.0024,-0.1500,0.99
2.284976,0.9835,-0.0029,-0.1490,0.99
2.302035,0.9864,-0.0024,-0.1544,1.00
2.326473,0.9825,0.0015,-0.1555,0.99
2.348407,0.9865,0.0015,-0.1588,1.00
2.375646,0.9880,0.0083,-0.1638,1.00
2.385089,0.9884,0.0093,-0.1642,1.00
