time,gFx,gFy,gFz,TgF
0.002527,1.0430,0.0068,-0.0019,1.04
0.020114,0.9916,0.0640,-0.0169,0.99
0.055322,0.9898,0.0153,0.0097,0.99
0.068941,0.9971,0.0051,0.0201,1.00
0.085038,1.0054,0.0045,0.0124,1.01
0.101519,1.0138,0.0088,-0.0056,1.01
0.118024,1.0163,0.0077,-0.0178,1.02
0.147518,0.9953,0.0229,-0.0196,1.00
0.160298,0.9807,0.0308,-0.0110,0.98
0.185107,0.9792,0.0412,0.0022,0.98
0.202285,0.9827,0.0489,-0.0155,0.98
0.227445,1.0032,0.0321,-0.0264,1.00
0.244941,1.0056,0.0209,-0.0282,1.01
0.263439,0.9865,-0.0025,-0.0302,0.99
0.285422,0.9591,-0.0337,-0.0293,0.96
0.301879,0.9234,-0.0614,-0.0280,0.93
0.327563,0.9471,-0.1207,-0.0439,0.96
0.344511,1.0149,-0.1376,-0.0588,1.03
0.362923,1.0418,-0.0819,-0.1210,1.05
0.384424,1.0326,-0.0325,-0.1116,1.04
0.401576,1.0325,-0.0633,-0.1143,1.04
0.426831,1.0495,-0.0391,-0.0640,1.05
0.447695,1.0589,0.0010,0.0276,1.06
0.462791,1.0502,0.0256,0.0424,1.05
0.484495,1.0400,0.0433,0.0520,1.04
0.502330,1.0389,0.0194,0.0600,1.04
0.527357,1.0217,-0.0369,0.0412,1.02
0.543725,0.9856,-0.0701,0.0171,0.99
0.570066,0.9488,-0.1237,0.0181,0.96
0.585083,0.9532,-0.1355,0.0124,0.96
0.610439,0.9679,-0.1268,0.0003,0.98
0.627586,0.9665,-0.1151,-0.0082,0.97
0.644083,0.9632,-0.1123,-0.0234,0.97
0.670944,0.9909,-0.1348,-0.0097,1.00
0.684931,0.9781,-0.1488,-0.0019,0.99
0.710746,0.9697,-0.1600,0.0088,0.98
0.727395,0.9696,-0.1564,0.0229,0.98
0.752440,0.9708,-0.1214,0.0178,0.98
0.777902,0.9919,-0.1074,0.0013,1.00
0.792881,0.9944,-0.0908,-0.0129,1.00
0.809561,0.9824,-0.0680,-0.0386,0.99
0.826883,0.9577,-0.0554,-0.0633,0.96
0.857639,0.9532,-0.0720,-0.0672,0.96
0.870511,0.9975,-0.1126,-0.0542,1.01
0.892922,1.0928,-0.1778,-0.0397,1.11
0.909713,1.1435,-0.1842,-0.0240,1.16
0.927202,1.1219,-0.1684,0.0059,1.13
0.957152,1.1587,-0.2216,0.0242,1.18
0.978344,1.2526,-0.2805,-0.0443,1.28
0.992712,1.3398,-0.3211,-0.1648,1.39
1.009578,1.4836,-0.3442,-0.2482,1.54
1.034993,1.7253,-0.4108,-0.4647,1.83
1.056729,1.6319,-0.2767,-0.5480,1.74
1.079450,1.0813,0.0414,-0.5862,1.23
1.093127,0.7804,0.1497,-0.5396,0.96
