time,gFx,gFy,gFz,TgF
0.002414,1.0232,-0.0443,-0.1098,1.03
0.019428,0.9925,-0.0256,-0.1210,1.00
0.035313,0.9637,-0.0132,-0.0969,0.97
0.066807,0.9986,-0.0543,-0.0826,1.00
0.076612,0.9977,-0.0587,-0.0890,1.00
0.101885,0.9934,-0.0514,-0.1003,1.00
0.118955,0.9949,-0.0339,-0.1043,1.00
0.148254,0.9920,-0.0319,-0.1048,1.00
0.168527,0.9944,-0.0343,-0.0989,1.00
0.176639,0.9958,-0.0348,-0.0931,1.00
0.202120,0.9933,-0.0420,-0.0793,1.00
0.219528,0.9928,-0.0567,-0.0866,1.00
0.244411,0.9855,-0.0606,-0.0846,0.99
0.262966,0.9967,-0.0577,-0.0856,1.00
0.294647,0.9992,-0.0264,-0.0906,1.00
0.302300,0.9959,-0.0186,-0.0922,1.00
0.318513,0.9851,-0.0195,-0.0898,0.99
0.344436,0.9839,-0.0438,-0.0541,0.99
0.363726,0.9887,-0.0461,-0.0437,0.99
0.398132,0.9341,0.0270,-0.0862,0.94
0.401760,0.9452,0.0260,-0.0861,0.95
0.426783,1.0033,0.0146,-0.0914,1.01
0.443768,1.0115,-0.0122,-0.0755,1.01
0.462497,1.0470,-0.0697,-0.1060,1.05
0.500278,0.9245,0.0463,-0.1343,0.94
0.502136,0.9289,0.0409,-0.1348,0.94
0.526690,0.9671,-0.0720,-0.1331,0.98
0.543743,0.9076,-0.0822,-0.1399,0.92
0.583488,0.9309,-0.1116,-0.1449,0.95
0.583841,0.9309,-0.1116,-0.1449,0.95
0.602839,1.0239,-0.1264,-0.1127,1.04
0.627444,1.1529,-0.1574,-0.0834,1.17
0.644349,1.1565,-0.1138,-0.0783,1.16
0.666238,1.0992,-0.0095,-0.0644,1.10
0.696260,1.0564,0.0033,-0.0712,1.06
0.702591,1.0456,-0.0207,-0.0775,1.05
0.728484,1.0194,-0.1364,-0.0941,1.03
0.744720,1.0119,-0.2015,-0.1094,1.04
0.765744,1.0084,-0.2470,-0.1291,1.05
0.794424,0.9518,-0.2271,-0.0961,0.98
0.809839,0.9220,-0.2083,-0.0760,0.95
0.827713,0.9288,-0.1878,-0.0682,0.95
0.844309,0.9693,-0.1796,-0.0650,0.99
0.864864,1.0050,-0.1670,-0.0662,1.02
0.887285,1.0125,-0.1309,-0.0717,1.02
0.910024,0.9839,-0.1075,-0.0965,0.99
0.927119,0.9605,-0.0875,-0.1018,0.97
0.958292,1.0054,-0.1086,-0.0998,1.02
0.975327,1.0604,-0.1028,-0.0773,1.07
0.985479,1.0570,-0.0973,-0.0661,1.06
1.010424,1.0260,-0.1691,-0.0796,1.04
1.027345,1.0508,-0.2141,-0.0825,1.08
1.056428,1.0679,-0.1239,-0.0073,1.08
1.080043,1.0352,-0.0953,0.0093,1.04
1.086382,1.0337,-0.1012,0.0030,1.04
1.110741,1.0746,-0.2072,-0.0481,1.10
1.135721,1.0930,-0.3128,-0.2157,1.16
1.158311,1.0704,-0.1911,-0.4277,1.17
1.184868,0.8600,0.0585,-0.5423,1.02
1.193633,0.7851,0.1115,-0.5477,0.96
1.211451,0.7090,0.1868,-0.5031,0.89
1.236224,0.8836,0.1548,-0.2956,0.94
1.259179,1.1194,-0.0717,-0.1502,1.13
1.283216,1.1868,-0.3111,-0.1318,1.23
1.293221,1.1482,-0.3297,-0.1482,1.20
1.310360,1.0519,-0.2959,-0.1889,1.11
1.335270,0.9682,-0.2188,-0.1648,1.01
1.352770,0.9196,-0.1511,-0.1511,0.94
1.384956,0.8928,0.0283,-0.1423,0.90
1.393934,0.8938,0.0817,-0.1119,0.90
1.418752,0.8846,0.1759,-0.0521,0.90
1.435287,0.8741,0.2184,-0.0578,0.90
1.454134,0.8849,0.1995,-0.1069,0.91
1.476387,0.9203,0.1065,-0.1201,0.93
1.493556,0.9380,0.0598,-0.0830,0.94
1.519285,0.9007,0.0378,-0.0305,0.90
1.535356,0.8811,0.0551,0.0024,0.88
1.557623,0.8801,0.0934,0.0285,0.89
1.584642,0.9622,0.0173,-0.0566,0.96
1.594328,1.0105,-0.0157,-0.0867,1.01
1.619635,1.1465,-0.0975,-0.1210,1.16
1.636127,1.1719,-0.0869,-0.1291,1.18
1.660080,1.0463,0.1543,-0.2184,1.08
1.689880,1.0248,0.4878,-0.1637,1.15
1.695741,1.0654,0.4421,-0.1166,1.16
1.719707,1.1798,0.1481,0.0398,1.19
1.736751,1.2722,-0.0895,0.0389,1.28
1.782225,0.8892,0.1195,-0.2430,0.93
1.782752,0.8892,0.1195,-0.2430,0.93
1.802529,0.8594,0.1704,-0.3145,0.93
1.819327,0.8036,0.0476,-0.3801,0.89
1.843316,0.7434,-0.1403,-0.4678,0.89
1.865766,1.0435,-0.1567,-0.4961,1.17
1.892274,1.3653,0.0972,-0.3341,1.41
1.901763,1.3289,0.1977,-0.3048,1.38
1.918433,1.0656,0.3405,-0.2526,1.15
1.944112,0.8113,0.3072,-0.2563,0.90
1.964476,0.7781,0.1628,-0.2513,0.83
1.985110,0.8159,0.0076,-0.2079,0.84
2.001881,0.8531,-0.0832,-0.1820,0.88
2.018955,0.9108,-0.1472,-0.1468,0.93
