time,gFx,gFy,gFz,TgF
0.018878,1.0079,0.0740,0.0304,1.01
0.034976,0.9991,0.0838,0.0420,1.00
0.054368,0.9946,0.0771,0.0522,1.00
0.091014,0.9872,0.0571,0.0611,0.99
0.093437,0.9872,0.0601,0.0611,0.99
0.118425,0.9970,0.0659,0.0636,1.00
0.135036,1.0014,0.0688,0.0597,1.01
0.161338,1.0096,0.0659,0.0735,1.01
0.196646,1.0212,0.0577,0.0980,1.03
0.196900,1.0212,0.0577,0.0980,1.03
0.218589,1.0398,0.0394,0.0739,1.04
0.235339,1.0495,0.0281,0.0609,1.05
0.265105,1.0350,0.0163,0.0432,1.04
0.302719,0.9686,-0.0012,0.0247,0.97
0.303048,0.9686,-0.0012,0.0247,0.97
0.318037,0.9588,-0.0005,0.0382,0.96
0.343340,0.9515,0.0103,0.0547,0.95
0.371817,0.9591,0.0001,0.0690,0.96
0.402924,0.9869,-0.0528,0.0535,0.99
0.403179,0.9869,-0.0528,0.0535,0.99
0.418028,0.9997,-0.0668,0.0161,1.00
0.443571,1.0423,-0.1083,0.0378,1.05
0.470479,1.0459,-0.0982,0.0261,1.05
0.516343,0.9908,-0.0386,0.0642,0.99
0.517118,0.9908,-0.0386,0.0642,0.99
0.519396,0.9869,-0.0386,0.0676,0.99
0.543572,0.9570,-0.0438,0.0805,0.96
0.566055,0.9419,-0.0613,0.0712,0.95
0.609315,0.9566,-0.0861,0.0271,0.96
0.609998,0.9566,-0.0861,0.0271,0.96
0.620994,0.9581,-0.0852,0.0173,0.96
0.644136,0.9655,-0.0805,0.0012,0.97
0.664411,0.9515,-0.0629,-0.0151,0.95
0.702955,0.9258,-0.0307,-0.0361,0.93
0.703219,0.9258,-0.0307,-0.0361,0.93
0.727048,0.9192,0.0117,-0.0452,0.92
0.743833,0.9179,0.0640,-0.0426,0.92
0.767273,0.9706,0.1290,-0.0030,0.98
0.808274,1.1665,0.2064,0.1272,1.19
0.808558,1.1665,0.2064,0.1272,1.19
0.826513,1.2029,0.1967,0.1608,1.23
0.843373,1.2066,0.1523,0.1690,1.23
0.892599,1.1194,0.0078,0.1383,1.13
0.892791,1.1194,0.0078,0.1383,1.13
0.909903,1.0611,-0.0099,0.0720,1.06
0.926612,0.9885,-0.0064,0.0537,0.99
0.944057,0.9060,0.0056,0.0504,0.91
0.998922,0.7548,0.0808,0.1163,0.77
0.999273,0.7548,0.0808,0.1163,0.77
