time,gFx,gFy,gFz,TgF
0.005389,0.0295,-0.0045,0.9824,0.98
0.023345,0.0241,-0.0011,0.9774,0.98
0.043430,0.0178,0.0121,0.9797,0.98
0.067505,0.0217,0.0161,1.0012,1.00
0.079641,0.0255,0.0039,1.0033,1.00
0.104913,0.0333,-0.0029,1.0059,1.01
0.121515,0.0245,0.0152,1.0076,1.01
0.152439,0.0392,0.0136,1.0019,1.00
0.162838,0.0299,0.0196,1.0067,1.01
0.180223,0.0270,0.0137,1.0081,1.01
0.204887,0.0309,-0.0016,0.9878,0.99
0.221767,0.0422,-0.0037,0.9669,0.97
0.247411,0.0046,0.0092,0.9835,0.98
0.272580,-0.0038,0.0022,1.0265,1.03
0.281613,-0.0029,0.0032,1.0255,1.03
0.304896,0.0168,0.0088,0.9954,1.00
0.322149,0.0330,0.0179,0.9769,0.98
0.347589,0.0466,0.0135,0.9863,0.99
0.371284,0.0319,0.0142,1.0062,1.01
0.389128,0.0236,0.0103,1.0086,1.01
0.405331,0.0162,0.0064,1.0002,1.00
0.423413,0.0114,0.0024,0.9861,0.99
0.445577,0.0104,0.0078,0.9885,0.99
0.468327,0.0231,0.0118,1.0062,1.01
0.488290,0.0313,0.0069,1.0117,1.01
0.504915,0.0358,0.0044,1.0024,1.00
0.534953,0.0456,0.0027,0.9854,0.99
0.564394,0.0383,0.0087,0.9902,0.99
0.572036,0.0349,0.0117,0.9970,1.00
0.587847,0.0222,0.0142,0.9998,1.00
0.604943,0.0007,0.0128,0.9966,1.00
0.634502,-0.0107,0.0071,1.0200,1.02
0.665745,0.0356,-0.0077,1.0230,1.02
0.671936,0.0410,-0.0073,1.0114,1.01
0.688055,0.0441,-0.0006,0.9879,0.99
0.705285,0.0402,-0.0007,0.9747,0.98
0.737165,0.0226,0.0201,1.0027,1.00
0.769898,0.0626,0.0298,1.0264,1.03
0.771701,0.0787,0.0248,1.0198,1.02
0.789249,0.1121,0.0176,0.9645,0.97
0.807497,0.0908,0.0203,0.9213,0.93
0.832658,0.0203,0.0190,0.9905,0.99
0.867817,-0.0244,0.0337,1.0490,1.05
0.871606,-0.0190,0.0308,1.0461,1.05
0.896711,0.0280,-0.0045,0.9785,0.98
0.914493,0.0457,-0.0283,0.9349,0.94
0.930824,0.0656,-0.0508,0.9509,0.95
0.960924,0.0374,-0.0638,1.0268,1.03
0.971499,0.0092,-0.0550,1.0201,1.02
0.997590,-0.0546,-0.0256,1.0081,1.01
1.013991,-0.0395,-0.0173,1.0052,1.01
1.042922,0.0392,-0.0030,0.9932,0.99
1.062202,0.0880,0.0095,0.9975,1.00
1.071863,0.1105,0.0153,0.9991,1.01
1.096536,0.1560,0.0386,0.9970,1.01
1.113925,0.1545,0.0430,0.9935,1.01
1.141501,0.1105,0.0137,0.9825,0.99
1.167341,0.0543,-0.0125,0.9773,0.98
1.172149,0.0455,-0.0158,0.9797,0.98
1.196740,0.0162,-0.0098,0.9935,0.99
1.213868,0.0177,0.0015,0.9984,1.00
1.243856,0.0447,0.0145,0.9770,0.98
1.273569,0.0623,0.0183,0.9816,0.98
1.280698,0.0598,0.0189,0.9869,0.99
1.297306,0.0510,0.0170,0.9962,1.00
1.314015,0.0455,0.0142,1.0112,1.01
1.339585,0.0425,0.0128,1.0205,1.02
1.381573,0.0435,0.0088,1.0103,1.01
1.381896,0.0435,0.0088,1.0103,1.01
1.397138,0.0455,0.0053,1.0045,1.01
1.423244,0.0475,-0.0006,0.9938,0.99
1.439033,0.0499,-0.0036,0.9890,0.99
1.477030,0.0553,-0.0080,0.9880,0.99
1.479596,0.0543,-0.0070,0.9924,0.99
1.497218,0.0591,-0.0119,0.9940,1.00
1.521780,0.0577,-0.0133,0.9993,1.00
1.543380,0.0527,-0.0108,1.0100,1.01
1.564125,0.0479,-0.0073,1.0158,1.02
1.579543,0.0503,-0.0054,1.0109,1.01
1.604758,0.0460,-0.0025,1.0045,1.01
1.622032,0.0425,0.0010,1.0093,1.01
1.642382,0.0426,0.0034,1.0049,1.01
1.666985,0.0593,0.0071,0.9880,0.99
1.679815,0.0646,0.0086,0.9915,0.99
1.705177,0.0592,0.0097,1.0051,1.01
1.722564,0.0577,0.0038,1.0080,1.01
1.742992,0.0597,0.0023,0.9949,1.00
1.773235,0.0622,0.0061,0.9783,0.98
1.780369,0.0637,0.0081,0.9792,0.98
1.805650,0.0598,0.0130,0.9933,1.00
1.822430,0.0592,0.0150,1.0031,1.00
1.853608,0.0641,0.0179,1.0055,1.01
1.872231,0.0675,0.0136,0.9988,1.00
1.888434,0.0700,0.0106,0.9958,1.00
1.905563,0.0670,0.0062,0.9958,1.00
1.922972,0.0651,0.0018,0.9973,1.00
1.951673,0.0631,-0.0026,0.9959,1.00
1.977555,0.0641,-0.0051,0.9944,1.00
