time,gFx,gFy,gFz,TgF
0.003248,0.9999,-0.0227,-0.0341,1.00
0.020077,1.0034,0.0002,-0.0303,1.00
0.051904,1.0166,0.0046,-0.0243,1.02
0.061053,1.0058,0.0057,-0.0245,1.01
0.086241,0.9891,-0.0108,-0.0094,0.99
0.103252,0.9857,-0.0137,-0.0118,0.99
0.119920,0.9833,-0.0148,-0.0212,0.98
0.160063,0.9979,-0.0222,-0.0229,1.00
0.161034,0.9979,-0.0222,-0.0229,1.00
0.185521,1.0068,-0.0104,-0.0180,1.01
0.202801,1.0063,-0.0075,-0.0220,1.01
0.221169,1.0165,-0.0130,-0.0355,1.02
0.268196,0.9945,-0.0177,-0.0142,0.99
0.268563,0.9945,-0.0177,-0.0142,0.99
0.285839,0.9940,-0.0216,-0.0156,0.99
0.303502,0.9964,-0.0260,-0.0204,1.00
0.328538,0.9930,-0.0216,-0.0234,0.99
0.347851,1.0125,-0.0260,-0.0120,1.01
0.369079,1.0053,-0.0104,-0.0180,1.01
0.386629,1.0063,-0.0012,-0.0185,1.01
0.403332,0.9557,0.0500,-0.1439,0.97
0.428774,1.0110,-0.0137,0.0138,1.01
0.449368,1.0309,-0.0294,0.0078,1.03
0.470070,0.9784,-0.0123,-0.0246,0.98
0.486286,0.9794,-0.0142,-0.0197,0.98
0.511453,0.9989,0.0033,-0.0148,1.00
0.527096,1.0024,0.0161,-0.0094,1.00
0.548535,0.9995,0.0200,-0.0115,1.00
0.570390,1.0142,0.0168,-0.0298,1.01
0.585362,1.0176,0.0187,-0.0323,1.02
0.610568,1.0073,-0.0085,-0.0307,1.01
0.627169,0.9906,-0.0050,-0.0216,0.99
0.650426,0.9959,-0.0181,-0.0063,1.00
0.675143,0.9984,-0.0059,-0.0015,1.00
0.686224,1.0003,-0.0001,-0.0044,1.00
0.710908,1.0047,0.0043,-0.0049,1.00
0.727563,1.0009,0.0102,-0.0055,1.00
0.750655,1.0147,-0.0230,-0.0652,1.02
0.769192,0.9984,-0.0201,-0.0166,1.00
0.787554,0.9834,-0.0183,-0.0358,0.98
0.811578,0.9957,-0.0067,-0.0557,1.00
0.827861,1.0137,0.0084,-0.0420,1.01
0.857085,1.0185,0.0145,-0.0195,1.02
0.885522,0.9971,0.0067,-0.0280,1.00
0.894195,0.9888,0.0071,-0.0383,0.99
0.910963,0.9771,0.0032,-0.0403,0.98
0.936644,0.9897,-0.0090,-0.0309,0.99
0.955101,0.9985,-0.0168,-0.0351,1.00
0.975322,1.0107,-0.0125,-0.0379,1.01
0.993629,1.0112,-0.0129,-0.0321,1.01
1.011020,1.0010,-0.0139,-0.0347,1.00
1.035714,0.9991,0.0021,-0.0406,1.00
1.055397,1.0006,0.0148,-0.0417,1.00
1.081646,0.9986,0.0188,-0.0339,1.00
1.093599,0.9932,0.0159,-0.0344,0.99
1.110378,0.9898,0.0046,-0.0378,0.99
1.136103,0.9873,-0.0120,-0.0543,0.99
1.157004,1.0000,-0.0185,-0.0605,1.00
1.176685,1.0118,-0.0087,-0.0561,1.01
1.193638,1.0094,0.0030,-0.0547,1.01
1.211503,1.0079,0.0094,-0.0518,1.01
1.235723,1.0089,0.0182,-0.0480,1.01
1.257505,1.0079,0.0197,-0.0470,1.01
1.287872,0.9918,0.0056,-0.0451,0.99
1.294914,0.9898,0.0012,-0.0451,0.99
1.319498,0.9923,-0.0057,-0.0548,0.99
1.336441,0.9961,-0.0087,-0.0567,1.00
1.359633,1.0035,0.0045,-0.0582,1.01
1.379973,1.0040,0.0143,-0.0499,1.01
1.394853,1.0060,0.0172,-0.0519,1.01
1.419626,1.0035,0.0128,-0.0509,1.00
1.436773,1.0035,0.0074,-0.0509,1.00
1.460252,1.0035,0.0045,-0.0528,1.00
1.482167,0.9991,0.0065,-0.0582,1.00
1.493749,0.9977,0.0070,-0.0573,1.00
1.520162,0.9927,0.0085,-0.0344,0.99
1.535515,0.9897,0.0072,-0.0227,0.99
1.559434,0.9902,-0.0006,-0.0212,0.99
1.577712,0.9931,-0.0031,-0.0299,0.99
1.601862,0.9975,0.0091,-0.0270,1.00
1.618607,0.9961,0.0115,-0.0270,1.00
1.646662,0.9974,0.0088,-0.0002,1.00
1.671030,1.0086,-0.0015,-0.0054,1.01
1.676700,1.0086,-0.0060,-0.0112,1.01
1.702440,0.9921,-0.0055,-0.0157,0.99
1.719024,0.9926,-0.0114,-0.0235,0.99
1.738179,0.9662,0.0015,-0.0068,0.97
1.784836,1.0058,-0.0262,-0.0443,1.01
1.785209,1.0058,-0.0262,-0.0443,1.01
1.802241,1.0118,-0.0190,-0.0638,1.01
1.820723,1.0231,-0.0050,-0.0770,1.03
1.844572,1.0354,0.0242,-0.0844,1.04
1.878183,1.0178,0.0543,-0.0486,1.02
1.885104,1.0134,0.0519,-0.0408,1.02
1.902503,1.0001,0.0399,-0.0248,1.00
1.919455,0.9947,0.0238,-0.0218,1.00
1.944801,0.9795,0.0082,-0.0223,0.98
1.979597,1.0001,0.0045,-0.0582,1.00
1.985308,1.0002,0.0114,-0.0578,1.00
2.001970,1.0041,0.0260,-0.0525,1.01
2.028601,1.0060,0.0148,-0.0426,1.01
2.043942,1.0039,-0.0007,-0.0352,1.00
2.073035,1.0039,-0.0173,-0.0361,1.00
2.085248,0.9946,-0.0139,-0.0328,1.00
2.102045,0.9848,-0.0076,-0.0383,0.99
2.127502,0.9820,0.0106,-0.0389,0.98
2.144536,0.9893,0.0164,-0.0340,0.99
2.185507,1.0033,-0.0060,-0.0127,1.00
2.187631,1.0082,-0.0089,-0.0107,1.01
2.202971,1.0130,-0.0167,-0.0116,1.01
2.228158,1.0135,-0.0280,-0.0154,1.01
2.245878,1.0072,-0.0251,-0.0296,1.01
2.265569,0.9980,-0.0134,-0.0293,1.00
2.288523,0.9869,0.0012,-0.0373,0.99
