time,gFx,gFy,gFz,TgF
0.001755,1.0034,0.0380,-0.0003,1.00
0.019618,0.9834,0.0607,0.0208,0.99
0.039213,0.9540,0.0918,0.0515,0.96
0.062740,0.9447,0.1080,0.0680,0.95
0.078419,0.9671,0.0866,0.0810,0.97
0.102691,0.9701,0.0884,0.0708,0.98
0.119210,1.0043,0.0956,0.0598,1.01
0.138580,1.0083,0.1136,0.0504,1.02
0.161109,1.0093,0.1445,0.0669,1.02
0.178118,0.9996,0.1485,0.0702,1.01
0.203031,0.9994,0.1339,0.0844,1.01
0.219482,1.0115,0.1118,0.0847,1.02
0.239290,1.0452,0.0966,0.0910,1.05
0.261516,1.0520,0.1024,0.0852,1.06
0.278505,1.0364,0.1079,0.0844,1.05
0.298951,1.0085,0.1061,0.0993,1.02
0.320240,0.9645,0.1118,0.1253,0.98
0.345527,0.9634,0.0938,0.1419,0.98
0.365185,0.9482,0.0905,0.1501,0.96
0.381623,0.9444,0.0910,0.1467,0.96
0.404252,0.9459,0.1100,0.1397,0.96
0.421102,0.9391,0.0991,0.1256,0.95
0.444789,0.9552,0.1350,0.1606,0.98
0.468477,0.9463,0.1102,0.1686,0.97
0.486175,0.9413,0.0652,0.1600,0.96
0.502940,0.9376,0.0300,0.0791,0.94
0.528644,1.0080,0.0018,-0.0943,1.01
0.549142,1.1151,-0.0308,-0.1677,1.13
0.562148,1.1671,-0.0063,-0.2119,1.19
0.586362,1.1332,0.0852,-0.2001,1.15
0.603141,1.0690,0.0992,-0.1085,1.08
0.628378,0.9300,0.1348,0.1170,0.95
0.649538,0.9214,0.1304,0.1867,0.95
0.669634,1.0144,0.0517,0.1501,1.03
0.686770,1.0925,-0.0207,0.1064,1.10
0.703759,1.1454,-0.0781,0.0223,1.15
0.728872,1.0691,-0.0425,-0.0392,1.07
0.745688,1.0238,-0.0399,-0.0416,1.03
0.770346,0.9485,-0.0600,-0.0115,0.95
0.786483,0.8951,-0.0842,-0.0010,0.90
0.812331,0.8261,-0.1131,0.0185,0.83
0.829491,0.7838,-0.1023,0.0092,0.79
0.845663,0.7771,-0.0780,-0.0184,0.78
0.869012,0.8155,-0.0461,-0.0538,0.82
0.886087,0.8692,-0.0200,-0.0637,0.87
0.911396,0.9459,-0.0237,-0.0723,0.95
0.928268,0.9814,-0.0532,-0.0658,0.99
0.952361,1.0207,-0.1041,-0.0729,1.03
0.969733,1.0480,-0.1399,-0.0802,1.06
0.986633,1.0802,-0.1651,-0.0929,1.10
1.011526,1.1412,-0.1737,-0.1118,1.16
1.028577,1.1930,-0.1616,-0.1139,1.21
1.050730,1.2542,-0.1052,-0.1088,1.26
1.069361,1.3278,-0.0476,-0.1553,1.34
1.094625,1.3685,-0.0112,-0.3993,1.43
1.111956,1.3960,-0.0698,-0.3781,1.45
1.136288,1.5372,-0.2321,-0.3249,1.59
1.157596,1.7116,-0.2089,-0.5793,1.82
1.178764,1.5003,-0.0466,-0.6713,1.64
1.194551,1.2179,0.0074,-0.5401,1.33
1.211685,0.9598,0.0515,-0.5204,1.09
1.230561,0.7495,0.1108,-0.5960,0.96
1.258111,0.6376,0.2045,-0.5880,0.89
1.279161,0.6628,0.2867,-0.4784,0.87
1.294684,0.7117,0.3102,-0.3844,0.87
1.311221,0.7733,0.3001,-0.3125,0.89
1.336908,0.9334,0.2506,-0.2456,1.00
1.358036,1.1313,0.1311,-0.2752,1.17
1.378040,1.2731,-0.0248,-0.3577,1.32
1.394174,1.2692,-0.0866,-0.4095,1.34
1.412115,1.1691,-0.1038,-0.4069,1.24
1.436420,0.9563,-0.0127,-0.3251,1.01
1.457730,0.7734,0.0826,-0.2612,0.82
1.477888,0.5934,0.1616,-0.2166,0.65
1.494113,0.4869,0.1980,-0.1734,0.55
1.519379,0.4101,0.2034,-0.1297,0.48
1.536351,0.4193,0.1834,-0.1193,0.47
1.557402,0.4864,0.1355,-0.0890,0.51
1.578771,0.6256,0.0747,-0.0560,0.63
1.594363,0.6893,0.0095,-0.0539,0.69
