time,gFx,gFy,gFz,TgF
0.001386,0.9914,-0.0872,-0.0391,1.00
0.018520,0.9649,-0.0917,-0.0008,0.97
0.035130,0.9693,-0.1117,0.0858,0.98
0.062523,0.9513,-0.0366,-0.0940,0.96
0.076729,0.9737,-0.0517,-0.0742,0.98
0.093579,0.9978,-0.0646,-0.0270,1.00
0.118640,0.9920,-0.0295,-0.0273,0.99
0.134775,0.9834,-0.0041,-0.0359,0.98
0.160539,0.9547,0.0331,-0.0408,0.96
0.177289,0.9446,0.0581,-0.0342,0.95
0.197891,0.9602,0.0826,-0.0166,0.96
0.218758,1.0310,0.0823,-0.0204,1.03
0.235768,1.0827,0.0664,-0.0344,1.09
0.261454,1.1064,0.0341,-0.0267,1.11
0.277763,1.0931,0.0295,0.0016,1.09
0.302959,1.0768,0.0231,0.0572,1.08
0.325075,1.0664,0.0390,0.1023,1.07
0.343060,1.0367,0.0764,0.1287,1.05
0.360290,1.0075,0.0900,0.1044,1.02
0.377209,1.0169,0.0442,0.0447,1.02
0.405783,0.9643,-0.0299,-0.0320,0.97
0.419480,0.9257,-0.0287,-0.0191,0.93
0.443200,0.8788,0.0215,0.0250,0.88
0.460091,0.8418,0.0820,0.0545,0.85
0.489409,0.8482,0.1500,0.0902,0.87
0.499479,0.8863,0.1514,0.0891,0.90
0.517961,0.9653,0.1575,0.0971,0.98
0.543860,1.0780,0.1371,0.0945,1.09
0.560596,1.0959,0.1121,0.0973,1.11
0.590356,1.0391,0.0523,0.0957,1.04
0.603422,0.9966,0.0197,0.1003,1.00
0.618811,0.9505,-0.0015,0.1186,0.96
0.644246,0.9176,-0.0271,0.1516,0.93
0.661409,0.9283,-0.0217,0.1678,0.94
0.686004,1.0041,-0.0074,0.1392,1.01
0.712985,1.0708,0.0233,0.0947,1.08
0.726407,1.0997,0.0500,0.0782,1.10
0.743438,1.1393,0.0870,0.0803,1.15
0.770367,1.1654,0.1617,0.0893,1.18
0.785543,1.1420,0.1853,0.1021,1.16
0.813809,0.9989,0.1840,0.1344,1.02
0.826402,0.9583,0.1626,0.1258,0.98
0.843255,1.0231,0.1253,0.1341,1.04
0.868923,1.1316,0.1621,-0.0961,1.15
0.890638,1.2935,0.0679,-0.3673,1.35
0.905738,1.3571,0.0173,-0.4577,1.43
0.926513,1.3305,0.0039,-0.5096,1.42
0.943210,1.1956,-0.0125,-0.4761,1.29
0.969068,0.8773,-0.0839,-0.2629,0.92
0.989506,0.6929,-0.1767,-0.1293,0.73
1.008761,0.6189,-0.2520,-0.1182,0.68
1.026875,0.6190,-0.2615,-0.1504,0.69
1.044229,0.7345,-0.2168,-0.1955,0.79
1.069056,0.9999,-0.1137,-0.2044,1.03
1.089984,1.1226,0.0311,-0.2701,1.16
1.111144,1.1156,0.1782,-0.3337,1.18
1.127350,1.0630,0.2370,-0.3228,1.14
1.145065,1.0173,0.2136,-0.2616,1.07
1.169665,0.9159,0.0985,-0.1524,0.93
1.200422,0.8389,-0.1041,-0.0912,0.85
1.217726,0.8243,-0.2163,-0.0779,0.86
1.226846,0.8324,-0.2564,-0.0795,0.87
1.252406,0.8672,-0.2684,-0.1070,0.91
1.268300,0.9015,-0.2389,-0.1302,0.94
1.298076,0.9559,-0.1275,-0.0958,0.97
1.310667,0.9721,-0.0702,-0.0707,0.98
1.327686,1.0014,-0.0213,-0.0473,1.00
1.351564,1.0206,0.0060,-0.0370,1.02
1.368292,1.0069,0.0036,-0.0376,1.01
1.390272,0.9746,-0.0095,-0.0423,0.98
1.411109,0.9306,-0.0190,-0.0265,0.93
1.435165,0.9098,-0.0504,0.0145,0.91
1.451933,0.9156,-0.0685,0.0103,0.92
1.469125,0.9523,-0.0903,-0.0165,0.96
1.509174,1.0578,-0.1457,0.0108,1.07
1.509908,1.0657,-0.1472,0.0142,1.08
1.535176,1.1233,-0.1469,0.0089,1.13
1.552429,1.1444,-0.1251,-0.0105,1.15
1.577786,1.1453,-0.0980,0.0327,1.15
1.598273,1.1404,-0.0818,0.0429,1.14
1.610175,1.1442,-0.0836,0.0619,1.15
1.635259,1.1688,-0.0693,0.0304,1.17
1.652431,1.2733,-0.0999,-0.1169,1.28
1.677920,1.3636,-0.0487,-0.3151,1.40
1.700446,1.2468,0.0512,-0.4087,1.31
1.717042,1.0440,0.0835,-0.4328,1.13
1.734548,0.8368,0.0507,-0.3980,0.93
1.752613,0.6381,0.0013,-0.2838,0.70
1.776971,0.4507,-0.0516,-0.1163,0.47
1.800611,0.5137,-0.0345,-0.0025,0.51
1.830756,0.9084,0.0038,0.1601,0.92
1.834838,1.0426,0.0165,0.1618,1.06
1.859688,1.5232,0.0341,-0.0324,1.52
1.878336,1.5217,-0.0168,-0.2923,1.55
1.898020,1.2747,-0.1130,-0.3341,1.32
1.932146,0.9491,-0.1898,-0.1438,0.98
1.934627,0.9310,-0.1823,-0.1333,0.96
1.960334,0.7048,-0.0300,0.0363,0.71
1.977368,0.5809,0.0858,0.1345,0.60
1.998462,0.5070,0.2094,0.1671,0.57
2.037277,0.7203,0.2917,0.0934,0.78
2.038909,0.7584,0.2803,0.0870,0.81
2.060538,0.9456,0.1744,0.0500,0.96
2.077334,1.0689,0.0661,-0.0111,1.07
2.106830,1.1448,-0.0683,-0.0593,1.15
2.143118,1.0499,-0.0568,0.0101,1.05
2.143476,1.0411,-0.0494,0.0207,1.04
2.159548,0.9873,0.0045,0.0828,0.99
2.176771,0.9518,0.0732,0.1259,0.96
2.206585,0.9906,0.1094,0.0753,1.00
2.227377,1.0768,0.1179,0.0042,1.08
2.243047,1.1537,0.1513,-0.0206,1.16
2.259941,1.2460,0.1870,-0.0215,1.26
2.286659,1.3049,0.1715,0.0144,1.32
2.307797,1.2593,0.1381,0.0381,1.27
2.325687,1.2897,0.0827,0.1750,1.30
2.343105,1.3325,0.0763,-0.0296,1.34
2.359871,1.2991,0.0545,-0.3237,1.34
2.385623,1.2168,-0.0706,-0.4575,1.30
2.408241,1.0287,-0.1157,-0.4287,1.12
2.424461,0.8277,-0.1036,-0.3297,0.90
2.442948,0.5977,-0.1160,-0.1799,0.63
2.460814,0.4765,-0.1284,-0.0428,0.50
2.485676,0.4810,-0.0883,-0.0269,0.49
2.506448,0.6497,0.0109,-0.1573,0.67
2.530928,1.1357,0.1141,-0.1900,1.16
2.542915,1.3778,0.1309,-0.1814,1.40
2.568436,1.4667,0.1776,-0.3913,1.53
2.586384,1.2521,0.2007,-0.4013,1.33
2.606514,1.0331,0.1361,-0.2351,1.07
2.631598,0.7761,-0.0020,-0.0418,0.78
2.643004,0.6853,-0.0692,0.0155,0.69
2.668218,0.5823,-0.2308,0.1186,0.64
2.685300,0.6146,-0.3217,0.1322,0.71
2.719407,0.8097,-0.2978,0.0763,0.87
2.726298,0.8426,-0.2727,0.0559,0.89
2.742944,0.9119,-0.1820,-0.0031,0.93
2.768074,1.0064,-0.0249,-0.0648,1.01
2.785218,1.0433,0.0599,-0.0806,1.05
2.822683,1.0456,0.0411,-0.0419,1.05
2.825977,1.0411,0.0250,-0.0355,1.04
2.843384,1.0243,-0.0198,-0.0222,1.02
2.871052,1.0146,-0.0707,0.0216,1.02
2.884779,1.0195,-0.0751,0.0373,1.02
2.929556,1.1344,-0.1257,0.0474,1.14
2.930249,1.1441,-0.1330,0.0530,1.15
2.945014,1.2356,-0.1620,0.0809,1.25
2.969450,1.3222,-0.1626,0.0363,1.33
2.985721,1.3452,-0.1138,0.0401,1.35
3.019090,1.3299,-0.0188,-0.1667,1.34
3.026420,1.3211,-0.0112,-0.2694,1.35
3.051622,1.2131,0.0977,-0.4997,1.32
3.069113,1.0469,0.2014,-0.5484,1.20
3.093540,0.7795,0.2020,-0.4494,0.92
3.128174,0.6788,-0.0016,-0.1233,0.69
3.134457,0.6755,-0.0379,-0.0596,0.68
3.151272,0.6741,-0.0881,0.1053,0.69
3.168208,0.7857,-0.1920,0.1852,0.83
3.199041,1.1099,-0.3305,0.0208,1.16
3.228342,1.1130,-0.1581,-0.2181,1.15
3.229788,1.1000,-0.1342,-0.2370,1.13
3.251520,0.9951,-0.0134,-0.2603,1.03
3.268586,0.9187,0.0818,-0.2314,0.95
3.297542,0.8258,0.2434,-0.0591,0.86
3.328551,0.7568,0.2992,0.1347,0.82
3.334725,0.7644,0.2808,0.1652,0.83
3.351597,0.8061,0.2320,0.1928,0.86
3.369347,0.8598,0.1659,0.1352,0.89
3.397766,0.9238,0.0493,0.0228,0.93
3.422900,0.9734,-0.0067,0.0197,0.97
3.435256,0.9972,-0.0257,0.0289,1.00
3.452267,1.0303,-0.0379,0.0517,1.03
3.470639,1.0428,-0.0215,0.1015,1.05
3.493583,1.0326,-0.0020,0.0974,1.04
3.514723,1.0124,-0.0013,0.0244,1.01
3.553031,1.0833,0.1121,0.0825,1.09
3.554520,1.0911,0.1239,0.0918,1.10
3.577331,1.2131,0.1602,0.1151,1.23
3.592986,1.2682,0.1256,-0.0066,1.27
3.628972,1.5800,0.0931,-0.2510,1.60
3.634491,1.5879,0.1024,-0.3921,1.64
3.659809,1.3798,0.0566,-0.4851,1.46
3.676583,1.1926,-0.0743,-0.5187,1.30
3.694225,1.0071,-0.2166,-0.4897,1.14
3.739853,0.6222,-0.3115,-0.0196,0.70
3.740339,0.6138,-0.3181,0.0072,0.69
3.760635,0.5930,-0.2602,0.1101,0.66
3.776381,0.6609,-0.0651,0.0293,0.66
3.804017,0.9529,0.3207,-0.0618,1.01
3.821960,1.1036,0.4769,-0.1566,1.21
3.834506,1.1291,0.5054,-0.2645,1.26
3.859994,1.0193,0.4169,-0.3401,1.15
3.876601,0.9365,0.2422,-0.2777,1.01
3.906336,0.7659,-0.0786,-0.1180,0.78
3.921771,0.7258,-0.2738,-0.0355,0.78
3.936813,0.7266,-0.4108,0.0079,0.83
3.960280,0.7973,-0.4843,0.0877,0.94
3.985479,0.9171,-0.3708,0.1056,0.99
4.005752,0.9593,-0.1986,0.0912,0.98
4.026983,0.9701,-0.0494,0.0595,0.97
4.043305,0.9579,0.0403,0.0241,0.96
4.059524,0.9538,0.0885,-0.0021,0.96
4.084775,0.9866,0.1021,-0.0112,0.99
4.102314,1.0460,0.0765,-0.0050,1.05
4.137509,1.1155,0.0095,0.0205,1.12
4.143144,1.1183,-0.0002,0.0235,1.12
4.159726,1.1152,-0.0349,0.0384,1.12
4.184695,1.0874,-0.1214,0.0880,1.10
4.205443,1.0527,-0.1600,0.0630,1.07
4.230205,1.0943,-0.1402,0.0594,1.10
4.242682,1.1776,-0.0892,-0.1076,1.19
4.259379,1.3547,-0.0198,-0.3769,1.41
4.284941,1.5339,0.1348,-0.6218,1.66
4.307148,1.3614,0.2288,-0.6065,1.51
4.330725,1.0078,0.1854,-0.3342,1.08
4.342878,0.8487,0.1359,-0.1289,0.87
4.362142,0.6947,0.0449,0.0694,0.70
4.385745,0.6683,-0.1254,0.0762,0.68
4.414512,0.8391,-0.3036,0.0317,0.89
4.443862,1.0188,-0.1925,-0.1446,1.05
4.445109,1.0234,-0.1799,-0.1554,1.05
4.469081,0.9615,-0.0470,-0.1837,0.98
4.486064,0.8687,0.0310,-0.1061,0.88
4.516922,0.8211,0.0434,-0.0299,0.82
4.547130,0.8479,0.0895,0.0184,0.85
4.547782,0.8513,0.0954,0.0213,0.86
4.567797,0.8889,0.1619,0.0505,0.90
4.584732,0.9389,0.2124,0.0296,0.96
4.613902,0.9529,0.2379,-0.0099,0.98
4.643032,0.9100,0.1430,0.0069,0.92
4.650820,0.8986,0.1148,0.0338,0.91
4.667974,0.8904,0.0664,0.0854,0.90
4.685201,0.9023,0.0295,0.1350,0.91
4.730255,0.9797,-0.0294,0.1396,0.99
4.730753,0.9821,-0.0308,0.1362,0.99
4.751094,1.0043,-0.0455,0.0613,1.01
4.768974,0.9999,-0.0385,-0.0481,1.00
4.793009,1.0691,0.0624,-0.0580,1.07
4.814785,1.2268,0.1859,0.0184,1.24
4.843800,1.4709,0.0993,0.0404,1.47
4.851189,1.4388,0.1006,0.0064,1.44
4.868460,1.4041,0.1268,0.0391,1.41
4.893549,1.4038,0.2218,-0.1545,1.43
4.914414,1.2528,0.2128,-0.4224,1.34
4.939974,1.1473,-0.0330,-0.4984,1.25
4.951632,1.0626,-0.1477,-0.5175,1.19
4.968866,0.9039,-0.2366,-0.4521,1.04
4.992884,0.6271,-0.2654,-0.2181,0.72
5.014186,0.5630,-0.3160,0.0052,0.65
5.034447,0.6142,-0.1975,0.0015,0.65
5.051032,0.7655,0.0367,-0.0406,0.77
5.076248,1.0818,0.4056,-0.0065,1.16
5.094376,1.2038,0.5001,-0.0508,1.30
5.112451,1.1627,0.4054,-0.2230,1.25
5.144098,0.9555,0.0793,-0.2960,1.00
5.151066,0.8955,-0.0288,-0.2680,0.94
5.176324,0.7464,-0.3002,-0.1787,0.82
5.192692,0.6633,-0.3790,-0.0959,0.77
5.215573,0.6970,-0.3742,-0.0054,0.79
5.235226,0.8058,-0.2944,0.0738,0.86
5.251458,0.9083,-0.2232,0.1153,0.94
5.276313,0.9786,-0.1127,0.0893,0.99
5.293009,0.9838,-0.0632,0.0485,0.99
5.323177,0.9657,0.0040,-0.0004,0.97
5.355580,0.9789,0.0266,0.0215,0.98
5.356411,0.9789,0.0266,0.0215,0.98
5.377156,1.0242,0.0015,0.0192,1.02
5.394128,1.0506,-0.0148,-0.0014,1.05
5.425281,1.1055,-0.0732,-0.0005,1.11
5.454833,1.2090,-0.1646,0.0353,1.22
5.459733,1.2407,-0.1702,0.0205,1.25
5.476189,1.3176,-0.1621,-0.0365,1.33
5.502996,1.3574,-0.0811,-0.0322,1.36
5.522800,1.3685,-0.0377,-0.1882,1.38
5.545986,1.3576,0.0428,-0.4408,1.43
5.559399,1.3164,0.1149,-0.5638,1.44
5.576445,1.1423,0.2011,-0.6187,1.31
5.601300,0.8476,0.2173,-0.3936,0.96
5.621913,0.7497,0.1287,-0.1684,0.78
5.648967,0.6665,0.0994,0.0879,0.68
5.659336,0.6939,0.0233,0.1262,0.71
5.676229,0.8281,-0.1689,0.0824,0.85
5.701343,1.0211,-0.2917,-0.0712,1.06
5.723633,1.0168,-0.2458,-0.1623,1.06
5.753235,0.8789,-0.1524,-0.1286,0.90
5.761314,0.8297,-0.1101,-0.1123,0.84
5.777486,0.7672,-0.0274,-0.0558,0.77
5.801426,0.7468,0.1139,0.0348,0.76
5.837784,0.8524,0.2390,0.1014,0.89
5.842588,0.8778,0.2575,0.1005,0.92
5.859752,0.9385,0.2762,0.0727,0.98
5.885108,0.9868,0.1887,0.0151,1.00
5.902149,0.9807,0.1237,0.0131,0.99
5.923008,0.9692,0.0618,0.0217,0.97
5.954843,0.9522,0.0281,0.0970,0.96
5.959996,0.9551,0.0233,0.1058,0.96
5.984629,0.9748,0.0054,0.1427,0.99
6.001260,0.9837,-0.0100,0.1068,0.99
6.042535,1.1545,0.0289,0.0246,1.16
6.044115,1.1760,0.0484,0.0326,1.18
6.061193,1.2634,0.1114,0.0686,1.27
6.084533,1.3296,0.0955,-0.0156,1.33
6.102952,1.4385,0.1038,-0.0268,1.44
6.151581,1.3225,0.1312,-0.4715,1.41
6.152417,1.2833,0.1157,-0.4659,1.37
6.167577,1.1392,0.0341,-0.4736,1.23
6.184898,0.9757,-0.0707,-0.4393,1.07
6.203097,0.8127,-0.1904,-0.3067,0.89
6.224139,0.6607,-0.2523,-0.0729,0.71
6.251270,0.6553,-0.3098,0.1115,0.73
6.268315,0.7376,-0.1812,0.0255,0.76
6.285162,0.9085,0.0380,-0.0593,0.91
6.314568,1.1262,0.3282,-0.1730,1.19
6.347570,0.9772,0.3677,-0.3314,1.10
6.347852,0.9772,0.3677,-0.3314,1.10
6.368174,0.8661,0.2401,-0.2462,0.93
6.385561,0.7943,0.0642,-0.1583,0.81
6.410537,0.6964,-0.2030,-0.0495,0.73
6.442880,0.7688,-0.4183,0.0850,0.88
6.444789,0.7828,-0.4266,0.0911,0.90
6.467702,0.9156,-0.3696,0.1310,1.00
6.485427,0.9781,-0.2436,0.0902,1.01
6.514899,1.0028,-0.0716,0.0380,1.01
6.543741,0.9784,0.0251,0.0152,0.98
6.545499,0.9750,0.0324,0.0166,0.98
6.567899,0.9692,0.0280,0.0126,0.97
6.593436,1.0110,0.0104,0.0234,1.01
6.609828,1.0550,0.0023,0.0024,1.05
6.650155,1.1671,-0.0515,-0.0152,1.17
6.650636,1.1729,-0.0593,-0.0112,1.17
6.668295,1.2141,-0.1174,0.0184,1.22
6.693614,1.2204,-0.1517,-0.0023,1.23
6.714715,1.2428,-0.1434,0.0110,1.25
6.747129,1.3793,-0.0894,-0.2507,1.40
6.752043,1.3784,-0.0684,-0.2601,1.40
6.776718,1.2837,0.0717,-0.4705,1.37
6.793299,1.1094,0.1331,-0.5087,1.23
6.810527,0.8935,0.1685,-0.4270,1.00
6.831344,0.7460,0.1024,-0.2273,0.79
6.850649,0.6812,0.1202,-0.0132,0.69
6.875756,0.7844,0.0325,0.0811,0.79
6.893719,0.9524,-0.1109,0.0593,0.96
6.910552,1.0844,-0.1760,-0.0538,1.10
6.958623,0.9109,-0.1204,-0.1671,0.93
6.958819,0.9109,-0.1204,-0.1671,0.93
6.975762,0.8068,-0.1017,-0.1121,0.82
6.992874,0.7393,-0.0807,-0.0762,0.75
7.022657,0.7330,0.0602,0.0282,0.74
7.055087,0.8692,0.2510,0.0702,0.91
7.059435,0.8897,0.2754,0.0722,0.93
7.076190,0.9710,0.3370,0.0574,1.03
7.093388,1.0276,0.3068,0.0225,1.07
7.124280,1.0261,0.1024,-0.0044,1.03
7.151494,0.9953,-0.0258,0.0167,1.00
7.160000,0.9902,-0.0559,0.0363,0.99
7.176805,0.9543,-0.0651,0.1049,0.96
7.193734,0.9211,-0.0252,0.1444,0.93
7.222196,0.9465,0.0579,0.0889,0.95
7.251416,1.0481,0.1097,-0.0057,1.05
7.259645,1.0896,0.1300,-0.0084,1.10
7.276990,1.1863,0.1732,0.0040,1.20
7.302134,1.3178,0.1134,0.0330,1.32
7.318636,1.3463,0.0781,-0.0491,1.35
7.355520,1.4517,0.1134,-0.3573,1.50
7.359022,1.4378,0.1243,-0.4186,1.50
