time,gFx,gFy,gFz,TgF
0.004932,0.9972,-0.0629,0.1038,1.00
0.018900,0.9919,-0.0687,0.0945,1.00
0.031372,0.9977,-0.0751,0.1005,1.01
0.056879,0.9938,-0.0593,0.1228,1.00
0.073816,0.9855,-0.0421,0.1363,1.00
0.100425,0.9917,-0.0656,0.1292,1.00
0.115196,0.9903,-0.0685,0.1287,1.00
0.140495,0.9922,-0.0666,0.1311,1.00
0.157636,0.9976,-0.0538,0.1355,1.01
0.173959,0.9996,-0.0466,0.1267,1.01
0.198944,0.9903,-0.0612,0.1242,1.00
0.216209,0.9927,-0.0711,0.1219,1.00
0.243247,0.9952,-0.0602,0.1302,1.01
0.257812,0.9961,-0.0568,0.1390,1.01
0.274648,0.9986,-0.0539,0.1326,1.01
0.303368,1.0093,-0.0652,0.1283,1.02
0.325020,0.9894,-0.0515,0.1159,1.00
0.339734,0.9821,-0.0451,0.1221,0.99
0.357787,0.9830,-0.0480,0.1285,0.99
0.381710,0.9854,-0.0597,0.1291,1.00
0.403075,0.9820,-0.0709,0.1321,0.99
0.425719,0.9731,-0.0684,0.1441,0.99
0.439476,0.9796,-0.0735,0.1150,0.99
0.467177,0.9879,-0.0627,0.1213,1.00
0.482764,0.9913,-0.0524,0.1339,1.00
0.503141,0.9991,-0.0490,0.1321,1.01
0.528556,1.0010,-0.0544,0.1302,1.01
0.539887,1.0020,-0.0559,0.1258,1.01
0.557828,0.9962,-0.0574,0.1160,1.00
0.582905,0.9923,-0.0574,0.1052,1.00
0.598542,0.9899,-0.0584,0.1013,1.00
0.637693,0.9977,-0.0717,0.0937,1.00
0.640534,0.9967,-0.0717,0.0931,1.00
0.665080,0.9997,-0.0722,0.0927,1.01
0.682904,0.9997,-0.0663,0.0990,1.01
0.711632,0.9899,-0.0511,0.1086,1.00
0.737799,0.9875,-0.0418,0.1168,1.00
0.748175,0.9870,-0.0407,0.1182,0.99
0.764811,0.9890,-0.0383,0.1138,1.00
0.782023,0.9909,-0.0359,0.1133,1.00
0.806180,1.0002,-0.0388,0.1159,1.01
0.835941,1.0021,-0.0545,0.1126,1.01
0.848306,1.0030,-0.0623,0.1112,1.01
0.864915,1.0039,-0.0706,0.1156,1.01
0.882125,0.9981,-0.0740,0.1171,1.01
0.903175,0.9976,-0.0745,0.1166,1.01
0.928686,0.9938,-0.0706,0.1087,1.00
0.948289,0.9855,-0.0599,0.1061,0.99
0.965717,0.9821,-0.0510,0.1085,0.99
0.983938,0.9850,-0.0510,0.1109,0.99
1.025001,0.9981,-0.0594,0.1131,1.01
1.025190,0.9981,-0.0594,0.1131,1.01
1.049394,0.9958,-0.0623,0.1062,1.00
1.073880,0.9933,-0.0638,0.1033,1.00
1.092544,0.9938,-0.0648,0.1077,1.00
1.111673,0.9967,-0.0633,0.1111,1.00
1.133892,0.9938,-0.0584,0.1111,1.00
1.148488,0.9928,-0.0594,0.1086,1.00
1.173233,0.9967,-0.0590,0.1043,1.00
1.190731,0.9992,-0.0560,0.1053,1.01
1.211782,0.9972,-0.0580,0.1038,1.00
1.231418,0.9953,-0.0604,0.1028,1.00
1.248938,0.9953,-0.0595,0.1023,1.00
1.275001,0.9958,-0.0610,0.0916,1.00
1.290016,0.9973,-0.0600,0.0901,1.00
1.319279,1.0002,-0.0566,0.0843,1.01
1.338118,1.0027,-0.0547,0.0877,1.01
1.356481,1.0012,-0.0537,0.0916,1.01
1.373655,0.9992,-0.0556,0.0965,1.01
1.390796,0.9938,-0.0594,0.1043,1.00
1.421057,0.9889,-0.0657,0.1145,1.00
1.439845,0.9894,-0.0681,0.1180,1.00
1.456756,0.9889,-0.0676,0.1180,1.00
1.473376,0.9966,-0.0681,0.1185,1.01
1.493997,0.9972,-0.0667,0.1122,1.01
1.532875,1.0002,-0.0634,0.1004,1.01
1.540012,0.9992,-0.0610,0.0965,1.01
1.557402,0.9988,-0.0561,0.0891,1.00
1.574281,0.9929,-0.0516,0.0945,1.00
1.599285,0.9875,-0.0491,0.1026,0.99
1.620033,0.9933,-0.0570,0.0993,1.00
1.638294,0.9958,-0.0624,0.0970,1.00
1.656986,0.9967,-0.0658,0.0970,1.00
1.682267,0.9963,-0.0663,0.0965,1.00
1.698455,0.9948,-0.0697,0.1004,1.00
1.722125,0.9967,-0.0712,0.1039,1.00
1.739732,0.9957,-0.0692,0.1034,1.00
1.756349,0.9967,-0.0673,0.1034,1.00
1.781609,0.9928,-0.0657,0.1072,1.00
1.798686,0.9889,-0.0648,0.1071,1.00
1.822753,0.9898,-0.0677,0.1077,1.00
1.839547,0.9933,-0.0677,0.1116,1.00
1.856540,0.9942,-0.0701,0.1136,1.00
1.881859,0.9928,-0.0706,0.1122,1.00
1.897882,0.9908,-0.0711,0.1097,1.00
1.919882,0.9918,-0.0692,0.1048,1.00
1.939659,0.9943,-0.0668,0.1013,1.00
1.957640,0.9958,-0.0687,0.0985,1.00
1.981327,0.9972,-0.0663,0.0995,1.00
1.998511,0.9977,-0.0649,0.0955,1.00
2.021543,0.9978,-0.0610,0.0906,1.00
2.039950,0.9992,-0.0586,0.0862,1.00
2.064918,0.9968,-0.0581,0.0887,1.00
2.082400,0.9978,-0.0590,0.0916,1.00
2.098994,0.9977,-0.0639,0.0926,1.00
2.134479,0.9953,-0.0643,0.0970,1.00
2.139596,0.9958,-0.0668,0.0951,1.00
2.164576,0.9943,-0.0692,0.0951,1.00
2.183425,0.9923,-0.0682,0.0965,1.00
2.211203,0.9860,-0.0682,0.0984,0.99
2.233066,0.9928,-0.0697,0.0955,1.00
2.240303,0.9953,-0.0698,0.0926,1.00
2.264968,1.0071,-0.0684,0.0869,1.01
2.281876,1.0066,-0.0630,0.0858,1.01
2.310961,0.9963,-0.0576,0.0930,1.00
2.336874,0.9919,-0.0629,0.0935,1.00
2.348044,0.9909,-0.0638,0.0930,1.00
2.364723,0.9934,-0.0644,0.0921,1.00
2.383382,0.9958,-0.0639,0.0916,1.00
2.411341,0.9982,-0.0654,0.0926,1.00
2.428712,0.9943,-0.0648,0.0965,1.00
2.448303,0.9933,-0.0634,0.0965,1.00
2.465722,0.9948,-0.0614,0.0989,1.00
2.490851,0.9953,-0.0590,0.0970,1.00
2.509150,0.9939,-0.0604,0.0945,1.00
2.530766,0.9963,-0.0620,0.0882,1.00
2.555240,0.9992,-0.0630,0.0848,1.00
2.565535,0.9992,-0.0610,0.0824,1.00
2.591130,0.9997,-0.0606,0.0829,1.00
2.607430,0.9992,-0.0625,0.0814,1.00
2.630303,0.9988,-0.0620,0.0794,1.00
2.647332,0.9988,-0.0615,0.0838,1.00
2.672880,0.9949,-0.0600,0.0901,1.00
2.689995,0.9934,-0.0604,0.0945,1.00
2.719586,0.9987,-0.0615,0.0960,1.01
2.744938,0.9963,-0.0624,0.0960,1.00
2.748048,0.9953,-0.0629,0.0960,1.00
2.773654,0.9982,-0.0648,0.0975,1.01
2.790127,0.9972,-0.0649,0.0936,1.00
2.820212,0.9885,-0.0604,0.0964,1.00
2.845247,0.9899,-0.0629,0.0998,1.00
2.848016,0.9899,-0.0623,0.1028,1.00
2.873359,0.9977,-0.0682,0.1029,1.01
2.890390,0.9981,-0.0702,0.1039,1.01
2.922085,0.9953,-0.0658,0.0980,1.00
2.945974,0.9939,-0.0639,0.0935,1.00
2.949582,0.9934,-0.0649,0.0921,1.00
