time,gFx,gFy,gFz,TgF
0.001427,1.0055,0.0142,-0.0072,1.01
0.011786,1.0113,0.0201,0.0045,1.01
0.032260,1.0041,0.0249,-0.0093,1.00
0.057961,0.9874,0.0152,-0.0035,0.99
0.075090,0.9927,0.0202,0.0156,0.99
0.102125,0.9928,0.0422,0.0178,0.99
0.121087,0.9929,0.0529,0.0051,0.99
0.140980,0.9959,0.0567,-0.0076,1.00
0.157191,0.9949,0.0557,-0.0052,1.00
0.173827,0.9944,0.0532,-0.0159,1.00
0.200150,0.9915,0.0474,-0.0168,0.99
0.233923,1.0071,0.0419,-0.0186,1.01
0.240824,1.0047,0.0449,-0.0211,1.01
0.257241,1.0018,0.0414,-0.0196,1.00
0.274281,0.9930,0.0267,-0.0362,0.99
0.303172,0.9895,-0.0060,-0.0478,0.99
0.328760,0.9909,-0.0149,-0.0491,0.99
0.340640,0.9885,-0.0129,-0.0482,0.99
0.357282,0.9832,-0.0110,-0.0580,0.98
0.375132,0.9778,-0.0099,-0.0498,0.98
0.403476,0.9903,-0.0245,-0.0359,0.99
0.428066,1.0172,-0.0291,-0.0351,1.02
0.440570,1.0201,-0.0291,-0.0434,1.02
0.457267,1.0084,-0.0339,-0.0450,1.01
0.476132,1.0185,-0.0632,-0.0383,1.02
0.501852,1.0199,-0.1082,-0.0419,1.03
0.518554,1.0160,-0.1053,-0.0410,1.02
0.540806,1.0179,-0.0886,-0.0206,1.02
0.558821,0.9882,-0.0675,-0.0195,0.99
0.583263,0.9931,-0.0739,-0.0297,1.00
0.600305,0.9994,-0.0640,-0.0219,1.00
0.635495,0.9921,-0.0714,-0.0209,0.99
0.640461,0.9896,-0.0782,-0.0243,0.99
0.665478,0.9734,-0.1196,-0.0218,0.98
0.682678,0.9655,-0.1372,-0.0232,0.98
0.699633,0.9571,-0.1523,-0.0178,0.97
0.731981,0.9937,-0.1754,-0.0295,1.01
0.740503,1.0064,-0.1779,-0.0284,1.02
0.766182,1.0110,-0.1503,-0.0534,1.02
0.782823,0.9990,-0.1127,-0.0728,1.01
0.803591,0.9986,-0.0742,-0.0707,1.00
0.833673,1.0113,-0.0492,-0.0570,1.01
0.840477,1.0069,-0.0501,-0.0468,1.01
0.865946,0.9638,-0.0762,-0.0309,0.97
0.883018,0.9450,-0.1058,-0.0055,0.95
0.903861,0.9488,-0.1232,0.0171,0.96
0.923873,0.9692,-0.1168,0.0368,0.98
0.941507,0.9794,-0.1153,0.0481,0.99
0.966628,0.9793,-0.1216,0.0554,0.99
0.983504,0.9681,-0.1234,0.0715,0.98
1.005062,0.9295,-0.1438,0.0698,0.94
1.031196,0.8504,-0.1657,0.0492,0.87
1.049625,0.7896,-0.1568,0.0304,0.81
1.066701,0.7603,-0.1489,0.0321,0.78
1.091684,0.7756,-0.1522,-0.0151,0.79
1.108374,0.8134,-0.1937,0.0021,0.84
1.146795,0.8061,-0.2218,0.1097,0.84
1.147446,0.8003,-0.2150,0.1052,0.84
1.165400,0.7439,-0.1263,0.1123,0.76
1.190894,0.7649,0.0298,0.2399,0.80
1.207625,0.8022,0.1032,0.3560,0.88
1.246679,0.8824,0.0239,0.3812,0.96
1.248915,0.8886,0.0156,0.3813,0.97
1.267304,0.9533,-0.0696,0.3771,1.03
1.291016,1.0278,-0.1345,0.3480,1.09
1.312968,1.0478,-0.1115,0.1518,1.06
1.349151,1.4169,-0.1466,-0.2575,1.45
1.351336,1.4413,-0.1447,-0.2583,1.47
1.374126,1.5766,-0.0331,-0.2187,1.59
1.391551,1.6252,0.0408,-0.3134,1.66
1.412677,1.5975,0.1298,-0.6200,1.72
1.445292,1.3776,0.4823,-0.6089,1.58
1.450300,1.3355,0.4631,-0.5857,1.53
1.475491,1.1020,0.2556,-0.4679,1.22
1.492352,0.9738,0.1193,-0.3856,1.05
1.512315,0.9505,-0.0375,-0.3160,1.00
1.547023,0.9370,-0.1074,-0.1857,0.96
1.549460,0.9200,-0.1039,-0.1776,0.94
1.575349,0.8319,-0.0934,-0.1102,0.84
1.591833,0.8087,-0.0978,-0.0552,0.82
1.621307,0.9116,-0.0809,-0.0309,0.92
1.649921,0.9621,-0.0117,-0.0323,0.96
1.658638,0.9466,0.0195,-0.0361,0.95
1.674252,0.8927,0.0872,-0.0347,0.90
1.691152,0.8139,0.1503,-0.0476,0.83
1.720256,0.7036,0.1507,-0.0569,0.72
1.753460,0.5655,0.0812,0.0135,0.57
1.754126,0.5543,0.0764,0.0134,0.56
1.773916,0.4736,0.0357,0.0227,0.48
1.793366,0.4223,0.0295,0.0252,0.42
1.820740,0.5311,0.0375,0.0232,0.53
1.846619,0.7507,0.0161,0.0094,0.75
1.857605,0.8379,0.0234,0.0448,0.84
1.875302,0.9656,0.0135,0.0905,0.97
1.900051,1.1186,-0.0469,0.1950,1.14
1.920606,1.1148,-0.0331,0.2862,1.15
1.950767,0.8817,-0.0874,0.3234,0.94
1.958425,0.8286,-0.1108,0.2952,0.89
1.974554,0.7852,-0.1765,0.2332,0.84
2.000592,0.8434,-0.0679,0.2794,0.89
2.020781,0.8764,0.1478,0.0419,0.89
2.040429,0.9073,0.1767,-0.3022,0.97
2.057326,1.1387,0.0542,-0.5428,1.26
