time,gFx,gFy,gFz,TgF
0.018502,1.0013,0.0342,-0.0705,1.00
0.034957,0.9861,0.0284,-0.0657,0.99
0.059374,0.9871,0.0305,-0.0521,0.99
0.079219,0.9905,0.0314,-0.0560,0.99
0.094233,0.9998,0.0309,-0.0564,1.00
0.118432,1.0032,0.0298,-0.0641,1.01
0.135266,0.9993,0.0303,-0.0676,1.00
0.160172,0.9930,0.0274,-0.0686,1.00
0.180916,0.9954,0.0221,-0.0617,1.00
0.202053,1.0007,0.0176,-0.0646,1.00
0.218782,1.0012,0.0192,-0.0621,1.00
0.244206,1.0017,0.0172,-0.0616,1.00
0.260712,1.0011,0.0089,-0.0552,1.00
0.281866,0.9963,0.0046,-0.0508,1.00
0.301090,0.9928,0.0041,-0.0494,0.99
0.317659,0.9889,0.0090,-0.0553,0.99
0.343271,0.9929,0.0167,-0.0588,0.99
0.359847,0.9953,0.0206,-0.0617,1.00
0.388392,0.9959,0.0220,-0.0666,1.00
0.412751,0.9925,0.0220,-0.0715,1.00
0.417824,0.9935,0.0250,-0.0749,1.00
0.442799,1.0023,0.0244,-0.0778,1.01
0.459707,0.9979,0.0230,-0.0773,1.00
0.482869,1.0008,0.0215,-0.0739,1.00
0.500896,0.9978,0.0206,-0.0710,1.00
0.518834,0.9959,0.0211,-0.0690,1.00
0.542459,1.0081,0.0165,-0.0801,1.01
0.559665,1.0008,0.0137,-0.0734,1.00
0.588985,0.9978,0.0059,-0.0796,1.00
0.601703,1.0018,0.0063,-0.0801,1.00
0.626461,1.0022,0.0146,-0.0723,1.00
0.644146,0.9974,0.0269,-0.0696,1.00
0.668235,0.9916,0.0377,-0.0692,0.99
0.689604,0.9867,0.0367,-0.0731,0.99
0.704196,0.9818,0.0314,-0.0732,0.99
0.727473,0.9974,0.0220,-0.0832,1.00
0.744225,1.0121,0.0233,-0.0977,1.02
0.769190,0.9928,0.0421,-0.1381,1.00
0.791637,1.0256,0.0465,-0.1319,1.04
0.809688,1.0192,0.0450,-0.1339,1.03
0.826489,1.0021,0.0368,-0.1282,1.01
0.842968,0.9839,0.0214,-0.1043,0.99
0.868206,0.9620,-0.0124,-0.0525,0.96
0.896812,0.9499,0.0194,-0.0441,0.95
0.909433,0.9778,0.0213,-0.0467,0.98
0.926234,1.0226,0.0157,-0.0541,1.02
0.943737,1.0486,0.0169,-0.0768,1.05
0.968177,1.0545,0.0345,-0.0754,1.06
0.998961,1.0093,0.0409,-0.0934,1.01
1.009211,0.9868,0.0410,-0.0951,0.99
1.027124,0.9682,0.0361,-0.0933,0.97
1.051707,0.9468,0.0288,-0.1077,0.95
1.068455,0.9464,0.0360,-0.1297,0.96
1.099014,0.9956,0.0447,-0.1981,1.02
1.110940,1.0118,0.0430,-0.2263,1.04
1.127399,1.0141,0.0401,-0.2169,1.04
1.152248,0.9958,0.0426,-0.1371,1.01
1.168906,0.9473,0.0519,-0.0922,0.95
1.190017,0.9052,0.0508,-0.0579,0.91
1.209783,0.9284,0.0225,-0.0414,0.93
1.234985,0.9864,0.0400,-0.0136,0.99
1.252145,1.0041,0.0928,0.0009,1.01
1.276497,1.0028,0.1000,-0.0216,1.01
1.303104,0.9669,0.0659,-0.0960,0.97
1.310036,0.9513,0.0552,-0.1044,0.96
1.334313,0.8874,-0.0012,-0.1613,0.90
1.351281,0.8364,-0.0418,-0.1268,0.85
1.382376,0.8502,-0.0195,0.0768,0.85
1.394295,0.8559,0.0126,0.1328,0.87
1.417674,0.9502,-0.0192,0.0973,0.96
1.434852,1.0112,-0.0745,0.0426,1.01
1.451638,1.0729,-0.1151,0.0742,1.08
1.480441,1.0792,-0.0256,-0.0704,1.08
1.493329,1.2029,0.0629,0.1582,1.21
1.512521,1.1876,-0.0242,0.1377,1.20
1.537518,1.1780,-0.1656,0.0878,1.19
1.552330,1.1756,-0.2318,0.0453,1.20
1.577146,1.0710,-0.1326,0.1593,1.09
1.602923,0.9587,0.1135,0.1546,0.98
1.618078,0.9336,0.1583,0.1174,0.95
1.634795,0.9057,0.1129,0.1067,0.92
1.660362,0.8636,0.1083,0.1420,0.88
1.677108,0.8280,-0.0743,0.1981,0.85
1.706838,0.8468,0.0891,0.1693,0.87
1.717675,0.8958,0.0866,0.1156,0.91
1.734310,0.9008,0.1193,0.1091,0.92
1.759608,0.8061,0.1407,0.1231,0.83
1.781135,0.7108,0.1197,0.1532,0.74
1.800803,0.6332,0.1097,0.1462,0.66
1.817801,0.5787,0.1352,0.1430,0.61
1.835772,0.5597,0.1568,0.1363,0.60
1.859785,0.6021,0.1082,0.1297,0.63
1.880571,0.6547,0.0693,0.1168,0.67
1.898855,0.6078,0.1037,0.0448,0.62
1.918454,0.6302,0.0939,0.0402,0.64
1.943077,0.7438,0.2269,0.0561,0.78
1.960039,0.6759,0.3125,0.0314,0.75
1.982741,0.8206,0.3862,0.0249,0.91
1.999418,0.9645,0.3716,0.0304,1.03
2.018505,0.9179,0.1857,0.0443,0.94
2.043505,0.8952,-0.0051,0.0630,0.90
2.060446,0.8426,0.0661,0.0937,0.85
2.089310,0.8262,0.1969,0.1493,0.86
2.102797,0.8560,0.1624,0.1162,0.88
2.126953,0.9392,0.2392,0.0183,0.97
2.142950,0.9601,0.3078,0.0708,1.01
2.160525,0.8897,0.2649,0.1885,0.95
2.190661,0.5596,0.0435,0.3055,0.64
2.203046,0.5951,-0.0058,0.3970,0.72
2.226145,1.6988,-0.0063,0.2992,1.72
2.242881,3.0329,-0.5617,1.0853,3.27
2.268095,3.8375,-2.2834,2.2244,4.99
2.290896,2.3755,-1.3486,0.9623,2.90
2.305488,1.1765,-0.4714,0.3184,1.31
2.326229,-0.1528,-0.1407,0.6002,0.64
2.342746,-0.4975,-0.0928,0.0287,0.51
2.368240,0.4938,-0.0850,-0.2723,0.57
2.388900,0.7745,-0.0626,-0.0477,0.78
2.410445,0.3388,0.2121,0.0342,0.40
2.426055,0.0814,0.2332,-0.0041,0.25
2.443419,0.1046,-0.0082,-0.0163,0.11
2.468102,0.6699,-0.3941,0.0639,0.78
2.485383,1.0751,-0.6489,0.3889,1.31
2.519858,1.1953,-1.1443,1.2000,2.04
2.527234,1.0431,-1.0865,1.2212,1.94
2.551311,0.6632,-0.6237,1.1929,1.50
2.568687,0.5122,-0.4053,1.2036,1.37
2.591742,0.5700,-0.5604,0.8058,1.14
2.615255,0.7407,-0.6512,0.5351,1.12
2.625752,0.6918,-0.5805,0.4878,1.03
2.651972,0.5866,-0.2924,0.3408,0.74
2.668314,0.5884,-0.2633,0.3796,0.75
2.689437,0.6333,-0.2882,0.4784,0.84
2.715380,0.6594,-0.2937,0.5515,0.91
2.725840,0.7109,-0.2926,0.5993,0.97
2.751012,0.6679,-0.4039,0.7403,1.08
2.767986,0.5391,-0.5074,0.7617,1.06
2.788931,0.6116,-0.4834,0.7285,1.07
2.816667,0.7752,-0.4651,0.6978,1.14
2.827248,0.6956,-0.4939,0.8075,1.17
2.851321,0.5142,-0.4962,0.6593,0.97
2.868010,0.4898,-0.4364,0.6079,0.89
2.889024,0.5356,-0.4820,0.6819,0.99
2.910738,0.5650,-0.4247,0.7135,1.00
2.934228,0.6019,-0.3909,0.6751,0.99
2.951969,0.5181,-0.3749,0.7650,1.00
2.976314,0.4237,-0.4612,0.7349,0.97
2.997759,0.5192,-0.5439,0.8409,1.13
3.018007,0.4238,-0.4790,0.9333,1.13
3.034398,0.4032,-0.4170,0.9937,1.15
3.053828,0.4705,-0.3463,0.8488,1.03
3.076899,0.4702,-0.2723,0.7467,0.92
3.099736,0.2970,-0.2589,0.7591,0.86
3.116767,0.2536,-0.3258,0.8095,0.91
3.134435,0.2840,-0.4339,0.8179,0.97
3.151030,0.2910,-0.4896,0.8173,1.00
3.176247,0.3691,-0.5450,0.8897,1.11
3.197172,0.3072,-0.5017,0.9133,1.09
3.222397,0.3648,-0.4202,0.8522,1.02
3.234017,0.3770,-0.4118,0.8743,1.04
3.251364,0.3540,-0.5097,0.9123,1.10
3.276271,0.4213,-0.6193,0.8429,1.13
3.297201,0.4558,-0.3501,0.8648,1.04
3.323676,0.4999,-0.2365,0.7893,0.96
3.334381,0.4512,-0.3380,0.9233,1.08
3.352787,0.2843,-0.6892,0.9910,1.24
3.376945,0.1093,-0.9145,0.8833,1.28
3.395410,0.1798,-0.8355,0.6623,1.08
3.417498,0.2996,-0.7550,0.5560,0.98
3.434332,0.3463,-0.8162,0.6408,1.09
3.459672,0.3495,-0.5850,0.6662,0.95
3.476341,0.3139,-0.5565,0.6715,0.93
3.497842,0.3390,-0.5701,0.6245,0.91
3.522513,0.3639,-0.6264,0.6895,1.00
3.534832,0.3495,-0.6393,0.7364,1.04
3.560001,0.3160,-0.6799,0.7710,1.08
3.577486,0.4088,-0.6677,0.7591,1.09
3.611860,0.4407,-0.5546,0.8075,1.07
3.617690,0.4358,-0.5473,0.8030,1.07
3.635170,0.3956,-0.5406,0.7537,1.01
3.660476,0.3247,-0.5580,0.7575,1.00
3.676187,0.2921,-0.5824,0.7379,0.98
3.711214,0.2630,-0.5994,0.6679,0.94
3.717461,0.2689,-0.5699,0.6951,0.94
3.742820,0.3088,-0.5248,0.7445,0.96
3.759844,0.4071,-0.5736,0.6476,0.96
3.789949,0.5484,-0.5565,0.7314,1.07
3.810662,0.4974,-0.5488,0.9003,1.17
3.817314,0.4811,-0.5657,0.9217,1.18
3.837960,0.4173,-0.5652,0.8932,1.14
3.860134,0.4206,-0.4439,0.9198,1.10
3.889681,0.3876,-0.2364,1.0392,1.13
3.911554,0.3190,-0.0777,0.9969,1.05
3.918437,0.2585,-0.0019,1.0573,1.09
3.942931,0.1021,0.1713,1.0200,1.04
3.960494,0.1314,0.1280,0.9879,1.00
3.985162,0.2790,0.0706,1.0146,1.05
4.022965,0.1464,0.1696,0.9208,0.95
4.023178,0.1464,0.1696,0.9208,0.95
4.043004,0.0160,0.1251,0.9277,0.94
4.069047,-0.0696,-0.0002,0.9902,0.99
4.085203,-0.0666,-0.0136,0.9703,0.97
4.118741,-0.0543,0.1077,0.9213,0.93
4.125680,-0.0552,0.1488,0.9351,0.95
4.142248,-0.1221,0.2042,1.0103,1.04
4.167776,-0.1661,0.1369,1.0748,1.10
4.189774,-0.0895,0.0410,1.0146,1.02
4.216069,-0.1068,0.0016,1.0284,1.03
4.225821,-0.1519,-0.0048,1.0754,1.09
4.243101,-0.2110,-0.0257,1.0515,1.07
4.267817,-0.1919,-0.0653,0.9040,0.93
4.291086,-0.2296,-0.0245,1.0767,1.10
4.313624,-0.1420,0.0045,0.9206,0.93
4.325858,-0.0836,0.0049,0.9534,0.96
4.343257,-0.1100,0.0352,0.9979,1.00
4.368262,-0.2455,0.0825,0.9953,1.03
4.385115,-0.3499,0.0948,1.1129,1.17
4.424126,-0.1425,-0.0417,0.8843,0.90
4.426319,-0.1332,-0.0471,0.8786,0.89
4.443985,-0.1586,-0.0292,0.9144,0.93
4.468874,-0.2585,0.0067,1.1309,1.16
4.486150,-0.2162,-0.0013,1.0425,1.06
4.507840,-0.1107,0.0330,0.8168,0.82
4.527002,-0.1807,0.0538,0.8984,0.92
4.550684,-0.3026,0.0933,1.1221,1.17
4.567838,-0.2572,0.1095,1.0170,1.05
4.597096,-0.1402,0.0712,0.8860,0.90
4.632848,-0.1890,0.1107,1.1660,1.19
4.633247,-0.1935,0.1128,1.1806,1.20
4.651020,-0.1360,0.1086,1.0865,1.10
4.667959,0.0120,0.0765,0.8117,0.82
4.699430,0.0862,0.0251,0.9808,0.98
