time,gFx,gFy,gFz,TgF
0.003439,0.9888,-0.0535,-0.1942,1.01
0.018999,0.9839,-0.0511,-0.2011,1.01
0.035561,0.9844,-0.0570,-0.2011,1.01
0.067230,0.9784,-0.0538,-0.1752,1.00
0.077349,0.9760,-0.0553,-0.1752,0.99
0.102569,0.9824,-0.0568,-0.1879,1.00
0.118548,0.9824,-0.0579,-0.1923,1.00
0.144229,0.9848,-0.0569,-0.1874,1.00
0.161260,0.9800,-0.0549,-0.1835,1.00
0.183481,0.9809,-0.0582,-0.1786,1.00
0.201530,0.9804,-0.0583,-0.1869,1.00
0.218570,0.9839,-0.0574,-0.1967,1.01
0.244706,0.9863,-0.0540,-0.1908,1.01
0.263720,0.9829,-0.0539,-0.1844,1.00
0.287332,0.9775,-0.0519,-0.1791,1.00
0.301496,0.9765,-0.0534,-0.1801,0.99
0.318407,0.9853,-0.0544,-0.1888,1.00
0.347890,0.9898,-0.0535,-0.1961,1.01
0.366699,0.9893,-0.0584,-0.2020,1.01
0.385043,0.9892,-0.0706,-0.1974,1.01
0.401966,0.9789,-0.0617,-0.1796,1.00
0.420583,0.9716,-0.0803,-0.1888,0.99
0.454277,0.9721,-0.0611,-0.1669,0.99
0.460461,0.9765,-0.0587,-0.1679,0.99
0.484859,0.9878,-0.0466,-0.1898,1.01
0.501457,0.9927,-0.0452,-0.1913,1.01
0.526698,0.9824,-0.0495,-0.1811,1.00
0.548589,0.9761,-0.0544,-0.1821,0.99
0.562617,0.9751,-0.0529,-0.1841,0.99
0.585656,0.9790,-0.0589,-0.2015,1.00
0.603046,0.9840,-0.0599,-0.2112,1.01
0.627920,0.9840,-0.0649,-0.2166,1.01
0.643738,0.9805,-0.0667,-0.2064,1.00
0.679194,0.9736,-0.0593,-0.1938,0.99
0.685212,0.9756,-0.0574,-0.1938,1.00
0.710048,0.9800,-0.0559,-0.1918,1.00
0.726721,0.9834,-0.0540,-0.2020,1.01
0.748347,0.9834,-0.0560,-0.2020,1.01
0.768040,0.9825,-0.0521,-0.2011,1.00
0.786180,0.9820,-0.0540,-0.1957,1.00
0.810317,0.9800,-0.0632,-0.1947,1.00
0.827045,0.9819,-0.0667,-0.1966,1.00
0.857156,0.9819,-0.0628,-0.1937,1.00
0.880563,0.9790,-0.0593,-0.1932,1.00
0.884985,0.9804,-0.0613,-0.1942,1.00
0.910400,0.9780,-0.0608,-0.1932,1.00
0.926932,0.9820,-0.0613,-0.2069,1.01
0.957827,0.9880,-0.0640,-0.2317,1.02
0.977331,0.9870,-0.0607,-0.2454,1.02
0.993111,0.9851,-0.0572,-0.2401,1.02
1.010974,0.9787,-0.0557,-0.2280,1.01
1.035818,0.9762,-0.0643,-0.2172,1.00
1.052814,0.9795,-0.0673,-0.2093,1.00
1.087447,0.9829,-0.0505,-0.1855,1.00
1.093544,0.9844,-0.0490,-0.1840,1.00
1.110663,0.9790,-0.0475,-0.1777,1.00
1.135799,0.9774,-0.0552,-0.1596,0.99
1.152739,0.9774,-0.0537,-0.1562,0.99
1.187216,0.9814,-0.0430,-0.1621,1.00
