time,gFx,gFy,gFz,TgF
0.006832,0.9911,-0.0101,-0.1354,1.00
0.030686,0.9906,-0.0146,-0.1456,1.00
0.049564,0.9916,-0.0185,-0.1446,1.00
0.073882,0.9940,-0.0214,-0.1372,1.00
0.094805,0.9916,-0.0179,-0.1368,1.00
0.106177,0.9877,-0.0150,-0.1363,1.00
0.131281,0.9877,-0.0140,-0.1334,1.00
0.148166,0.9926,-0.0116,-0.1359,1.00
0.172984,0.9975,-0.0082,-0.1353,1.01
0.208202,0.9887,-0.0170,-0.1422,1.00
0.213644,0.9843,-0.0170,-0.1383,0.99
0.230427,0.9872,-0.0209,-0.1358,1.00
0.247380,0.9916,-0.0199,-0.1353,1.00
0.283907,1.0058,-0.0353,-0.1707,1.02
0.307114,0.9945,-0.0038,-0.1280,1.00
0.308031,0.9945,-0.0038,-0.1280,1.00
0.330831,0.9754,-0.0105,-0.1262,0.98
0.349076,0.9745,-0.0106,-0.1350,0.98
0.377005,0.9902,-0.0111,-0.1324,1.00
0.398059,1.0004,-0.0121,-0.1357,1.01
0.413648,1.0014,-0.0107,-0.1401,1.01
0.430606,0.9955,-0.0072,-0.1343,1.00
0.456255,0.9916,-0.0111,-0.1320,1.00
0.477592,0.9867,-0.0160,-0.1320,1.00
0.495481,0.9881,-0.0194,-0.1285,1.00
0.513838,0.9969,-0.0214,-0.1294,1.01
0.539691,0.9989,-0.0160,-0.1338,1.01
0.556412,0.9936,-0.0121,-0.1348,1.00
0.577294,0.9920,-0.0121,-0.1300,1.00
0.597029,0.9920,-0.0111,-0.1280,1.00
0.614450,0.9921,-0.0116,-0.1329,1.00
0.639806,0.9883,-0.0033,-0.1379,1.00
0.656524,0.9839,0.0005,-0.1462,0.99
0.673620,0.9893,0.0035,-0.1467,1.00
0.708709,0.9922,0.0068,-0.1487,1.00
0.713608,0.9931,0.0015,-0.1442,1.00
0.739761,0.9867,-0.0082,-0.1349,1.00
0.757043,0.9935,-0.0243,-0.1299,1.00
0.787768,0.9963,-0.0472,-0.1229,1.00
0.809304,0.9928,-0.0589,-0.1243,1.00
0.814382,0.9928,-0.0609,-0.1194,1.00
0.838905,0.9913,-0.0671,-0.1145,1.00
0.856046,0.9938,-0.0579,-0.1223,1.00
0.877197,0.9944,-0.0277,-0.1274,1.00
0.905169,0.9947,0.0166,-0.1482,1.01
0.922088,1.0016,0.0336,-0.1644,1.02
0.938937,1.0198,0.0428,-0.1657,1.03
0.956333,1.0334,0.0418,-0.1636,1.05
