time,gFx,gFy,gFz,TgF
0.002293,0.9933,-0.0958,-0.0896,1.00
0.023984,0.9948,-0.0821,-0.0926,1.00
0.040708,0.9878,-0.0874,-0.0746,0.99
0.081259,1.0091,-0.1200,-0.0586,1.02
0.083292,1.0086,-0.1225,-0.0600,1.02
0.099831,1.0038,-0.1231,-0.0742,1.01
0.124771,0.9931,-0.1148,-0.0881,1.00
0.141577,0.9981,-0.1060,-0.0881,1.01
0.161736,1.0113,-0.1105,-0.0908,1.02
0.194350,1.0167,-0.1156,-0.1161,1.03
0.207496,1.0152,-0.1057,-0.1133,1.03
0.224940,0.9982,-0.0905,-0.1067,1.01
0.241849,0.9964,-0.0769,-0.1195,1.01
0.268722,0.9935,-0.0648,-0.1348,1.00
0.303862,0.9883,-0.0297,-0.1443,1.00
0.304422,0.9883,-0.0297,-0.1443,1.00
0.324929,0.9859,-0.0120,-0.1323,0.99
0.350156,0.9693,-0.0159,-0.1475,0.98
0.409994,0.9669,-0.0051,-0.1388,0.98
0.410594,0.9669,-0.0051,-0.1388,0.98
0.410790,0.9669,-0.0051,-0.1388,0.98
0.424828,0.9494,-0.0129,-0.1492,0.96
0.453529,0.9323,-0.0120,-0.1602,0.95
0.475049,0.9422,-0.0093,-0.1893,0.96
0.490537,0.9253,-0.0148,-0.2183,0.95
0.507437,0.9706,-0.0051,-0.2003,0.99
0.524664,1.0306,0.0562,-0.1372,1.04
0.553836,1.0950,0.1497,-0.0752,1.11
0.578228,1.0919,0.1279,-0.0472,1.10
0.590925,1.0748,0.0706,-0.0851,1.08
0.607190,1.0491,-0.0005,-0.0712,1.05
0.626617,1.0584,-0.0466,-0.0039,1.06
0.651545,1.0735,-0.0603,-0.0071,1.08
0.685991,1.0173,-0.0185,-0.0646,1.02
0.691336,1.0061,-0.0102,-0.0676,1.01
0.709266,0.9692,0.0368,-0.0732,0.97
0.733152,0.9603,0.1267,-0.0793,0.97
0.749586,0.9737,0.1823,-0.0868,0.99
0.792844,1.0661,0.1151,-0.0743,1.07
0.793302,1.0661,0.1151,-0.0743,1.07
0.807852,1.0698,0.0687,-0.0641,1.07
0.833715,1.0745,0.0332,-0.0443,1.08
0.850673,1.0082,0.0711,-0.0428,1.01
0.893271,0.9184,0.1468,-0.0895,0.93
0.893747,0.9184,0.1468,-0.0895,0.93
0.908654,0.8946,0.1532,-0.0903,0.91
0.933787,0.8837,0.1250,-0.0800,0.90
0.949057,0.8983,0.1058,-0.0870,0.91
0.994238,0.9206,0.2378,-0.0599,0.95
0.994598,0.9206,0.2378,-0.0599,0.95
1.017162,0.9264,0.2687,-0.0371,0.97
1.032519,0.9234,0.2668,-0.0288,0.96
1.050760,0.9530,0.2439,-0.0049,0.98
1.096507,1.0557,0.1343,0.0915,1.07
1.097008,1.0557,0.1343,0.0915,1.07
1.115763,1.1602,0.0771,0.1413,1.17
1.132233,1.2575,-0.0024,0.1339,1.26
1.160830,1.3305,-0.1633,-0.1655,1.35
1.195933,1.8249,0.4704,-0.2505,1.90
1.196192,1.8249,0.4704,-0.2505,1.90
1.216015,1.5763,0.5767,-0.3342,1.71
1.232851,1.1351,0.6152,-0.5125,1.39
1.258269,0.8109,0.4516,-0.6024,1.11
1.310712,1.1485,0.1550,-0.5805,1.30
1.311042,1.1485,0.1550,-0.5805,1.30
1.316155,1.1395,0.1254,-0.5672,1.28
1.341860,0.9748,0.0205,-0.4812,1.09
1.357818,0.8675,0.0038,-0.3928,0.95
1.400906,0.7816,-0.0393,-0.3113,0.84
1.401670,0.7787,-0.0388,-0.3064,0.84
1.415498,0.7621,-0.0289,-0.2993,0.82
1.440957,0.7709,-0.0195,-0.2852,0.82
1.464307,0.8469,-0.0325,-0.2843,0.89
1.488394,0.9319,-0.0319,-0.2996,0.98
1.498657,0.9425,-0.0485,-0.2799,0.98
1.515869,0.9278,-0.0660,-0.2814,0.97
1.541015,0.8731,-0.0902,-0.2783,0.92
1.564023,0.7929,-0.0446,-0.2184,0.82
1.587789,0.6820,-0.0690,-0.1948,0.71
1.598593,0.6712,-0.1036,-0.1952,0.71
1.616618,0.7128,-0.1975,-0.1912,0.76
1.641968,0.7725,-0.2887,-0.2047,0.85
1.657824,0.7575,-0.2705,-0.2025,0.83
1.694319,0.6324,-0.1782,-0.1096,0.67
1.699677,0.6168,-0.1731,-0.0829,0.65
1.724196,0.5890,-0.2499,-0.0480,0.64
1.741733,0.6274,-0.2779,-0.0475,0.69
1.760044,0.7226,-0.2144,-0.0040,0.75
1.800303,0.7641,-0.0253,0.0390,0.77
1.800761,0.7641,-0.0253,0.0390,0.77
1.823718,0.8895,-0.0454,0.0150,0.89
1.840836,1.1242,-0.0811,-0.0104,1.13
1.871191,1.6333,0.0136,0.0154,1.63
1.901976,1.9436,-0.1345,-0.2937,1.97
1.902645,1.9436,-0.1786,-0.2387,1.97
1.923885,2.0979,-0.6047,-0.2577,2.20
1.940840,1.6424,-0.5664,-0.3922,1.78
1.962024,1.0600,-0.5029,-0.6248,1.33
1.998976,0.8908,-0.1951,-0.6305,1.11
2.007116,0.9411,-0.0839,-0.5521,1.09
2.025487,0.9801,0.0423,-0.4310,1.07
2.040955,1.0037,0.0519,-0.3630,1.07
2.094543,1.0759,-0.2347,-0.4566,1.19
2.094852,1.0759,-0.2347,-0.4566,1.19
2.107650,0.9855,-0.2499,-0.4417,1.11
2.124820,0.8506,-0.2108,-0.3500,0.94
2.150197,0.7190,-0.1254,-0.2185,0.76
2.168688,0.6995,-0.0621,-0.1815,0.73
2.203907,0.7106,0.0040,-0.2205,0.74
2.207446,0.7082,0.0143,-0.2089,0.74
2.224183,0.6740,0.0729,-0.1642,0.70
2.250161,0.5832,0.1175,-0.1072,0.60
2.269238,0.6093,0.0476,-0.1143,0.62
2.301864,0.6206,0.0327,-0.1453,0.64
2.307036,0.6314,0.0360,-0.1550,0.65
2.331924,0.6724,0.1141,-0.2133,0.71
2.348959,0.7104,0.2018,-0.2316,0.77
2.371282,0.7866,0.2896,-0.1978,0.86
2.394087,0.9226,0.2969,-0.1408,0.98
2.407018,0.9770,0.2613,-0.1044,1.02
2.425888,1.0364,0.1814,-0.0433,1.05
2.449126,1.1550,0.0670,0.0812,1.16
2.473314,1.2725,-0.0113,0.0551,1.27
2.501717,1.2912,0.0461,-0.0585,1.29
2.515594,1.3082,0.1573,-0.0737,1.32
2.532639,1.3964,0.2347,0.0155,1.42
2.563443,1.6036,0.2310,-0.3775,1.66
2.594156,1.2843,0.3983,-0.4310,1.41
2.594350,1.2843,0.3983,-0.4310,1.41
2.615867,0.7947,0.3456,-0.7640,1.16
2.632824,0.7757,0.2296,-0.6510,1.04
2.658832,0.9348,-0.0732,-0.5616,1.09
2.697628,1.0379,-0.1533,-0.4311,1.13
2.697944,1.0379,-0.1533,-0.4311,1.13
2.716701,0.9476,0.0084,-0.4033,1.03
2.733946,0.8918,0.1127,-0.3923,0.98
2.758847,0.8034,0.1377,-0.3479,0.89
2.795681,0.6273,-0.0667,-0.1778,0.66
2.795937,0.6273,-0.0667,-0.1778,0.66
2.816754,0.5638,-0.1881,-0.1610,0.62
2.840445,0.6049,-0.2166,-0.3215,0.72
2.861588,0.6910,-0.0687,-0.3779,0.79
2.885363,0.7935,0.0101,-0.2984,0.85
2.898617,0.7996,0.0000,-0.2621,0.84
2.915407,0.7862,-0.0589,-0.2388,0.82
2.942872,0.7318,-0.1452,-0.2500,0.79
2.957870,0.7427,-0.1851,-0.2228,0.80
2.988363,0.7789,-0.2608,-0.1882,0.84
3.004078,0.7938,-0.2866,-0.1699,0.86
3.026125,0.8621,-0.2564,-0.1445,0.91
3.040717,0.8861,-0.2266,-0.1337,0.92
3.057576,0.8925,-0.2164,-0.1415,0.93
3.078690,0.8876,-0.2379,-0.1453,0.93
3.098398,0.9761,-0.2198,-0.1763,1.02
3.123505,1.0531,-0.0636,-0.1523,1.07
3.140522,1.1757,-0.0636,-0.3903,1.24
3.158360,1.6082,-0.0848,-0.3324,1.64
3.178746,1.8077,-0.1400,-0.4682,1.87
3.213348,1.5201,-0.4322,-1.0008,1.87
3.223722,1.4108,-0.3758,-0.9494,1.74
3.240780,1.2316,-0.2670,-0.6174,1.40
3.270519,0.8466,-0.1884,-0.4474,0.98
3.297147,0.8066,-0.1907,-0.4477,0.94
3.301172,0.8179,-0.1830,-0.4594,0.96
3.323926,0.8563,-0.1144,-0.4824,0.99
3.341052,0.8625,-0.0651,-0.4153,0.96
3.369606,0.8329,-0.0828,-0.3584,0.91
3.384019,0.8274,-0.1022,-0.3451,0.90
