time,gFx,gFy,gFz,TgF
0.001264,0.9827,-0.1386,-0.2117,1.01
0.014703,0.9813,-0.1312,-0.2133,1.01
0.042709,0.9715,-0.1190,-0.2090,1.00
0.055184,0.9780,-0.1088,-0.2232,1.01
0.080440,0.9878,-0.1292,-0.2645,1.03
0.097271,1.0122,-0.1340,-0.2530,1.05
0.114014,1.0205,-0.1213,-0.2388,1.06
0.140698,0.9722,-0.0922,-0.2244,1.00
0.156262,0.9488,-0.0726,-0.2208,0.98
0.180190,0.9567,-0.0546,-0.2228,0.98
0.197002,0.9850,-0.0551,-0.2225,1.01
0.222960,1.0232,-0.0707,-0.2738,1.06
0.243410,1.0148,-0.0667,-0.3374,1.07
0.263536,0.9998,-0.0478,-0.3674,1.07
0.280034,0.9789,-0.0281,-0.3576,1.04
0.297171,0.9616,-0.0137,-0.3168,1.01
0.321811,0.9425,-0.0143,-0.2813,0.98
0.343820,0.9258,-0.0020,-0.2669,0.96
0.363606,0.9459,-0.0006,-0.2726,0.98
0.379873,0.9746,-0.0110,-0.2717,1.01
0.396957,0.9902,-0.0100,-0.2662,1.03
0.422098,0.9951,-0.0095,-0.2603,1.03
0.443261,0.9795,0.0043,-0.2547,1.01
0.460561,0.9516,0.0191,-0.2385,0.98
0.479870,0.9530,0.0290,-0.2205,0.98
0.499292,0.9516,0.0364,-0.2015,0.97
0.521551,0.9641,0.0277,-0.1857,0.98
0.543538,0.9782,0.0267,-0.1816,1.00
0.563056,0.9915,0.0281,-0.1898,1.01
0.579965,0.9963,0.0168,-0.1882,1.01
0.605973,0.9792,0.0298,-0.1548,0.99
0.622883,0.9586,0.0560,-0.1284,0.97
0.644120,0.9600,0.0718,-0.0957,0.97
0.669697,0.9642,0.0558,-0.0726,0.97
0.680448,0.9710,0.0469,-0.0788,0.98
0.706212,0.9872,0.0302,-0.1015,0.99
0.724038,0.9941,0.0291,-0.1107,1.00
0.744165,0.9975,0.0330,-0.1122,1.00
0.763117,0.9932,0.0392,-0.1230,1.00
0.788709,0.9799,0.0159,-0.1196,0.99
0.806743,0.9533,0.0241,-0.1560,0.97
0.822238,0.9649,0.0364,-0.1281,0.97
0.851831,0.9779,0.0278,-0.0908,0.98
0.873918,0.9609,0.0444,-0.1058,0.97
0.888355,0.9849,0.0427,-0.1285,0.99
0.905063,1.0118,0.0396,-0.1306,1.02
0.923782,1.0224,0.0250,-0.1202,1.03
0.967390,0.9873,0.0167,-0.1327,1.00
0.967858,0.9829,0.0183,-0.1327,0.99
0.988464,0.9726,0.0217,-0.1207,0.98
1.005332,0.9638,0.0360,-0.1174,0.97
1.031756,0.9358,0.0740,-0.1350,0.95
1.053297,0.9437,0.0847,-0.1497,0.96
1.072307,0.9666,0.0822,-0.1533,0.98
1.089048,0.9635,0.0628,-0.1351,0.97
1.105930,0.9566,0.0452,-0.1258,0.97
1.131157,0.9740,0.0482,-0.1838,0.99
1.151736,0.9802,0.0994,-0.1182,0.99
1.172612,1.0006,0.0901,-0.1086,1.01
1.188138,1.0162,0.0768,-0.1206,1.03
1.215025,1.0162,0.0449,-0.1448,1.03
1.231090,1.0171,0.0260,-0.1251,1.03
1.251969,1.0110,-0.0164,-0.1156,1.02
1.270973,0.9754,-0.0325,-0.1188,0.98
1.288318,0.9387,-0.0338,-0.1089,0.95
1.313824,0.9201,-0.0258,-0.0940,0.93
1.330893,0.9280,-0.0106,-0.0906,0.93
1.365336,0.9297,0.0278,-0.1172,0.94
1.371877,0.9239,0.0293,-0.1172,0.93
1.388447,0.9146,0.0204,-0.1232,0.92
1.414014,0.9461,0.0200,-0.0989,0.95
1.430166,0.9550,0.0361,-0.1023,0.96
1.458486,0.9887,0.0902,-0.1756,1.01
1.471745,1.0187,0.1305,-0.1981,1.05
1.488177,1.0575,0.1869,-0.2235,1.10
1.514709,1.0510,0.2763,-0.2129,1.11
1.530901,1.0260,0.3182,-0.1719,1.09
1.575159,1.0966,0.2083,0.0160,1.12
1.575785,1.1082,0.1907,0.0197,1.12
1.597071,1.2437,-0.0194,0.0160,1.24
1.613620,1.3516,-0.1698,-0.0005,1.36
1.639489,1.4493,-0.2013,-0.0652,1.46
1.674006,1.0878,0.1898,-0.6583,1.29
1.680452,0.9289,0.2879,-0.8465,1.29
1.696783,1.0662,0.3989,-0.8185,1.40
1.714405,1.1781,0.4221,-0.7249,1.45
1.739760,1.0047,0.3388,-0.8514,1.36
1.775053,0.9000,0.0797,-0.6529,1.11
1.779822,0.9406,0.0461,-0.6103,1.12
1.796618,1.1273,-0.1334,-0.4599,1.22
1.813601,1.1716,-0.2020,-0.3975,1.25
1.840876,1.0220,-0.0926,-0.3357,1.08
1.866430,0.7523,-0.0291,-0.3294,0.82
1.880145,0.6152,0.0012,-0.3099,0.69
1.896736,0.4991,0.0375,-0.2825,0.57
1.919789,0.4086,-0.0194,-0.2766,0.49
1.939859,0.4353,-0.1146,-0.3377,0.56
1.963291,0.6417,-0.1676,-0.3535,0.75
1.979772,0.8443,-0.1160,-0.3470,0.92
1.996960,0.8816,-0.0511,-0.3349,0.94
2.022554,0.7269,-0.0666,-0.2396,0.77
2.043656,0.6246,-0.1676,-0.1251,0.66
2.068396,0.6574,-0.2197,-0.0834,0.70
2.080431,0.7346,-0.1976,-0.1014,0.77
2.105497,0.9703,-0.1054,-0.1393,0.99
2.122849,1.0620,-0.0563,-0.2042,1.08
2.139233,1.1425,-0.0023,-0.2731,1.17
2.172872,1.4679,-0.1559,-0.1371,1.48
2.180248,1.5487,-0.1920,-0.0160,1.56
2.204937,1.6470,-0.1785,0.1704,1.67
2.222406,1.5315,-0.1945,0.1211,1.55
2.243677,1.0784,-0.1632,-0.3435,1.14
2.264431,1.0696,-0.0869,-0.4076,1.15
2.279766,0.9637,-0.0574,-0.3653,1.03
2.304965,0.7021,-0.0839,-0.8276,1.09
2.322180,0.7766,-0.0543,-0.8832,1.18
2.343610,1.0635,0.0623,-0.6801,1.26
2.371775,1.1523,0.1622,-0.3708,1.22
2.380848,1.1400,0.1385,-0.2604,1.18
2.405743,1.0265,-0.0915,-0.1555,1.04
2.422130,0.8865,-0.2143,-0.2522,0.95
2.444234,0.7456,-0.2625,-0.3059,0.85
2.465654,0.6534,-0.2254,-0.2973,0.75
2.488082,0.6326,-0.0761,-0.3322,0.72
2.505778,0.6740,0.0718,-0.3197,0.75
2.522716,0.7518,0.1901,-0.2631,0.82
2.562761,0.8023,0.1373,-0.2495,0.85
2.563799,0.8023,0.1373,-0.2495,0.85
2.588555,0.7218,0.0578,-0.1956,0.75
2.606089,0.6766,0.0579,-0.1232,0.69
2.630174,0.6406,0.0831,-0.0251,0.65
2.647855,0.6438,0.0805,0.0272,0.65
2.688549,0.9201,-0.0616,-0.1230,0.93
2.688800,0.9201,-0.0616,-0.1230,0.93
2.706013,1.0869,-0.0912,-0.2306,1.11
2.730399,1.3402,-0.0511,-0.3114,1.38
2.747431,1.5569,0.0349,-0.2665,1.58
2.780448,1.4967,0.1093,-0.0508,1.50
2.788491,1.3684,0.0782,-0.3262,1.41
2.805360,1.2108,-0.0532,-0.6296,1.37
2.830601,1.3096,-0.1402,-0.6632,1.47
2.852570,0.9792,0.1080,-0.6734,1.19
2.876271,0.8776,0.3102,-0.5986,1.11
2.888580,0.9678,0.2842,-0.4833,1.12
2.914178,1.2985,-0.1127,-0.4286,1.37
2.929975,1.2955,-0.4087,-0.4295,1.42
2.951267,1.0624,-0.4050,-0.3498,1.19
2.972312,0.8767,-0.1741,-0.3165,0.95
2.989403,0.7422,0.0012,-0.3336,0.81
3.014226,0.5624,0.1842,-0.3752,0.70
3.032879,0.4458,0.2234,-0.3331,0.60
3.060011,0.3924,0.1141,-0.2645,0.49
3.084384,0.5358,-0.0781,-0.1627,0.57
3.097081,0.6682,-0.1876,-0.1719,0.71
3.114269,0.8167,-0.2775,-0.1802,0.88
3.130614,0.8034,-0.2876,-0.1568,0.87
3.150471,0.7156,-0.2818,-0.0634,0.77
3.176198,0.6458,-0.2706,-0.0285,0.70
3.196529,0.7102,-0.2093,-0.1099,0.75
3.213635,0.8903,-0.1126,-0.1655,0.91
3.231103,1.1219,0.0058,-0.2455,1.15
3.275862,1.5849,0.0416,-0.2023,1.60
3.276040,1.5849,0.0416,-0.2023,1.60
3.296561,1.7914,-0.0665,0.0392,1.79
3.313249,1.7165,-0.1820,0.1052,1.73
3.338792,1.2545,-0.2865,0.0145,1.29
3.359345,0.8918,-0.1926,-0.4491,1.02
3.379159,0.8700,-0.0404,-0.3458,0.94
3.396618,0.7885,-0.0625,-0.7122,1.06
3.414176,0.8370,-0.0239,-0.8409,1.19
3.438907,1.1094,0.0052,-0.7212,1.32
3.459435,1.2418,-0.0112,-0.5524,1.36
3.486382,1.1764,-0.0478,-0.3496,1.23
3.497016,1.0332,-0.0901,-0.2360,1.06
3.513937,0.8474,-0.1309,-0.1594,0.87
3.539718,0.6333,-0.0602,-0.1395,0.65
3.558627,0.5496,0.0583,-0.2094,0.59
3.580303,0.5650,0.1327,-0.3245,0.66
3.596109,0.6093,0.1571,-0.3902,0.74
3.622503,0.7219,0.0500,-0.3493,0.80
3.638991,0.7973,-0.0499,-0.2605,0.84
3.659912,0.8432,-0.1244,-0.2054,0.88
3.685969,0.8203,-0.0684,-0.1766,0.84
3.696390,0.7594,0.0039,-0.1230,0.77
3.722015,0.6293,0.1628,0.0538,0.65
3.738697,0.6021,0.1954,0.1749,0.66
3.762010,0.7162,0.0568,0.1858,0.74
3.784998,0.9654,-0.0924,-0.0193,0.97
3.796908,1.1611,-0.1395,-0.1783,1.18
3.821629,1.5621,-0.1312,-0.3576,1.61
3.838887,1.7896,-0.0144,-0.2942,1.81
3.861940,1.6959,0.0911,-0.1957,1.71
3.887232,1.2331,0.0262,-0.6548,1.40
